Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
LPC Silva (SL),2006­2011,16,2,3.0,0,15,1,1/4,15.00,5.00,18.0,0,0
Sufyan Mehmood (Oman),2015­2016,2,2,4.3,0,30,1,1/22,30.00,6.66,27.0,0,0
Tanvir Ahmed (PAK),2010­2010,1,1,3.0,0,13,1,1/13,13.00,4.33,18.0,0,0
BRM Taylor (ZIM),2006­2014,26,2,5.0,0,17,1,1/16,17.00,3.40,30.0,0,0
SR Tendulkar (INDIA),2006­2006,1,1,2.3,0,12,1,1/12,12.00,4.80,15.0,0,0
EP Thompson (NZ),2008­2008,1,1,3.0,1,18,1,1/18,18.00,6.00,18.0,0,0
GC Tonge (WI),2009­2009,1,1,4.0,0,25,1,1/25,25.00,6.25,24.0,0,0
Umair Ali (UAE),2015­2015,3,2,4.0,0,28,1,1/13,28.00,7.00,24.0,0,0
DLS van Bunge (Neth),2008­2013,14,2,2.2,0,15,1,1/14,15.00,6.42,14.0,0,0
UWMBCA Welegedara (SL),2010­2010,2,2,6.0,0,61,1,1/21,61.00,10.16,36.0,0,0
CL White (AUS),2007­2014,47,5,7.0,0,51,1,1/11,51.00,7.28,42.0,0,0
LJ Woodcock (NZ),2010­2011,3,3,10.0,0,70,1,1/30,70.00,7.00,60.0,0,0
GH Worker (NZ),2015­2015,2,1,2.0,0,19,1,1/19,19.00,9.50,12.0,0,0
UT Yadav (INDIA),2012­2012,1,1,3.0,0,24,1,1/24,24.00,8.00,18.0,0,0
Zaheer Maqsood (UAE),2015­2016,3,3,9.0,0,80,1,1/29,80.00,8.88,54.0,0,0
Zamir Khan (AFG),2012­2012,1,1,4.0,0,26,1,1/26,26.00,6.50,24.0,0,0
C Zhuwao (ZIM),2008­2011,5,1,0.2,0,1,1,1/1,1.00,3.00,2.0,0,0
M Zondeki (SA),2006­2006,1,1,3.0,0,41,1,1/41,41.00,13.66,18.0,0,0
Abdur Rauf (PAK),2008­2008,1,1,3.0,0,21,0,­,­,7.00,­,0,0
Aftab Ahmed (BDESH),2006­2010,11,1,0.2,0,8,0,­,­,24.00,­,0,0
Ahmed Shehzad (PAK),2009­2016,44,1,1.0,0,10,0,­,­,10.00,­,0,0
J Anderson (IRE),2015­2015,4,1,1.0,0,13,0,­,­,13.00,­,0,0
Arsalan Qadir (Can),2010­2010,1,1,1.0,0,12,0,­,­,12.00,­,0,0
Asad Ali (PAK),2013­2013,2,2,4.0,0,33,0,­,­,8.25,­,0,0
TD Astle (NZ),2016­2016,2,2,4.0,0,41,0,­,­,10.25,­,0,0
P Awana (INDIA),2012­2012,2,2,6.0,0,71,0,­,­,11.83,­,0,0
KMC Bandara (SL),2016­2016,1,1,1.0,0,11,0,­,­,11.00,­,0,0
GEF Barnett (Can),2008­2010,5,1,1.0,0,11,0,­,­,11.00,­,0,0
GJ Batty (ENG),2009­2009,1,1,3.0,0,17,0,­,­,5.66,­,0,0
S Bau (PNG),2016­2016,3,1,1.0,0,11,0,­,­,11.00,­,0,0
DE Bernard (WI),2009­2009,1,1,4.0,0,17,0,­,­,4.25,­,0,0
RL Bhudia (Kenya),2007­2007,3,3,7.2,0,78,0,­,­,10.63,­,0,0
NE Bonner (WI),2011­2012,2,1,2.0,0,18,0,­,­,9.00,­,0,0
IDR Bradshaw (WI),2006­2006,1,1,4.0,0,22,0,­,­,5.50,­,0,0
DR Brown (SCOT),2007­2007,2,1,4.0,0,44,0,­,­,11.00,­,0,0
DK Butler (WI),2006­2006,1,1,3.0,0,22,0,­,­,7.33,­,0,0
N Deonarine (WI),2010­2013,8,4,9.0,0,87,0,­,­,9.66,­,0,0
DM de Silva (SL),2015­2016,4,2,3.0,0,20,0,­,­,6.66,­,0,0
BJ Diamanti (NZ),2009­2009,1,1,2.0,0,19,0,­,­,9.50,­,0,0
F du Plessis (SA),2012­2016,35,2,1.2,0,3,0,­,­,2.25,­,0,0
PS Eaglestone (IRE),2010­2010,1,1,2.0,0,16,0,­,­,8.00,­,0,0
Ehsan Nawaz (HK),2014­2016,2,2,2.0,0,23,0,­,­,11.50,­,0,0
Fahad Tariq (UAE),2016­2016,6,2,3.0,0,26,0,­,­,8.66,­,0,0
N Pradeep (SL),2016­2016,1,1,2.0,0,12,0,­,­,6.00,­,0,0
AJ Finch (AUS),2011­2016,28,2,2.0,0,27,0,­,­,13.50,­,0,0
DR Flynn (NZ),2008­2012,5,1,1.0,0,7,0,­,­,7.00,­,0,0
DAS Gunaratne (SL),2016­2016,1,1,2.5,0,22,0,­,­,7.76,­,0,0
MD Gunathilaka (SL),2016­2016,5,1,1.0,0,9,0,­,­,9.00,­,0,0
MJ Guptill (NZ),2009­2016,61,1,1.0,0,11,0,­,­,11.00,­,0,0
TM Head (AUS),2016­2016,4,1,1.0,0,9,0,­,­,9.00,­,0,0
