Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
JJ Bumrah (INDIA),2016­2016,21,21,79.3,4,527,28,3/11,18.82,6.62,17.0,0,0
RM Haq (SCOT),2007­2013,21,20,75.0,1,472,28,3/20,16.85,6.29,16.0,0,0
B Lee (AUS),2005­2012,25,25,90.5,0,714,28,3/23,25.50,7.86,19.4,0,0
DP Nannes (AUS/Neth),2009­2010,17,16,61.0,2,459,28,4/18,16.39,7.52,13.0,1,0
IK Pathan (INDIA),2006­2012,24,23,77.0,1,618,28,3/16,22.07,8.02,16.5,0,0
SW Tait (AUS),2007­2016,21,21,79.4,2,589,28,3/13,21.03,7.39,17.0,0,0
Yuvraj Singh (INDIA),2007­2016,55,31,70.4,0,499,28,3/17,17.82,7.06,15.1,0,0
HS Baidwan (Can),2008­2013,17,17,53.5,1,411,27,4/19,15.22,7.63,11.9,1,0
ST Finn (ENG),2011­2015,21,21,80.0,0,583,27,3/16,21.59,7.28,17.7,0,0
Samiullah Shenwari (AFG),2010­2016,43,35,101.4,0,643,27,5/13,23.81,6.32,22.5,1,1
KJ Abbott (SA),2013­2016,21,21,72.4,0,579,26,3/20,22.26,7.96,16.7,0,0
Aizaz Khan (HK),2014­2016,20,20,68.0,2,470,26,3/10,18.07,6.91,15.6,0,0
JA Morkel (SA),2005­2015,50,46,107.5,2,864,26,3/12,33.23,8.01,24.8,0,0
PM Seelaar (Neth),2008­2016,36,29,83.0,2,539,26,4/19,20.73,6.49,19.1,1,0
Shapoor Zadran (AFG),2010­2016,27,27,83.0,3,581,26,2/9,22.34,7.00,19.1,0,0
MC Sorensen (IRE),2012­2016,26,22,65.0,2,471,26,3/17,18.11,7.24,15.0,0,0
P Utseya (ZIM),2006­2015,35,35,124.5,2,858,26,3/25,33.00,6.87,28.8,0,0
RE van der Merwe (Neth/SA),2009­2016,21,20,68.0,0,466,26,2/3,17.92,6.85,15.6,0,0
SE Bond (NZ),2005­2010,20,20,77.3,2,543,25,3/18,21.72,7.00,18.6,0,0
Harbhajan Singh (INDIA),2006­2016,28,27,102.0,5,633,25,4/12,25.32,6.20,24.4,1,0
SMSM Senanayake (SL),2012­2016,24,23,81.0,0,549,25,4/46,21.96,6.77,19.4,1,0
Shoaib Malik (PAK),2006­2016,82,41,82.0,0,565,25,2/7,22.60,6.89,19.6,0,0
TT Bresnan (ENG),2006­2014,34,34,110.3,1,887,24,3/10,36.95,8.02,27.6,0,0
Haseeb Amjad (HK),2014­2016,18,18,61.2,3,453,24,4/16,18.87,7.38,15.3,1,0
RJ Peterson (SA),2006­2014,21,19,59.5,1,451,24,3/28,18.79,7.53,14.9,0,0
WB Rankin (ENG/IRE),2009­2016,22,21,76.0,1,464,24,3/17,19.33,6.10,19.0,0,0
JE Taylor (WI),2006­2016,23,23,75.0,2,614,24,3/6,25.58,8.18,18.7,0,0
Wahab Riaz (PAK),2008­2016,23,23,76.3,2,615,24,3/18,25.62,8.03,19.1,0,0
D Wiese (SA),2013­2016,20,20,65.2,0,497,24,5/23,20.70,7.60,16.3,0,1
IG Butler (NZ),2009­2013,19,18,59.4,1,481,23,3/19,20.91,8.06,15.5,0,0
KA Pollard (WI),2008­2016,50,34,78.0,0,642,23,3/30,27.91,8.23,20.3,0,0
RJ Sidebottom (ENG),2007­2010,18,18,61.1,0,437,23,3/16,19.00,7.14,15.9,0,0
T van der Gugten (Neth),2012­2016,22,21,65.5,0,446,23,3/18,19.39,6.77,17.1,0,0
Mustafizur Rahman (BDESH),2015­2016,13,13,51.2,0,307,22,5/22,13.95,5.98,14.0,0,1
Nadeem Ahmed (HK),2014­2016,21,21,70.3,3,455,22,4/21,20.68,6.45,19.2,1,0
SO Ngoche (Kenya),2010­2013,19,19,59.3,0,416,22,4/14,18.90,6.99,16.2,2,0
K Rabada (SA),2014­2016,16,16,60.2,0,498,22,3/30,22.63,8.25,16.4,0,0
SM Sharif (SCOT),2012­2016,20,19,62.2,0,485,22,4/24,22.04,7.78,17.0,1,0
AC Botha (IRE),2008­2010,14,10,34.0,0,184,21,3/14,8.76,5.41,9.7,0,0
NM Coulter­Nile (AUS),2013­2016,17,17,65.0,0,532,21,4/31,25.33,8.18,18.5,1,0
PJ Cummins (AUS),2011­2015,15,15,59.0,3,395,21,3/15,18.80,6.69,16.8,0,0
Imad Wasim (PAK),2015­2016,15,15,52.0,1,300,21,5/14,14.28,5.76,14.8,1,1
CJ Jordan (ENG),2014­2016,19,19,65.0,0,561,21,4/28,26.71,8.63,18.5,1,0
Mahmudullah (BDESH),2007­2016,53,36,87.1,2,617,21,2/5,29.38,7.07,24.9,0,0
AF Milne (NZ),2010­2016,18,18,62.1,1,458,21,4/37,21.80,7.36,17.7,1,0
Mohammad Sami (PAK),2010­2016,13,13,46.0,0,387,21,3/16,18.42,8.41,13.1,0,0
AD Russell (WI),2011­2016,43,36,85.1,0,787,21,2/10,37.47,9.24,24.3,0,0
Abdul Razzaq (PAK),2006­2013,32,22,56.3,2,395,20,3/13,19.75,6.99,16.9,0,0
Amjad Javed (UAE),2014­2016,15,15,48.2,0,375,20,3/25,18.75,7.75,14.5,0,0
JEC Franklin (NZ),2006­2013,38,26,54.3,0,417,20,4/15,20.85,7.65,16.3,1,0
