Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
L Balaji (INDIA),2012­2012,5,5,16.0,0,121,10,3/19,12.10,7.56,9.6,0,0
PVD Chameera (SL),2015­2016,13,13,45.1,0,359,10,3/30,35.90,7.94,27.1,0,0
TS Chisoro (ZIM),2015­2016,7,7,28.0,1,173,10,3/17,17.30,6.17,16.8,0,0
PC Connell (IRE),2008­2010,9,8,25.3,1,156,10,3/8,15.60,6.11,15.3,0,0
XJ Doherty (AUS),2012­2013,11,11,38.0,0,300,10,3/20,30.00,7.89,22.8,0,0
MR Gillespie (NZ),2006­2008,11,10,35.0,3,255,10,4/7,25.50,7.28,21.0,1,0
RM Hira (NZ),2012­2013,15,13,42.2,1,337,10,2/42,33.70,7.96,25.4,0,0
JR Hopes (AUS),2005­2010,12,12,37.0,0,283,10,2/26,28.30,7.64,22.2,0,0
KM Jarvis (ZIM),2011­2013,9,9,32.1,0,270,10,3/15,27.00,8.39,19.3,0,0
JF Mooney (IRE),2009­2015,27,10,26.0,1,176,10,2/7,17.60,6.76,15.6,0,0
PP Ojha (INDIA),2009­2010,6,6,21.0,0,132,10,4/21,13.20,6.28,12.6,1,0
H Osinde (Can),2008­2013,11,11,35.0,0,250,10,3/36,25.00,7.14,21.0,0,0
Raza Hasan (PAK),2012­2014,10,10,38.0,1,219,10,2/14,21.90,5.76,22.8,0,0
KAJ Roach (WI),2008­2012,11,11,39.0,1,284,10,2/25,28.40,7.28,23.4,0,0
DT Tiripano (ZIM),2016­2016,8,8,28.4,0,218,10,3/20,21.80,7.60,17.2,0,0
R Vinay Kumar (INDIA),2010­2013,9,9,31.3,0,247,10,3/24,24.70,7.84,18.9,0,0
DE Bollinger (AUS),2011­2014,9,9,35.0,0,249,9,1/22,27.66,7.11,23.3,0,0
TM Dilshan (SL),2006­2016,80,25,43.0,0,313,9,2/4,34.77,7.27,28.6,0,0
Elias Sunny (BDESH),2012­2012,7,7,23.0,1,146,9,5/13,16.22,6.34,15.3,0,1
BW Hilfenhaus (AUS),2007­2012,7,7,26.0,0,161,9,2/15,17.88,6.19,17.3,0,0
RK Kleinveldt (SA),2008­2013,6,6,20.2,1,173,9,3/18,19.22,8.50,13.5,0,0
Mehran Khan (Oman),2015­2016,11,8,27.0,0,186,9,3/18,20.66,6.88,18.0,0,0
Rizwan Cheema (Can),2008­2013,16,15,50.0,1,382,9,2/19,42.44,7.64,33.3,0,0
Sikandar Raza (ZIM),2013­2016,26,18,35.0,0,282,9,2/7,31.33,8.05,23.3,0,0
Taskin Ahmed (BDESH),2014­2016,13,11,38.0,1,238,9,2/32,26.44,6.26,25.3,0,0
I Wardlaw (SCOT),2013­2013,4,4,16.0,1,145,9,3/40,16.11,9.06,10.6,0,0
A Zampa (AUS),2016­2016,8,8,27.0,0,161,9,3/16,17.88,5.96,18.0,0,0
Aizaz Cheema (PAK),2011­2012,5,5,17.0,0,116,8,4/30,14.50,6.82,12.7,1,0
M Ansari (Oman),2015­2016,11,10,37.5,0,334,8,3/37,41.75,8.82,28.3,0,0
U Bhatti (Can),2008­2010,7,7,23.0,0,148,8,3/23,18.50,6.43,17.2,0,0
CJ Boyce (AUS),2014­2016,7,7,23.0,0,152,8,2/10,19.00,6.60,17.2,0,0
SS Cottrell (WI),2014­2015,6,6,20.1,1,183,8,3/28,22.87,9.07,15.1,0,0
Fawad Alam (PAK),2007­2010,24,6,15.0,0,95,8,3/7,11.87,6.33,11.2,0,0
SP Gauchan (Nepal),2014­2015,9,8,30.0,0,169,8,3/9,21.12,5.63,22.5,0,0
JR Hazlewood (AUS),2013­2016,7,7,28.0,0,269,8,4/30,33.62,9.60,21.0,1,0
Junaid Khan (PAK),2011­2014,9,9,27.0,0,236,8,3/24,29.50,8.74,20.2,0,0
Junaid Siddiqui (Can),2012­2013,8,8,29.0,1,180,8,3/10,22.50,6.20,21.7,0,0
P Kumar (INDIA),2008­2012,10,10,26.0,1,193,8,2/14,24.12,7.42,19.5,0,0
WK McCallan (IRE),2008­2009,9,7,21.5,0,152,8,2/26,19.00,6.96,16.3,0,0
N Madziva (ZIM),2015­2016,9,9,31.1,0,279,8,4/34,34.87,8.95,23.3,1,0
WP Masakadza (ZIM),2015­2016,7,7,25.0,1,197,8,4/28,24.62,7.88,18.7,1,0
Mohammad Ashraful (BDESH),2007­2013,23,8,23.0,0,210,8,3/42,26.25,9.13,17.2,0,0
Mohammad Shahzad (UAE),2015­2016,15,15,34.2,0,271,8,2/10,33.87,7.89,25.7,0,0
Mohammed Shami (INDIA),2014­2016,6,6,20.4,0,204,8,3/38,25.50,9.87,15.5,0,0
Shafiul Islam (BDESH),2010­2013,11,11,36.4,0,275,8,2/19,34.37,7.50,27.5,0,0
I Sharma (INDIA),2008­2013,14,14,46.2,0,400,8,2/34,50.00,8.63,34.7,0,0
TAM Siriwardana (SL),2015­2016,17,12,22.0,0,194,8,2/17,24.25,8.81,16.5,0,0
BA Stokes (ENG),2011­2016,18,14,42.4,1,395,8,3/26,49.37,9.25,32.0,0,0
A Symonds (AUS),2005­2009,14,12,30.5,0,277,8,2/14,34.62,8.98,23.1,0,0
JJ van der Wath (SA),2006­2007,8,8,31.0,0,231,8,2/31,28.87,7.45,23.2,0,0
