Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
D Murphy (SCOT),2013­2013,4,­,­,­,­,­,­,­,­,­,­,­
Mushfiqur Rahim (BDESH),2006­2016,57,­,­,­,­,­,­,­,­,­,­,­
P Mustard (ENG),2008­2008,2,­,­,­,­,­,­,­,­,­,­,­
F Mutizwa (ZIM),2011­2012,3,­,­,­,­,­,­,­,­,­,­,­
R Mutumbami (ZIM),2015­2016,14,­,­,­,­,­,­,­,­,­,­,­
SJ Myburgh (Neth),2012­2016,27,­,­,­,­,­,­,­,­,­,­,­
Nadif Chowdhury (BDESH),2006­2007,3,­,­,­,­,­,­,­,­,­,­,­
Najeeb Tarakai (AFG),2014­2014,2,­,­,­,­,­,­,­,­,­,­,­
Najibullah Zadran (AFG),2012­2016,27,­,­,­,­,­,­,­,­,­,­,­
Nasir Jamshed (PAK),2012­2013,18,­,­,­,­,­,­,­,­,­,­,­
Nauman Anwar (PAK),2015­2015,1,­,­,­,­,­,­,­,­,­,­,­
Nazimuddin (BDESH),2007­2008,7,­,­,­,­,­,­,­,­,­,­,­
Nazmus Sadat (BDESH),2006­2006,1,­,­,­,­,­,­,­,­,­,­,­
PM Nevill (AUS),2016­2016,9,­,­,­,­,­,­,­,­,­,­,­
HM Nicholls (NZ),2016­2016,1,­,­,­,­,­,­,­,­,­,­,­
PA Nixon (ENG),2007­2007,1,­,­,­,­,­,­,­,­,­,­,­
ML Nkala (ZIM),2006­2006,1,­,­,­,­,­,­,­,­,­,­,­
Noor Ali Zadran (AFG),2010­2016,18,­,­,­,­,­,­,­,­,­,­,­
MJ North (AUS),2009­2009,1,­,­,­,­,­,­,­,­,­,­,­
Nurul Hasan (BDESH),2016­2016,6,­,­,­,­,­,­,­,­,­,­,­
AA Obanda (Kenya),2007­2013,24,­,­,­,­,­,­,­,­,­,­,­
NJ O'Brien (IRE),2008­2016,30,­,­,­,­,­,­,­,­,­,­,­
DO Obuya (Kenya),2007­2012,10,­,­,­,­,­,­,­,­,­,­,­
NV Ojha (INDIA),2010­2010,2,­,­,­,­,­,­,­,­,­,­,­
KO Otieno (Kenya),2008­2008,4,­,­,­,­,­,­,­,­,­,­,­
MA Ouma (Kenya),2007­2013,22,­,­,­,­,­,­,­,­,­,­,­
SD Outerbridge (Ber),2008­2008,3,­,­,­,­,­,­,­,­,­,­,­
TD Paine (AUS),2009­2011,5,­,­,­,­,­,­,­,­,­,­,­
K Pala (PNG),2015­2015,2,­,­,­,­,­,­,­,­,­,­,­
MK Pandey (INDIA),2015­2016,6,­,­,­,­,­,­,­,­,­,­,­
BA Parchment (WI),2007­2007,1,­,­,­,­,­,­,­,­,­,­,­
PA Patel (INDIA),2011­2011,2,­,­,­,­,­,­,­,­,­,­,­
SP Patil (UAE),2014­2016,18,­,­,­,­,­,­,­,­,­,­,­
MDKJ Perera (SL),2013­2016,25,­,­,­,­,­,­,­,­,­,­,­
WKD Perkins (WI),2008­2008,1,­,­,­,­,­,­,­,­,­,­,­
AN Petersen (SA),2010­2010,2,­,­,­,­,­,­,­,­,­,­,­
LA Pomersbach (AUS),2007­2007,1,­,­,­,­,­,­,­,­,­,­,­
RT Ponting (AUS),2005­2009,17,­,­,­,­,­,­,­,­,­,­,­
NS Poonia (SCOT),2007­2010,8,­,­,­,­,­,­,­,­,­,­,­
N Pooran (WI),2016­2016,3,­,­,­,­,­,­,­,­,­,­,­
WTS Porterfield (IRE),2008­2016,49,­,­,­,­,­,­,­,­,­,­,­
KOA Powell (WI),2014­2014,1,­,­,­,­,­,­,­,­,­,­,­
AD Poynter (IRE),2012­2016,19,­,­,­,­,­,­,­,­,­,­,­
SW Poynter (IRE),2015­2016,10,­,­,­,­,­,­,­,­,­,­,­
AG Prince (SA),2005­2005,1,­,­,­,­,­,­,­,­,­,­,­
MJ Prior (ENG),2007­2010,10,­,­,­,­,­,­,­,­,­,­,­
Raees Ahmadzai (AFG),2010­2010,8,­,­,­,­,­,­,­,­,­,­,­
Rafatullah Mohmand (PAK),2015­2015,3,­,­,­,­,­,­,­,­,­,­,­
AM Rahane (INDIA),2011­2016,20,­,­,­,­,­,­,­,­,­,­,­
KL Rahul (INDIA),2016­2016,5,­,­,­,­,­,­,­,­,­,­,­
