Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
T Panyangara (ZIM),2013­2016,14,14,50.3,1,398,20,4/37,19.90,7.88,15.1,1,0
Amir Hamza (AFG),2013­2016,19,19,63.0,2,442,19,3/39,23.26,7.01,19.8,0,0
NW Bracken (AUS),2006­2009,19,19,62.5,2,438,19,3/11,23.05,6.97,19.8,0,0
DJ Hussey (AUS),2008­2012,39,25,60.1,1,392,19,3/25,20.63,6.51,19.0,0,0
ST Jayasuriya (SL),2006­2011,31,24,61.5,0,456,19,3/21,24.00,7.37,19.5,0,0
Mohammad Naveed (UAE),2015­2016,14,14,52.4,3,304,19,3/14,16.00,5.77,16.6,0,0
JDP Oram (NZ),2005­2012,36,32,91.0,0,793,19,3/33,41.73,8.71,28.7,0,0
Rashid Khan (AFG),2015­2016,14,14,55.0,0,376,19,3/11,19.78,6.83,17.3,0,0
MN Samuels (WI),2007­2016,51,26,72.2,0,561,19,3/23,29.52,7.75,22.8,0,0
Shoaib Akhtar (PAK),2006­2010,15,15,53.0,3,432,19,3/38,22.73,8.15,16.7,0,0
Tanwir Afzal (HK),2014­2016,21,21,71.0,2,509,19,2/8,26.78,7.16,22.4,0,0
JM Anderson (ENG),2007­2009,19,19,70.2,1,552,18,3/23,30.66,7.84,23.4,0,0
SJ Benn (WI),2008­2016,24,24,84.0,3,606,18,4/6,33.66,7.21,28.0,1,0
PW Borren (Neth),2008­2016,40,30,87.4,0,603,18,2/19,33.50,6.87,29.2,0,0
CRD Fernando (SL),2006­2016,18,18,63.0,3,464,18,3/19,25.77,7.36,21.0,0,0
HMRKB Herath (SL),2011­2016,17,17,60.5,3,373,18,5/3,20.72,6.13,20.2,0,1
K Santokie (WI),2011­2014,12,12,40.5,0,278,18,4/21,15.44,6.80,13.6,1,0
SB Styris (NZ),2005­2010,31,21,51.3,0,349,18,3/5,19.38,6.77,17.1,0,0
LL Tsotsobe (SA),2009­2014,23,23,78.0,2,541,18,3/16,30.05,6.93,26.0,0,0
HA Varaiya (Kenya),2007­2013,25,24,77.2,2,461,18,2/10,25.61,5.96,25.7,0,0
DJ Willey (ENG),2015­2016,12,12,39.2,0,325,18,3/20,18.05,8.26,13.1,0,0
LJ Wright (ENG),2007­2014,51,23,55.0,0,465,18,2/24,25.83,8.45,18.3,0,0
DAJ Bracewell (NZ),2011­2015,14,14,43.4,0,408,17,3/25,24.00,9.34,15.4,0,0
AB Dinda (INDIA),2009­2012,9,9,30.0,1,245,17,4/19,14.41,8.16,10.5,1,0
JP Duminy (SA),2007­2016,70,35,65.1,0,506,17,3/18,29.76,7.76,23.0,0,0
CH Gayle (WI),2006­2016,50,23,53.1,0,377,17,2/15,22.17,7.09,18.7,0,0
Z Khan (INDIA),2006­2012,17,17,58.4,0,448,17,4/19,26.35,7.63,20.7,1,0
CK Langeveldt (SA),2005­2010,9,9,33.0,0,241,17,4/19,14.17,7.30,11.6,1,0
R McLaren (SA),2009­2014,12,12,43.5,0,332,17,5/19,19.52,7.57,15.4,0,1
GJ Maxwell (AUS),2012­2016,36,32,77.0,0,575,17,3/13,33.82,7.46,27.1,0,0
MJ Santner (NZ),2015­2016,10,10,34.1,0,216,17,4/11,12.70,6.32,12.0,1,0
SPD Smith (AUS),2010­2016,30,17,48.3,1,377,17,3/20,22.17,7.77,17.1,0,0
SC Williams (ZIM),2006­2016,24,23,74.0,0,532,17,3/15,31.29,7.18,26.1,0,0
RS Bopara (ENG),2008­2014,38,21,53.4,1,387,16,4/10,24.18,7.21,20.1,1,0
E Chigumbura (ZIM),2006­2016,47,21,46.0,0,427,16,4/31,26.68,9.28,17.2,1,0
PD Collingwood (ENG),2005­2011,35,19,37.0,0,329,16,4/22,20.56,8.89,13.8,1,0
GD Drummond (SCOT),2008­2013,17,17,55.0,1,381,16,3/20,23.81,6.92,20.6,0,0
FH Edwards (WI),2007­2012,20,20,60.0,0,497,16,3/23,31.06,8.28,22.5,0,0
B Kumar (INDIA),2012­2016,16,16,57.0,2,381,16,3/9,23.81,6.68,21.3,0,0
CH Morris (SA),2012­2016,11,11,40.0,0,353,16,4/27,22.06,8.82,15.0,1,0
CB Mpofu (ZIM),2008­2015,20,20,71.0,0,616,16,3/16,38.50,8.67,26.6,0,0
NN Odhiambo (Kenya),2007­2013,24,21,56.1,1,468,16,5/20,29.25,8.33,21.0,0,1
JS Patel (NZ),2005­2008,11,10,33.1,1,269,16,3/20,16.81,8.11,12.4,0,0
AM Phangiso (SA),2012­2016,11,11,42.0,0,321,16,3/25,20.06,7.64,15.7,0,0
IS Sodhi (NZ),2014­2016,10,10,36.4,0,246,16,3/18,15.37,6.70,13.7,0,0
Yasir Arafat (PAK),2007­2012,13,13,39.2,0,316,16,3/18,19.75,8.03,14.7,0,0
RG Aga (Kenya),2008­2013,20,19,48.0,1,306,15,3/24,20.40,6.37,19.2,0,0
TA Boult (NZ),2013­2016,11,11,41.0,1,326,15,3/20,21.73,7.95,16.4,0,0
Mohammad Irfan (PAK),2012­2016,20,20,69.3,0,504,15,2/18,33.60,7.25,27.8,0,0
HH Pandya (INDIA),2016­2016,16,16,44.3,1,360,15,3/8,24.00,8.08,17.8,0,0
