Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
N Vanua (PNG),2015­2016,6,6,20.2,0,124,8,3/26,15.50,6.09,15.2,0,0
CA Young (IRE),2015­2016,11,10,31.0,1,240,8,2/15,30.00,7.74,23.2,0,0
Zeeshan Maqsood (Oman),2015­2016,12,7,22.0,0,199,8,3/22,24.87,9.04,16.5,0,0
Aftab Alam (AFG),2012­2015,6,6,19.5,0,166,7,2/23,23.71,8.36,17.0,0,0
Ahmed Raza (UAE),2014­2016,13,12,40.2,0,265,7,2/19,37.85,6.57,34.5,0,0
A Dananjaya (SL),2012­2013,5,5,14.0,0,95,7,2/9,13.57,6.78,12.0,0,0
JH Davey (SCOT),2012­2016,11,10,37.4,0,293,7,3/23,41.85,7.77,32.2,0,0
M de Lange (SA),2012­2015,6,6,23.2,0,228,7,2/26,32.57,9.77,20.0,0,0
G Goudie (SCOT),2010­2013,9,9,24.5,0,224,7,3/22,32.00,9.02,21.2,0,0
Gulbadin Naib (AFG),2012­2016,29,17,35.0,0,332,7,2/24,47.42,9.48,30.0,0,0
AS Hansra (Can),2012­2013,8,6,15.0,0,94,7,2/13,13.42,6.26,12.8,0,0
JW Hastings (AUS),2010­2016,9,9,31.0,0,247,7,3/14,35.28,7.96,26.5,0,0
GB Hogg (AUS),2006­2014,15,15,49.0,1,373,7,2/31,53.28,7.61,42.0,0,0
LM Jongwe (ZIM),2015­2016,8,7,21.2,0,211,7,2/24,30.14,9.89,18.2,0,0
S Randiv (SL),2010­2011,7,7,21.0,0,139,7,3/20,19.85,6.61,18.0,0,0
TE Kane (IRE),2015­2015,5,3,9.2,0,75,7,3/19,10.71,8.03,8.0,0,0
AV Lalcheta (Oman),2015­2016,11,10,38.3,3,274,7,1/13,39.14,7.11,33.0,0,0
MF Maharoof (SL),2006­2016,8,8,27.0,0,199,7,2/18,28.42,7.37,23.1,0,0
CS Martin (NZ),2007­2008,6,6,23.0,1,193,7,2/14,27.57,8.39,19.7,0,0
Nasir Hossain (BDESH),2011­2016,31,11,29.5,0,262,7,2/26,37.42,8.78,25.5,0,0
AR Patel (INDIA),2015­2016,7,7,27.0,0,161,7,3/17,23.00,5.96,23.1,0,0
SR Patel (ENG),2011­2013,18,15,42.0,0,321,7,2/6,45.85,7.64,36.0,0,0
Rubel Hossain (BDESH),2009­2014,11,10,33.2,0,313,7,2/63,44.71,9.39,28.5,0,0
Sayed Shirzad (AFG),2015­2016,3,3,11.0,1,74,7,3/16,10.57,6.72,9.4,0,0
DR Smith (WI),2006­2015,33,11,23.4,0,212,7,3/24,30.28,8.95,20.2,0,0
S Sreesanth (INDIA),2006­2008,10,9,34.0,2,288,7,2/12,41.14,8.47,29.1,0,0
T Thushara (SL),2008­2010,6,6,22.0,0,179,7,2/37,25.57,8.13,18.8,0,0
JC Tredwell (ENG),2012­2014,17,15,52.5,0,416,7,1/16,59.42,7.87,45.2,0,0
CR Woakes (ENG),2011­2015,8,8,27.0,0,253,7,2/40,36.14,9.37,23.1,0,0
WD Balaji Rao (Can),2008­2008,4,4,14.0,0,107,6,3/21,17.83,7.64,14.0,0,0
TL Best (WI),2013­2014,6,6,20.0,0,154,6,3/18,25.66,7.70,20.0,0,0
D Bishoo (WI),2011­2015,5,5,16.4,0,109,6,4/17,18.16,6.54,16.6,1,0
JAR Blain (SCOT),2007­2008,6,5,20.0,0,108,6,2/23,18.00,5.40,20.0,0,0
CR Brathwaite (WI),2011­2016,13,12,35.3,0,330,6,3/23,55.00,9.29,35.5,0,0
NM Carter (SCOT),2013­2013,7,7,26.0,1,168,6,2/27,28.00,6.46,26.0,0,0
MJ Clarke (AUS),2005­2010,34,15,26.0,0,225,6,1/2,37.50,8.65,26.0,0,0
S Dhaniram (Can),2008­2010,11,11,33.4,1,192,6,2/9,32.00,5.70,33.6,0,0
Farhad Reza (BDESH),2006­2014,13,11,26.0,0,261,6,2/34,43.50,10.03,26.0,0,0
Hasan Ali (PAK),2016­2016,3,3,11.0,0,105,6,3/49,17.50,9.54,11.0,0,0
MJ Henry (NZ),2014­2016,5,5,18.0,1,147,6,3/44,24.50,8.16,18.0,0,0
Izatullah Dawlatzai (AFG),2012­2012,4,4,12.0,0,134,6,3/33,22.33,11.16,12.0,0,0
RAS Lakmal (SL),2011­2016,8,8,27.4,0,255,6,2/26,42.50,9.21,27.6,0,0
BMAJ Mendis (SL),2011­2013,16,8,18.0,0,116,6,3/24,19.33,6.44,18.0,0,0
JM Muirhead (AUS),2014­2014,5,5,15.0,0,109,6,2/13,18.16,7.26,15.0,0,0
T Muzarabani (ZIM),2015­2016,9,9,30.0,0,280,6,2/31,46.66,9.33,30.0,0,0
M Ntini (SA),2005­2011,10,10,32.0,0,298,6,2/22,49.66,9.31,32.0,0,0
IE O'Brien (NZ),2009­2009,4,4,13.0,0,116,6,2/30,19.33,8.92,13.0,0,0
SNJ O'Keefe (AUS),2010­2011,7,7,19.0,0,149,6,3/29,24.83,7.84,19.0,0,0
E Otieno (Kenya),2012­2013,10,10,28.2,1,178,6,3/16,29.66,6.28,28.3,0,0
Qadeer Ahmed (UAE),2015­2016,8,8,24.0,1,185,6,2/25,30.83,7.70,24.0,0,0
