Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Rokhan Barakzai (AFG),2015­2015,3,3,10.0,0,75,6,2/21,12.50,7.50,10.0,0,0
JE Root (ENG),2012­2016,21,8,12.0,0,128,6,2/9,21.33,10.66,12.0,0,0
Sabbir Rahman (BDESH),2014­2016,26,8,11.1,0,70,6,3/11,11.66,6.26,11.1,0,0
Sagar Pun (Nepal),2014­2015,9,8,23.3,0,131,6,3/26,21.83,5.57,23.5,0,0
E Schiferli (Neth),2008­2010,7,6,23.0,0,146,6,3/23,24.33,6.34,23.0,0,0
MM Sharma (INDIA),2014­2015,8,8,23.0,0,185,6,2/28,30.83,8.04,23.0,0,0
LMP Simmons (WI),2007­2016,38,3,6.0,0,55,6,4/19,9.16,9.16,6.0,1,0
BB Sran (INDIA),2016­2016,2,2,8.0,1,41,6,4/10,6.83,5.12,8.0,1,0
WPUJC Vaas (SL),2006­2007,6,6,22.0,1,128,6,2/14,21.33,5.81,22.0,0,0
A Vala (PNG),2015­2016,6,4,9.4,0,53,6,2/7,8.83,5.48,9.6,0,0
Aamir Kaleem (Oman),2015­2016,11,7,18.0,0,157,5,4/36,31.40,8.72,21.6,1,0
CJA Amini (PNG),2015­2016,6,5,9.1,0,63,5,2/13,12.60,6.87,11.0,0,0
Bilawal Bhatti (PAK),2013­2015,9,9,26.0,0,255,5,2/36,51.00,9.80,31.2,0,0
DR Briggs (ENG),2012­2014,7,6,18.0,0,199,5,2/25,39.80,11.05,21.6,0,0
KJ Coetzer (SCOT),2008­2016,35,5,11.0,0,71,5,3/25,14.20,6.45,13.2,0,0
A Flintoff (ENG),2005­2007,7,7,25.0,0,161,5,2/23,32.20,6.44,30.0,0,0
AM Guruge (UAE),2014­2015,5,5,16.0,0,125,5,2/18,25.00,7.81,19.2,0,0
BE Hendricks (SA),2014­2014,5,5,16.4,0,149,5,2/31,29.80,8.94,20.0,0,0
JO Holder (WI),2014­2015,4,4,13.0,0,121,5,2/34,24.20,9.30,15.6,0,0
MS Kasprowicz (AUS),2005­2005,2,2,7.0,0,57,5,4/29,11.40,8.14,8.4,1,0
GD McGrath (AUS),2005­2005,2,2,8.0,0,79,5,3/31,15.80,9.87,9.6,0,0
MW Machan (SCOT),2013­2016,13,7,22.3,0,156,5,3/23,31.20,6.93,27.0,0,0
Naved­ul­Hasan (PAK),2006­2010,4,4,14.1,0,101,5,3/19,20.20,7.12,17.0,0,0
RJ Nicol (NZ),2010­2013,21,13,20.3,0,167,5,2/20,33.40,8.14,24.6,0,0
GH O'Brien (Ber),2008­2008,3,3,11.0,0,41,5,2/11,8.20,3.72,13.2,0,0
NM Odhiambo (Kenya),2010­2013,8,7,18.0,0,127,5,2/33,25.40,7.05,21.6,0,0
PJ Ongondo (Kenya),2007­2008,8,8,26.0,1,177,5,2/18,35.40,6.80,31.2,0,0
RML Taylor (SCOT),2013­2016,9,9,25.0,1,196,5,3/17,39.20,7.84,30.0,0,0
RJW Topley (ENG),2015­2016,6,6,17.1,0,173,5,3/24,34.60,10.07,20.6,0,0
I Udana (SL),2009­2016,7,7,25.0,1,216,5,2/17,43.20,8.64,30.0,0,0
LV van Beek (Neth),2014­2016,8,7,17.0,0,160,5,3/9,32.00,9.41,20.4,0,0
Yamin Ahmadzai (AFG),2015­2015,2,2,7.1,0,65,5,3/34,13.00,9.06,8.6,0,0
DI Allan (Kenya),2012­2013,10,7,9.2,0,82,4,2/8,20.50,8.78,14.0,0,0
NJ Astle (NZ),2005­2006,4,2,6.5,0,50,4,3/20,12.50,7.31,10.2,0,0
HMCM Bandara (SL),2006­2009,4,4,14.0,0,96,4,3/32,24.00,6.85,21.0,0,0
MD Bates (NZ),2012­2012,3,3,11.0,0,107,4,3/31,26.75,9.72,16.5,0,0
GB Brent (ZIM),2006­2007,3,3,11.0,0,93,4,2/19,23.25,8.45,16.5,0,0
PP Chawla (INDIA),2010­2012,7,7,23.0,1,151,4,2/13,37.75,6.56,34.5,0,0
MD Dai (PNG),2015­2016,6,6,15.0,0,103,4,2/13,25.75,6.86,22.5,0,0
JM Davison (Can),2008­2010,5,5,18.0,0,91,4,2/19,22.75,5.05,27.0,0,0
RJ Harris (AUS),2010­2010,3,3,11.4,1,95,4,2/27,23.75,8.14,17.5,0,0
MC Henriques (AUS),2009­2016,6,5,12.0,0,110,4,2/35,27.50,9.16,18.0,0,0
Joginder Sharma (INDIA),2007­2007,4,4,14.3,0,138,4,2/20,34.50,9.51,21.7,0,0
MBS Jonkman (Neth),2010­2010,3,3,8.0,0,47,4,2/21,11.75,5.87,12.0,0,0
Karan KC (Nepal),2015­2015,5,5,15.0,0,138,4,2/24,34.50,9.20,22.5,0,0
Khawar Ali (Oman),2015­2016,10,8,22.0,0,159,4,2/19,39.75,7.22,33.0,0,0
V Kohli (INDIA),2010­2016,45,12,24.2,0,198,4,1/13,49.50,8.13,36.5,0,0
GA Lamb (ZIM),2010­2010,5,5,12.1,0,80,4,2/14,20.00,6.57,18.2,0,0
E Leie (SA),2015­2015,2,2,6.0,0,48,4,3/16,12.00,8.00,9.0,0,0
J Lewis (ENG),2005­2007,2,2,7.0,0,55,4,4/24,13.75,7.85,10.5,1,0
