Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Amir Ali (Oman),2015­2016,10,5,9.0,0,67,1,1/6,67.00,7.44,54.0,0,0
S Aravind (INDIA),2015­2015,1,1,3.4,0,44,1,1/44,44.00,12.00,22.0,0,0
Asghar Stanikzai (AFG),2010­2016,36,1,0.4,0,4,1,1/4,4.00,6.00,4.0,0,0
CD Barnwell (WI),2011­2013,6,4,6.0,0,51,1,1/24,51.00,8.50,36.0,0,0
A Bhattarai (Nepal),2014­2014,1,1,3.0,0,12,1,1/12,12.00,4.00,18.0,0,0
STR Binny (INDIA),2015­2016,3,3,5.0,0,54,1,1/14,54.00,10.80,30.0,0,0
N Boje (SA),2005­2005,1,1,4.0,0,27,1,1/27,27.00,6.75,24.0,0,0
SG Borthwick (ENG),2011­2011,1,1,4.0,0,15,1,1/15,15.00,3.75,24.0,0,0
CL Cairns (NZ),2005­2006,2,2,8.0,0,52,1,1/28,52.00,6.50,48.0,0,0
BCJ Cutting (AUS),2013­2014,4,4,11.0,0,99,1,1/18,99.00,9.00,66.0,0,0
H Davids (SA),2012­2013,9,2,2.0,0,13,1,1/6,13.00,6.50,12.0,0,0
JL Denly (ENG),2009­2010,5,1,1.0,0,9,1,1/9,9.00,9.00,6.0,0,0
PA Desai (Can),2012­2012,1,1,3.0,0,30,1,1/30,30.00,10.00,18.0,0,0
R Dhawan (INDIA),2016­2016,1,1,4.0,0,42,1,1/42,42.00,10.50,24.0,0,0
Ehsan Khan (HK),2016­2016,1,1,4.0,0,26,1,1/26,26.00,6.50,24.0,0,0
Fayyaz Ahmed (UAE),2015­2015,1,1,3.0,0,29,1,1/29,29.00,9.66,18.0,0,0
JN Gillespie (AUS),2005­2005,1,1,4.0,0,49,1,1/49,49.00,12.25,24.0,0,0
SJ Harmison (ENG),2005­2006,2,2,6.3,0,42,1,1/13,42.00,6.46,39.0,0,0
BJ Hodge (AUS),2007­2014,15,3,5.0,0,43,1,1/13,43.00,8.60,30.0,0,0
Iftikhar Anjum (PAK),2007­2009,2,2,8.0,0,67,1,1/34,67.00,8.37,48.0,0,0
AJ Ireland (ZIM),2006­2006,1,1,3.0,0,33,1,1/33,33.00,11.00,18.0,0,0
A Karn (Nepal),2015­2015,2,2,8.0,0,49,1,1/31,49.00,6.12,48.0,0,0
Khurram Chohan (Can),2010­2010,4,4,12.1,0,106,1,1/24,106.00,8.71,73.0,0,0
Khurram Khan (UAE),2014­2014,3,1,1.0,0,8,1,1/8,8.00,8.00,6.0,0,0
VJ Kingma (Neth),2016­2016,1,1,4.0,0,32,1,1/32,32.00,8.00,24.0,0,0
RT Lyons (SCOT),2010­2010,2,2,6.0,0,40,1,1/26,40.00,6.66,36.0,0,0
A Martin (WI),2011­2011,1,1,3.0,0,20,1,1/20,20.00,6.66,18.0,0,0
T Maruma (ZIM),2008­2016,10,2,3.0,0,20,1,1/8,20.00,6.66,18.0,0,0
Mohammad Nadeem (Oman),2015­2015,2,2,7.0,0,53,1,1/20,53.00,7.57,42.0,0,0
Mohammad Rafique (BDESH),2006­2006,1,1,4.0,0,22,1,1/22,22.00,5.50,24.0,0,0
Mohammad Shahid (BDESH),2016­2016,1,1,3.0,0,32,1,1/32,32.00,10.66,18.0,0,0
J Mubarak (SL),2007­2009,16,2,1.2,0,17,1,1/9,17.00,12.75,8.0,0,0
J Mulder (IRE),2016­2016,1,1,4.0,0,25,1,1/25,25.00,6.25,24.0,0,0
T Mupariwa (ZIM),2007­2008,4,4,13.0,0,94,1,1/22,94.00,7.23,78.0,0,0
Najeeb Amar (HK),2014­2014,1,1,3.0,0,29,1,1/29,29.00,9.66,18.0,0,0
Nazmul Hossain (BDESH),2009­2012,4,4,7.0,0,67,1,1/15,67.00,9.57,42.0,0,0
P Negi (INDIA),2016­2016,1,1,3.0,0,16,1,1/16,16.00,5.33,18.0,0,0
L Nou (PNG),2015­2015,3,3,10.0,0,65,1,1/24,65.00,6.50,60.0,0,0
MP O'Dowd (Neth),2015­2016,5,2,2.4,0,14,1,1/7,14.00,5.25,16.0,0,0
JL Ontong (SA),2008­2015,14,4,6.0,0,83,1,1/25,83.00,13.83,36.0,0,0
MA Parker (SCOT),2012­2012,2,2,6.0,0,61,1,1/36,61.00,10.16,36.0,0,0
RR Patel (Kenya),2008­2013,22,3,3.0,0,26,1,1/13,26.00,8.66,18.0,0,0
KP Pietersen (ENG),2005­2013,37,3,5.0,0,53,1,1/27,53.00,10.60,30.0,0,0
M Pushpakumara (SL),2009­2009,1,1,3.0,0,27,1,1/27,27.00,9.00,18.0,0,0
RLB Rambukwella (SL),2013­2016,2,2,6.3,0,46,1,1/19,46.00,7.07,39.0,0,0
KW Richardson (AUS),2014­2016,3,3,10.0,0,82,1,1/13,82.00,8.20,60.0,0,0
AM Samad (Can),2008­2010,7,1,2.0,0,36,1,1/36,36.00,18.00,12.0,0,0
Sandeep Sharma (INDIA),2015­2015,2,2,7.0,0,73,1,1/39,73.00,10.42,42.0,0,0
KV Sharma (INDIA),2014­2014,1,1,4.0,0,28,1,1/28,28.00,7.00,24.0,0,0
RG Sharma (INDIA),2007­2016,62,9,11.2,0,113,1,1/22,113.00,9.97,68.0,0,0
