Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
T Henderson (SA),2006­2006,1,1,4.0,0,31,0,­,­,7.75,­,0,0
H Hiri (PNG),2016­2016,2,1,1.0,0,5,0,­,­,5.00,­,0,0
KC Hodsoll (Ber),2008­2008,1,1,1.0,0,8,0,­,­,8.00,­,0,0
MEK Hussey (AUS),2005­2012,38,1,1.0,0,5,0,­,­,5.00,­,0,0
Jatinder Singh (Oman),2015­2016,11,1,2.0,0,17,0,­,­,8.50,­,0,0
DPMD Jayawardene (SL),2006­2014,55,1,1.0,0,8,0,­,­,8.00,­,0,0
NG Jones (IRE),2010­2012,5,2,2.0,0,14,0,­,­,7.00,­,0,0
TP Kamungozi (ZIM),2014­2014,1,1,2.0,0,17,0,­,­,8.50,­,0,0
M Kartik (INDIA),2007­2007,1,1,4.0,0,27,0,­,­,6.75,­,0,0
JM Kemp (SA),2005­2007,8,1,1.0,0,5,0,­,­,5.00,­,0,0
GE Kidd (IRE),2010­2010,1,1,3.0,0,32,0,­,­,10.66,­,0,0
RJ Kirtley (ENG),2007­2007,1,1,1.0,0,17,0,­,­,17.00,­,0,0
GJP Kruger (SA),2006­2006,1,1,4.0,0,29,0,­,­,7.25,­,0,0
RDM Leverock (Ber),2008­2008,2,2,5.0,0,27,0,­,­,5.40,­,0,0
RN Lewis (WI),2008­2008,1,1,1.0,0,9,0,­,­,9.00,­,0,0
J Little (IRE),2016­2016,1,1,4.0,0,25,0,­,­,6.25,­,0,0
NM Lyon (AUS),2016­2016,1,1,1.0,0,15,0,­,­,15.00,­,0,0
S Matsikenyeri (ZIM),2006­2012,10,3,2.4,0,23,0,­,­,8.62,­,0,0
GJ McCarter (IRE),2015­2015,3,2,5.0,0,50,0,­,­,10.00,­,0,0
A Mehmood (HK),2016­2016,2,1,1.0,0,12,0,­,­,12.00,­,0,0
Mehrab Hossain jnr (BDESH),2008­2009,2,1,2.5,0,20,0,­,­,7.05,­,0,0
KO Meth (ZIM),2012­2012,2,2,7.0,0,64,0,­,­,9.14,­,0,0
TS Mills (ENG),2016­2016,1,1,4.0,0,22,0,­,­,5.50,­,0,0
Mohammad Tauqir (UAE),2015­2015,3,3,7.0,1,55,0,­,­,7.85,­,0,0
HJC Mol (Neth),2008­2008,4,1,1.3,0,12,0,­,­,8.00,­,0,0
Mominul Haque (BDESH),2012­2014,6,2,3.0,0,32,0,­,­,10.66,­,0,0
Mosaddek Hossain (BDESH),2016­2016,1,1,2.0,0,10,0,­,­,5.00,­,0,0
Muktar Ali (BDESH),2016­2016,1,1,2.0,0,17,0,­,­,8.50,­,0,0
C Munro (NZ),2012­2016,28,2,3.0,0,30,0,­,­,10.00,­,0,0
Nasir Aziz (UAE),2015­2015,1,1,4.0,0,21,0,­,­,5.25,­,0,0
AR Nurse (WI),2011­2015,4,4,13.0,0,102,0,­,­,7.84,­,0,0
LN Oluoch (Kenya),2013­2013,1,1,2.0,0,30,0,­,­,15.00,­,0,0
AK Perera (SL),2013­2014,2,1,1.0,0,17,0,­,­,17.00,­,0,0
PDRL Perera (SL),2006­2006,2,2,7.0,0,77,0,­,­,11.00,­,0,0
OL Pitcher (Ber),2008­2008,3,1,1.0,0,7,0,­,­,7.00,­,0,0
KTGD Prasad (SL),2011­2011,1,1,3.0,0,37,0,­,­,12.33,­,0,0
EC Rainsford (ZIM),2010­2010,2,2,6.0,0,67,0,­,­,11.16,­,0,0
Robiul Islam (BDESH),2013­2013,1,1,1.0,0,13,0,­,­,13.00,­,0,0
Rumman Raees (PAK),2016­2016,1,1,3.0,0,10,0,­,­,3.33,­,0,0
Saad Nasim (PAK),2014­2014,3,1,1.0,0,12,0,­,­,12.00,­,0,0
Sajedul Islam (BDESH),2013­2013,1,1,1.0,0,15,0,­,­,15.00,­,0,0
Saqlain Sajib (BDESH),2016­2016,1,1,3.3,0,40,0,­,­,11.42,­,0,0
V Sehwag (INDIA),2006­2012,19,1,1.0,0,20,0,­,­,20.00,­,0,0
Shabbir Ahmed (PAK),2007­2007,1,1,2.0,0,19,0,­,­,9.50,­,0,0
GC Smith (SA),2005­2011,33,3,4.0,0,57,0,­,­,14.25,­,0,0
JN Snape (ENG),2007­2007,1,1,1.0,0,12,0,­,­,12.00,­,0,0
Sohaib Maqsood (PAK),2013­2016,20,1,1.0,0,12,0,­,­,12.00,­,0,0
Soumya Sarkar (BDESH),2015­2016,19,1,1.0,0,11,0,­,­,11.00,­,0,0
MP Stoinis (AUS),2015­2015,1,1,1.0,0,13,0,­,­,13.00,­,0,0
Suhrawadi Shuvo (BDESH),2010­2010,1,1,1.0,0,12,0,­,­,12.00,­,0,0
