Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
D Ramdin (WI),2006­2016,58,­,­,­,­,­,­,­,­,­,­,­
Rameez Raja (2) (PAK),2011­2011,2,­,­,­,­,­,­,­,­,­,­,­
DA Rankin (IRE),2015­2016,2,­,­,­,­,­,­,­,­,­,­,­
Raqibul Hasan (BDESH),2008­2010,5,­,­,­,­,­,­,­,­,­,­,­
AT Rayudu (INDIA),2014­2016,6,­,­,­,­,­,­,­,­,­,­,­
CMW Read (ENG),2006­2006,1,­,­,­,­,­,­,­,­,­,­,­
NJ Reardon (AUS),2014­2014,2,­,­,­,­,­,­,­,­,­,­,­
DJ Reekers (Neth),2008­2009,6,­,­,­,­,­,­,­,­,­,­,­
FL Reifer (WI),2009­2009,1,­,­,­,­,­,­,­,­,­,­,­
ACL Richards (WI),2007­2007,1,­,­,­,­,­,­,­,­,­,­,­
DM Richards (WI),2009­2009,1,­,­,­,­,­,­,­,­,­,­,­
BJ Rohrer (AUS),2013­2013,1,­,­,­,­,­,­,­,­,­,­,­
L Ronchi (AUS/NZ),2008­2016,29,­,­,­,­,­,­,­,­,­,­,­
Rony Talukdar (BDESH),2015­2015,1,­,­,­,­,­,­,­,­,­,­,­
RR Rossouw (SA),2014­2016,15,­,­,­,­,­,­,­,­,­,­,­
JJ Roy (ENG),2014­2016,16,­,­,­,­,­,­,­,­,­,­,­
JA Rudolph (SA),2006­2006,1,­,­,­,­,­,­,­,­,­,­,­
RJMGM Rupasinghe (SL),2009­2009,2,­,­,­,­,­,­,­,­,­,­,­
HD Rutherford (NZ),2013­2013,7,­,­,­,­,­,­,­,­,­,­,­
Salman Butt (PAK),2007­2010,24,­,­,­,­,­,­,­,­,­,­,­
SV Samson (INDIA),2015­2015,1,­,­,­,­,­,­,­,­,­,­,­
KC Sangakkara (SL),2006­2014,56,­,­,­,­,­,­,­,­,­,­,­
Saqlain Haider (UAE),2016­2016,6,­,­,­,­,­,­,­,­,­,­,­
Sarfraz Ahmed (PAK),2010­2016,25,­,­,­,­,­,­,­,­,­,­,­
JD Schoonheim (Neth),2008­2008,1,­,­,­,­,­,­,­,­,­,­,­
Shabir Noori (AFG),2012­2012,1,­,­,­,­,­,­,­,­,­,­,­
Shafiqullah (AFG),2010­2016,30,­,­,­,­,­,­,­,­,­,­,­
KD Shah (HK),2014­2016,15,­,­,­,­,­,­,­,­,­,­,­
OA Shah (ENG),2007­2009,17,­,­,­,­,­,­,­,­,­,­,­
Shahid Wasif (HK),2016­2016,1,­,­,­,­,­,­,­,­,­,­,­
Shahriar Nafees (BDESH),2006­2006,1,­,­,­,­,­,­,­,­,­,­,­
Shahzaib Hasan (PAK),2009­2010,10,­,­,­,­,­,­,­,­,­,­,­
Shaiman Anwar (UAE),2014­2016,18,­,­,­,­,­,­,­,­,­,­,­
Shakeel Ansar (PAK),2012­2012,2,­,­,­,­,­,­,­,­,­,­,­
Shamsur Rahman (BDESH),2013­2014,9,­,­,­,­,­,­,­,­,­,­,­
JNK Shannon (IRE),2013­2016,2,­,­,­,­,­,­,­,­,­,­,­
Sharjeel Khan (PAK),2013­2016,15,­,­,­,­,­,­,­,­,­,­,­
V Shetty (UAE),2014­2014,2,­,­,­,­,­,­,­,­,­,­,­
Shoaib Khan jnr (PAK),2008­2008,4,­,­,­,­,­,­,­,­,­,­,­
L Siaka (PNG),2015­2016,6,­,­,­,­,­,­,­,­,­,­,­
V Sibanda (ZIM),2007­2016,26,­,­,­,­,­,­,­,­,­,­,­
Sikander Zulfiqar (Neth),2016­2016,2,­,­,­,­,­,­,­,­,­,­,­
MS Sinclair (NZ),2005­2007,2,­,­,­,­,­,­,­,­,­,­,­
CJO Smith (SCOT),2007­2009,8,­,­,­,­,­,­,­,­,­,­,­
DS Smith (WI),2007­2009,6,­,­,­,­,­,­,­,­,­,­,­
SJS Smith (SCOT),2010­2012,5,­,­,­,­,­,­,­,­,­,­,­
J Smits (Neth),2008­2009,6,­,­,­,­,­,­,­,­,­,­,­
VS Solanki (ENG),2005­2007,3,­,­,­,­,­,­,­,­,­,­,­
AJ Strauss (ENG),2005­2009,4,­,­,­,­,­,­,­,­,­,­,­
R Strydom (IRE),2008­2008,4,­,­,­,­,­,­,­,­,­,­,­
