Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
SM Pollock (SA),2005­2008,12,11,40.3,1,309,15,3/28,20.60,7.62,16.2,0,0
AU Rashid (ENG),2009­2016,20,19,64.0,1,500,15,2/18,33.33,7.81,25.6,0,0
B Regmi (Nepal),2014­2015,11,11,38.1,0,227,15,4/16,15.13,5.94,15.2,1,0
RP Singh (INDIA),2007­2009,10,9,33.0,0,225,15,4/13,15.00,6.81,13.2,1,0
MRJ Watt (SCOT),2015­2016,14,12,43.0,1,331,15,5/27,22.06,7.69,17.2,0,1
CJ Anderson (NZ),2012­2016,25,21,60.0,0,495,14,2/17,35.35,8.25,25.7,0,0
RD Berrington (SCOT),2008­2016,36,20,42.2,0,305,14,3/22,21.78,7.20,18.1,0,0
Bilal Khan (Oman),2015­2016,12,11,41.1,0,283,14,4/20,20.21,6.87,17.6,1,0
GD Elliott (NZ),2009­2016,16,14,30.0,0,218,14,4/22,15.57,7.26,12.8,1,0
AC Evans (SCOT),2015­2016,11,9,35.0,2,225,14,5/24,16.07,6.42,15.0,0,1
Karim Sadiq (AFG),2010­2016,34,28,70.0,0,482,14,3/17,34.42,6.88,30.0,0,0
Mirwais Ashraf (AFG),2010­2016,25,22,65.2,1,444,14,2/6,31.71,6.79,28.0,0,0
A Mishra (INDIA),2010­2016,8,8,30.0,1,192,14,3/24,13.71,6.40,12.8,0,0
MR Swart (Neth),2012­2016,26,20,53.0,1,351,14,2/8,25.07,6.62,22.7,0,0
PA van Meekeren (Neth),2013­2016,15,14,42.0,2,240,14,4/11,17.14,5.71,18.0,1,0
CJ Chibhabha (ZIM),2006­2016,30,19,47.5,0,396,13,3/18,30.46,8.27,22.0,0,0
SR Clark (AUS),2006­2007,9,9,36.0,0,237,13,4/20,18.23,6.58,16.6,1,0
JK Kamande (Kenya),2007­2010,12,10,34.2,1,212,13,3/28,16.30,6.17,15.8,0,0
Mohammad Asif (PAK),2006­2010,11,11,42.5,1,343,13,4/18,26.38,8.00,19.7,1,0
M Muralitharan (SL),2006­2010,12,12,47.0,0,297,13,3/29,22.84,6.31,21.6,0,0
TJ Murtagh (IRE),2012­2016,14,14,44.4,0,324,13,3/23,24.92,7.25,20.6,0,0
YK Pathan (INDIA),2007­2012,22,17,50.5,0,438,13,2/22,33.69,8.61,23.4,0,0
RW Price (ZIM),2008­2012,16,16,61.3,4,378,13,2/6,29.07,6.14,28.3,0,0
Rohan Mustafa (UAE),2014­2016,16,15,45.4,2,310,13,3/9,23.84,6.78,21.0,0,0
PR Stirling (IRE),2009­2016,37,21,58.0,1,395,13,3/21,30.38,6.81,26.7,0,0
Arafat Sunny (BDESH),2014­2016,10,10,31.0,0,230,12,2/17,19.16,7.41,15.5,0,0
JH Kallis (SA),2005­2012,25,19,46.0,1,333,12,4/15,27.75,7.23,23.0,1,0
AD Mascarenhas (ENG),2007­2009,14,14,42.0,0,309,12,3/18,25.75,7.35,21.0,0,0
JD Nel (SCOT),2007­2010,10,9,31.0,3,169,12,3/10,14.08,5.45,15.5,0,0
SK Raina (INDIA),2006­2016,62,21,45.1,0,326,12,2/6,27.16,7.21,22.5,0,0
MJG Rippon (Neth),2013­2016,14,14,38.4,2,242,12,3/8,20.16,6.25,19.3,0,0
Sompal Kami (Nepal),2014­2015,11,11,38.0,1,268,12,2/13,22.33,7.05,19.0,0,0
RN ten Doeschate (Neth),2008­2010,9,9,34.0,0,241,12,3/23,20.08,7.08,17.0,0,0
J Theron (SA),2010­2012,9,9,32.2,0,261,12,4/27,21.75,8.07,16.1,1,0
SO Tikolo (Kenya),2007­2013,15,10,28.2,0,168,12,4/2,14.00,5.92,14.1,1,0
Zulfiqar Babar (PAK),2013­2014,7,7,26.0,1,185,12,3/23,15.41,7.11,13.0,0,0
Abdur Rehman (PAK),2007­2013,8,8,26.0,0,192,11,2/7,17.45,7.38,14.1,0,0
MM Ali (ENG),2014­2016,19,16,40.0,0,329,11,2/22,29.90,8.22,21.8,0,0
TL Chatara (ZIM),2010­2016,11,11,40.0,1,308,11,2/21,28.00,7.70,21.8,0,0
DT Christian (AUS),2010­2014,15,15,35.0,0,310,11,3/27,28.18,8.85,19.0,0,0
Irfan Ahmed (HK),2014­2015,8,8,27.0,0,190,11,3/11,17.27,7.03,14.7,0,0
MA Leask (SCOT),2013­2016,13,8,27.0,0,196,11,3/20,17.81,7.25,14.7,0,0
AR McBrine (IRE),2014­2016,12,10,25.0,0,185,11,2/7,16.81,7.40,13.6,0,0
NO Miller (WI),2009­2014,9,9,31.4,0,224,11,2/20,20.36,7.07,17.2,0,0
JDS Neesham (NZ),2012­2015,13,12,31.4,0,242,11,3/16,22.00,7.64,17.2,0,0
CO Obuya (Kenya),2007­2013,26,10,30.3,0,202,11,3/17,18.36,6.62,16.6,0,0
TM Odoyo (Kenya),2007­2013,11,10,36.0,0,170,11,3/17,15.45,4.72,19.6,0,0
LE Plunkett (ENG),2006­2016,9,9,33.5,1,244,11,3/21,22.18,7.21,18.4,0,0
MH Yardy (ENG),2006­2011,14,13,46.0,0,299,11,2/19,27.18,6.50,25.0,0,0
Anwar Ali (PAK),2008­2016,16,15,44.1,0,367,10,2/27,36.70,8.30,26.5,0,0
