Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
B Geeves (AUS),2009­2009,1,1,3.2,0,35,2,2/35,17.50,10.50,10.0,0,0
JOA Gordon (Can),2013­2013,2,2,7.0,0,62,2,2/30,31.00,8.85,21.0,0,0
NM Hauritz (AUS),2009­2009,3,2,7.2,0,47,2,1/20,23.50,6.40,22.0,0,0
PA Hitchcock (NZ),2008­2008,1,1,3.0,0,43,2,2/43,21.50,14.33,9.0,0,0
Imran Khan (1) (PAK),2015­2015,3,3,12.0,0,106,2,2/35,53.00,8.83,36.0,0,0
MM Iqbal (SCOT),2012­2013,6,3,8.0,0,59,2,2/15,29.50,7.37,24.0,0,0
Jubair Hossain (BDESH),2015­2015,1,1,2.0,0,20,2,2/20,10.00,10.00,6.0,0,0
Kamran Shazad (UAE),2014­2014,3,3,8.4,0,77,2,2/19,38.50,8.88,26.0,0,0
P Khadka (Nepal),2014­2015,11,11,28.0,1,170,2,1/3,85.00,6.07,84.0,0,0
A Khan (ENG),2009­2009,1,1,4.0,0,34,2,2/34,17.00,8.50,12.0,0,0
B Laughlin (AUS),2009­2013,3,3,11.5,0,118,2,1/32,59.00,9.97,35.5,0,0
KS Lokuarachchi (SL),2012­2012,2,2,6.0,0,48,2,2/31,24.00,8.00,18.0,0,0
J Louw (SA),2008­2009,2,2,7.0,0,54,2,2/36,27.00,7.71,21.0,0,0
AJ McKay (NZ),2010­2010,2,2,5.4,0,31,2,2/20,15.50,5.47,17.0,0,0
CS MacLeod (SCOT),2009­2016,24,5,12.0,0,98,2,2/17,49.00,8.16,36.0,0,0
GI Maiden (SCOT),2008­2008,3,3,10.0,0,58,2,1/20,29.00,5.80,30.0,0,0
GT Main (SCOT),2015­2016,4,2,4.0,0,34,2,1/13,17.00,8.50,12.0,0,0
H Masakadza (ZIM),2006­2016,50,9,12.0,0,113,2,1/4,56.50,9.41,36.0,0,0
MJ Mason (NZ),2006­2008,3,3,9.0,0,65,2,1/18,32.50,7.22,27.0,0,0
SC Meaker (ENG),2012­2012,2,2,7.5,0,70,2,1/28,35.00,8.93,23.5,0,0
CT Mutombodzi (ZIM),2013­2016,5,3,10.0,0,81,2,2/28,40.50,8.10,30.0,0,0
M Nasim Baras (AFG),2015­2015,3,3,8.0,0,56,2,1/11,28.00,7.00,24.0,0,0
A Nel (SA),2005­2007,2,2,8.0,0,42,2,2/19,21.00,5.25,24.0,0,0
MS Panesar (ENG),2007­2007,1,1,4.0,0,40,2,2/40,20.00,10.00,12.0,0,0
H Patel (Can),2010­2013,11,5,9.5,0,83,2,2/23,41.50,8.44,29.5,0,0
N Pokana (PNG),2016­2016,3,3,5.0,0,30,2,1/5,15.00,6.00,15.0,0,0
DBL Powell (WI),2007­2007,5,5,17.0,0,131,2,1/6,65.50,7.70,51.0,0,0
Raza­ur­Rehman (Can),2012­2013,5,3,9.0,0,58,2,2/16,29.00,6.44,27.0,0,0
AJ Redmond (NZ),2009­2010,7,1,2.5,0,24,2,2/24,12.00,8.47,8.5,0,0
GA Rogers (SCOT),2008­2009,2,2,7.5,0,67,2,2/15,33.50,8.55,23.5,0,0
IH Romaine (Ber),2008­2008,2,2,3.4,0,21,2,2/2,10.50,5.72,11.0,0,0
JD Ryder (NZ),2008­2014,22,5,10.0,0,68,2,1/2,34.00,6.80,30.0,0,0
RR Sarwan (WI),2007­2010,18,1,2.0,0,10,2,2/10,5.00,5.00,6.0,0,0
Sharif Asadullah (UAE),2014­2014,1,1,3.0,0,21,2,2/21,10.50,7.00,9.0,0,0
Shuvagata Hom (BDESH),2016­2016,5,4,11.0,0,71,2,1/18,35.50,6.45,33.0,0,0
EHSN Silva (UAE),2014­2014,2,2,7.0,0,58,2,1/20,29.00,8.28,21.0,0,0
Sohail Khan (PAK),2008­2011,3,3,7.0,0,51,2,2/13,25.50,7.28,21.0,0,0
R Telemachus (SA),2006­2007,3,3,12.0,0,90,2,1/22,45.00,7.50,36.0,0,0
S Thuraisingam (Can),2008­2008,3,3,7.5,0,44,2,1/13,22.00,5.61,23.5,0,0
CT Tremlett (ENG),2007­2007,1,1,4.0,0,45,2,2/45,22.50,11.25,12.0,0,0
AJ Tye (AUS),2016­2016,3,3,11.2,0,119,2,1/28,59.50,10.50,34.0,0,0
AC Voges (AUS),2007­2013,7,1,2.0,0,5,2,2/5,2.50,2.50,6.0,0,0
SR Welsh (Can),2008­2008,1,1,3.0,0,6,2,2/6,3.00,2.00,9.0,0,0
AR White (IRE),2008­2012,18,1,4.0,0,18,2,2/18,9.00,4.50,12.0,0,0
G Wijekoon (SL),2007­2007,3,3,11.0,0,101,2,1/12,50.50,9.18,33.0,0,0
KOK Williams (WI),2016­2016,1,1,4.0,0,15,2,2/15,7.50,3.75,12.0,0,0
Aamer Yamin (PAK),2015­2015,1,1,2.0,0,12,1,1/12,12.00,6.00,12.0,0,0
SA Abbott (AUS),2014­2014,3,3,6.0,0,47,1,1/17,47.00,7.83,36.0,0,0
AC Agar (AUS),2016­2016,2,2,3.0,0,43,1,1/25,43.00,14.33,18.0,0,0
GW Aldridge (NZ),2011­2011,1,1,4.0,0,45,1,1/45,45.00,11.25,24.0,0,0
