Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Sultan Ahmed (Oman),2015­2016,13,­,­,­,­,­,­,­,­,­,­,­
ZE Surkari (Can),2008­2008,4,­,­,­,­,­,­,­,­,­,­,­
ES Szwarczynski (Neth),2008­2013,14,­,­,­,­,­,­,­,­,­,­,­
Tamim Iqbal (BDESH),2007­2016,52,­,­,­,­,­,­,­,­,­,­,­
LRPL Taylor (NZ),2006­2016,73,­,­,­,­,­,­,­,­,­,­,­
SP Terry (IRE),2016­2016,1,­,­,­,­,­,­,­,­,­,­,­
WU Tharanga (SL),2006­2012,10,­,­,­,­,­,­,­,­,­,­,­
HDRL Thirimanne (SL),2012­2016,26,­,­,­,­,­,­,­,­,­,­,­
DC Thomas (WI),2009­2013,3,­,­,­,­,­,­,­,­,­,­,­
GJ Thompson (IRE),2016­2016,1,­,­,­,­,­,­,­,­,­,­,­
MK Tiwary (INDIA),2011­2012,3,­,­,­,­,­,­,­,­,­,­,­
ME Trescothick (ENG),2005­2006,3,­,­,­,­,­,­,­,­,­,­,­
IJL Trott (ENG),2007­2010,7,­,­,­,­,­,­,­,­,­,­,­
L Tucker (IRE),2016­2016,1,­,­,­,­,­,­,­,­,­,­,­
ML Udawatte (SL),2008­2009,5,­,­,­,­,­,­,­,­,­,­,­
Umar Akmal (PAK),2009­2016,82,­,­,­,­,­,­,­,­,­,­,­
Umar Amin (PAK),2013­2014,10,­,­,­,­,­,­,­,­,­,­,­
TP Ura (PNG),2015­2015,3,­,­,­,­,­,­,­,­,­,­,­
Usman Ghani (AFG),2015­2016,9,­,­,­,­,­,­,­,­,­,­,­
Usman Limbada (Can),2010­2013,7,­,­,­,­,­,­,­,­,­,­,­
Usman Mushtaq (UAE),2016­2016,3,­,­,­,­,­,­,­,­,­,­,­
RV Uthappa (INDIA),2007­2015,13,­,­,­,­,­,­,­,­,­,­,­
VB van Jaarsveld (SA),2009­2009,3,­,­,­,­,­,­,­,­,­,­,­
MN van Wyk (SA),2007­2015,8,­,­,­,­,­,­,­,­,­,­,­
JNT Vare (PNG),2015­2016,5,­,­,­,­,­,­,­,­,­,­,­
MP Vaughan (ENG),2005­2007,2,­,­,­,­,­,­,­,­,­,­,­
S Vesawkar (Nepal),2014­2015,10,­,­,­,­,­,­,­,­,­,­,­
DJ Vilas (SA),2012­2012,1,­,­,­,­,­,­,­,­,­,­,­
JM Vince (ENG),2015­2016,5,­,­,­,­,­,­,­,­,­,­,­
L Vincent (NZ),2006­2007,9,­,­,­,­,­,­,­,­,­,­,­
TP Visee (Neth),2015­2015,2,­,­,­,­,­,­,­,­,­,­,­
KDK Vithanage (SL),2014­2016,3,­,­,­,­,­,­,­,­,­,­,­
MS Wade (AUS),2011­2016,26,­,­,­,­,­,­,­,­,­,­,­
CD Wallace (SCOT),2012­2015,8,­,­,­,­,­,­,­,­,­,­,­
CAK Walton (WI),2014­2016,3,­,­,­,­,­,­,­,­,­,­,­
Waqas Barkat (HK),2014­2016,10,­,­,­,­,­,­,­,­,­,­,­
DA Warner (AUS),2009­2016,63,­,­,­,­,­,­,­,­,­,­,­
VS Wategaonkar (Oman),2016­2016,2,­,­,­,­,­,­,­,­,­,­,­
BJ Watling (NZ),2009­2014,5,­,­,­,­,­,­,­,­,­,­,­
DF Watts (SCOT),2007­2012,11,­,­,­,­,­,­,­,­,­,­,­
GC Wilson (IRE),2008­2016,46,­,­,­,­,­,­,­,­,­,­,­
Zeeshan Siddiqui (Oman),2015­2015,5,­,­,­,­,­,­,­,­,­,­,­
B Zuiderent (Neth),2009­2010,6,­,­,­,­,­,­,­,­,­,­,­
Zulqarnain Haider (PAK),2007­2010,3,­,­,­,­,­,­,­,­,­,­,­
