Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
T Taibu (ZIM),2007­2012,17,2,4.0,0,41,0,­,­,10.25,­,0,0
RJ Trott (Ber),2008­2008,3,2,6.3,0,42,0,­,­,6.46,­,0,0
TE Tucker (Ber),2008­2008,1,1,2.0,0,5,0,­,­,2.50,­,0,0
S Tyagi (INDIA),2009­2009,1,1,2.0,0,21,0,­,­,10.50,­,0,0
JD Unadkat (INDIA),2016­2016,1,1,4.0,0,43,0,­,­,10.75,­,0,0
Usman Khan (PAK),2013­2013,2,2,5.0,0,61,0,­,­,12.20,­,0,0
M Vijay (INDIA),2010­2015,9,1,2.0,0,9,0,­,­,4.50,­,0,0
MN Waller (ZIM),2011­2016,28,1,1.0,0,4,0,­,­,4.00,­,0,0
Waqas Khan (HK),2014­2016,5,1,1.0,0,12,0,­,­,12.00,­,0,0
JW Wilson (NZ),2005­2005,1,1,4.0,0,43,0,­,­,10.75,­,0,0
Yasir Shah (PAK),2011­2011,2,2,4.0,0,39,0,­,­,9.75,­,0,0
Aaqib Sulehri (Oman),2015­2016,5,­,­,­,­,­,­,­,­,­,­,­
Abdul Shakoor (UAE),2015­2015,4,­,­,­,­,­,­,­,­,­,­,­
Adnan Ilyas (Oman),2015­2016,12,­,­,­,­,­,­,­,­,­,­,­
Afsar Zazai (AFG),2013­2013,1,­,­,­,­,­,­,­,­,­,­,­
RI Ahmed (Neth),2015­2015,2,­,­,­,­,­,­,­,­,­,­,­
PS Airee (Nepal),2015­2015,7,­,­,­,­,­,­,­,­,­,­,­
TR Ambrose (ENG),2008­2008,1,­,­,­,­,­,­,­,­,­,­,­
Amjad Ali (UAE),2014­2015,5,­,­,­,­,­,­,­,­,­,­,­
Amjad Gul (UAE),2015­2015,1,­,­,­,­,­,­,­,­,­,­,­
HM Amla (SA),2009­2016,37,­,­,­,­,­,­,­,­,­,­,­
Anamul Haque (BDESH),2012­2015,13,­,­,­,­,­,­,­,­,­,­,­
Anas Khan (HK),2014­2014,1,­,­,­,­,­,­,­,­,­,­,­
RP Arnold (SL),2006­2006,1,­,­,­,­,­,­,­,­,­,­,­
Asad Shafiq (PAK),2010­2012,10,­,­,­,­,­,­,­,­,­,­,­
MS Atapattu (SL),2006­2006,2,­,­,­,­,­,­,­,­,­,­,­
JJ Atkinson (HK),2014­2016,13,­,­,­,­,­,­,­,­,­,­,­
Awais Zia (PAK),2012­2014,5,­,­,­,­,­,­,­,­,­,­,­
Babar Azam (PAK),2016­2016,4,­,­,­,­,­,­,­,­,­,­,­
Babar Hayat (HK),2014­2016,21,­,­,­,­,­,­,­,­,­,­,­
S Badrinath (INDIA),2011­2011,1,­,­,­,­,­,­,­,­,­,­,­
A Bagai (Can),2008­2013,9,­,­,­,­,­,­,­,­,­,­,­
GJ Bailey (AUS),2012­2016,29,­,­,­,­,­,­,­,­,­,­,­
JM Bairstow (ENG),2011­2016,20,­,­,­,­,­,­,­,­,­,­,­
A Balbirnie (IRE),2015­2016,10,­,­,­,­,­,­,­,­,­,­,­
CT Bancroft (AUS),2016­2016,1,­,­,­,­,­,­,­,­,­,­,­
AB Barath (WI),2010­2011,2,­,­,­,­,­,­,­,­,­,­,­
W Barresi (Neth),2012­2016,32,­,­,­,­,­,­,­,­,­,­,­
MC Bascombe (WI),2011­2011,1,­,­,­,­,­,­,­,­,­,­,­
OO Bascome (Ber),2008­2008,1,­,­,­,­,­,­,­,­,­,­,­
TC Bastiampillai (Can),2010­2010,2,­,­,­,­,­,­,­,­,­,­,­
CS Baugh (WI),2008­2012,3,­,­,­,­,­,­,­,­,­,­,­
IR Bell (ENG),2006­2014,8,­,­,­,­,­,­,­,­,­,­,­
B Bhandari (Nepal),2014­2015,10,­,­,­,­,­,­,­,­,­,­,­
RA Bhatti (Can),2012­2012,4,­,­,­,­,­,­,­,­,­,­,­
IS Billcliff (Can),2010­2010,2,­,­,­,­,­,­,­,­,­,­,­
SW Billings (ENG),2015­2016,7,­,­,­,­,­,­,­,­,­,­,­
TR Birt (AUS),2010­2012,4,­,­,­,­,­,­,­,­,­,­,­
AM Blignaut (ZIM),2010­2010,1,­,­,­,­,­,­,­,­,­,­,­
GH Bodi (SA),2007­2007,1,­,­,­,­,­,­,­,­,­,­,­
