Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
ML Lewis (AUS),2006­2006,2,2,7.3,0,49,4,2/18,12.25,6.53,11.2,0,0
CJ McKay (AUS),2010­2013,6,6,22.4,1,183,4,2/24,45.75,8.07,34.0,0,0
MR Marsh (AUS),2011­2016,9,7,17.0,0,145,4,1/17,36.25,8.52,25.5,0,0
SW Masakadza (ZIM),2010­2013,7,7,19.3,0,211,4,2/39,52.75,10.82,29.2,0,0
GE Mathurin (WI),2011­2012,3,3,10.0,0,65,4,3/9,16.25,6.50,15.0,0,0
Mohammad Kashif (Neth),2010­2010,3,3,7.0,0,55,4,2/28,13.75,7.85,10.5,0,0
PL Mommsen (SCOT),2012­2016,24,7,23.0,0,164,4,1/23,41.00,7.13,34.5,0,0
JK Mukhiya (Nepal),2014­2015,4,4,10.0,0,56,4,3/18,14.00,5.60,15.0,0,0
N M'shangwe (ZIM),2013­2014,5,5,16.0,0,142,4,2/33,35.50,8.87,24.0,0,0
Nawroz Mangal (AFG),2010­2015,30,6,10.0,0,80,4,3/23,20.00,8.00,15.0,0,0
JO Ngoche (Kenya),2012­2013,7,7,24.0,0,140,4,2/31,35.00,5.83,36.0,0,0
Nizakat Khan (HK),2014­2016,20,4,13.0,0,69,4,3/19,17.25,5.30,19.5,0,0
AA Noffke (AUS),2007­2008,2,2,7.3,1,41,4,3/18,10.25,5.46,11.2,0,0
LN Onyango (Kenya),2007­2010,5,5,13.0,0,128,4,2/17,32.00,9.84,19.5,0,0
MM Patel (INDIA),2011­2011,3,3,10.0,0,86,4,2/25,21.50,8.60,15.0,0,0
VD Philander (SA),2007­2007,7,6,13.5,0,114,4,2/23,28.50,8.24,20.7,0,0
S Prasanna (SL),2013­2016,8,8,20.0,1,148,4,2/45,37.00,7.40,30.0,0,0
CP Schofield (ENG),2007­2007,4,4,12.5,0,92,4,2/15,23.00,7.16,19.2,0,0
Shahadat Hossain (BDESH),2006­2013,6,6,20.0,0,198,4,2/22,49.50,9.90,30.0,0,0
MD Shanaka (SL),2015­2016,11,6,9.0,0,73,4,3/16,18.25,8.11,13.5,0,0
Sohag Gazi (BDESH),2012­2015,10,10,35.0,1,299,4,1/28,74.75,8.54,52.5,0,0
AO Suji (Kenya),2007­2010,8,6,16.1,1,116,4,2/23,29.00,7.17,24.2,0,0
Syed Rasel (BDESH),2007­2008,8,8,29.0,2,202,4,1/10,50.50,6.96,43.5,0,0
SR Thompson (IRE),2014­2016,17,9,18.3,0,129,4,3/10,32.25,6.97,27.7,0,0
JDF Vandersay (SL),2015­2016,7,7,24.0,1,177,4,2/26,44.25,7.37,36.0,0,0
BV Vitori (ZIM),2012­2016,11,11,39.4,0,323,4,1/24,80.75,8.14,59.5,0,0
K Weeraratne (SL),2008­2009,5,5,15.0,0,126,4,4/19,31.50,8.40,22.5,1,0
CM Wright (SCOT),2007­2009,3,2,5.0,0,49,4,3/29,12.25,9.80,7.5,0,0
Abu Hider (BDESH),2016­2016,5,4,11.0,0,102,3,2/40,34.00,9.27,22.0,0,0
AR Adams (NZ),2005­2006,4,4,12.5,0,105,3,2/20,35.00,8.18,25.6,0,0
AB Agarkar (INDIA),2006­2007,4,3,10.3,1,85,3,2/10,28.33,8.09,21.0,0,0
MS Aulakh (Can),2012­2013,3,3,9.0,0,82,3,2/40,27.33,9.11,18.0,0,0
F Behardien (SA),2012­2016,25,3,5.0,0,27,3,2/15,9.00,5.40,10.0,0,0
SM Boland (AUS),2016­2016,3,3,11.0,0,90,3,3/26,30.00,8.18,22.0,0,0
CG Burnett (SCOT),2013­2013,1,1,4.0,0,18,3,3/18,6.00,4.50,8.0,0,0
YS Chahal (INDIA),2016­2016,3,3,12.0,1,89,3,1/19,29.66,7.41,24.0,0,0
MS Chapman (HK),2014­2016,19,4,10.0,0,77,3,1/10,25.66,7.70,20.0,0,0
TLW Cooper (Neth),2012­2016,18,9,17.0,0,132,3,2/18,44.00,7.76,34.0,0,0
LA Dawson (ENG),2016­2016,1,1,4.0,0,27,3,3/27,9.00,6.75,8.0,0,0
RMS Eranga (SL),2012­2013,3,3,11.0,0,90,3,2/30,30.00,8.18,22.0,0,0
Farhan Ahmed (UAE),2016­2016,3,3,9.0,0,66,3,2/28,22.00,7.33,18.0,0,0
Fawad Ahmed (AUS),2013­2013,2,2,8.0,0,68,3,3/25,22.66,8.50,16.0,0,0
B Fernando (SL),2015­2015,2,2,7.2,0,71,3,2/33,23.66,9.68,14.6,0,0
ST Gabriel (WI),2013­2013,2,2,7.0,0,56,3,3/44,18.66,8.00,14.0,0,0
WT Gavera (PNG),2015­2015,3,3,9.0,1,50,3,3/17,16.66,5.55,18.0,0,0
D Gough (ENG),2005­2006,2,2,6.5,0,49,3,3/16,16.33,7.17,13.6,0,0
TGJ Gruijters (Neth),2012­2013,8,5,12.0,0,74,3,1/5,24.66,6.16,24.0,0,0
HF Gurney (ENG),2014­2014,2,2,8.0,0,55,3,2/26,18.33,6.87,16.0,0,0
AJ Hall (SA),2006­2006,2,2,8.0,0,60,3,3/22,20.00,7.50,16.0,0,0
SM Harwood (AUS),2007­2009,3,3,12.0,0,113,3,2/21,37.66,9.41,24.0,0,0
