Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
DSNFG Jayasuriya (SL),2015­2016,11,7,16.5,0,146,3,1/11,48.66,8.67,33.6,0,0
E Katchay (Can),2008­2008,4,4,10.0,0,71,3,1/18,23.66,7.10,20.0,0,0
SKW Kelly (Ber),2008­2008,3,3,7.0,0,50,3,2/18,16.66,7.14,14.0,0,0
DS Kulkarni (INDIA),2016­2016,2,2,8.0,0,55,3,2/23,18.33,6.87,16.0,0,0
DL Maddy (ENG),2007­2007,4,2,3.0,0,26,3,2/6,8.66,8.66,6.0,0,0
SI Mahmood (ENG),2006­2009,4,4,14.0,0,155,3,1/31,51.66,11.07,28.0,0,0
Mansoor Amjad (PAK),2008­2008,1,1,1.0,0,3,3,3/3,1.00,3.00,2.0,0,0
T Mishra (Kenya),2007­2013,15,2,5.0,0,33,3,3/25,11.00,6.60,10.0,0,0
Mohammad Nawaz (3) (PAK),2016­2016,5,5,16.0,0,115,3,1/16,38.33,7.18,32.0,0,0
Naeem Islam (BDESH),2008­2013,10,6,15.0,0,122,3,2/32,40.66,8.13,30.0,0,0
SD Parry (ENG),2014­2015,5,5,16.0,0,138,3,2/33,46.00,8.62,32.0,0,0
SS Pathirana (SL),2016­2016,2,2,6.5,0,68,3,2/23,22.66,9.95,13.6,0,0
JL Pattinson (AUS),2011­2012,4,4,13.0,0,104,3,2/17,34.66,8.00,26.0,0,0
MDK Perera (SL),2011­2011,3,3,10.0,0,72,3,3/26,24.00,7.20,20.0,0,0
P Raho (PNG),2016­2016,2,2,3.0,0,20,3,3/11,6.66,6.66,6.0,0,0
CAK Rajitha (SL),2016­2016,3,3,11.0,0,120,3,3/29,40.00,10.90,22.0,0,0
RJ Ranpura (Oman),2015­2016,3,2,6.0,0,32,3,2/17,10.66,5.33,12.0,0,0
JB Reva (PNG),2015­2016,3,3,9.0,0,52,3,2/11,17.33,5.77,18.0,0,0
A Shahzad (ENG),2010­2011,3,3,11.0,0,97,3,2/38,32.33,8.81,22.0,0,0
Sharafuddin Ashraf (AFG),2015­2015,4,4,14.0,0,119,3,3/27,39.66,8.50,28.0,0,0
R Sharma (INDIA),2012­2012,2,2,7.2,0,56,3,2/29,18.66,7.63,14.6,0,0
PM Siddle (AUS),2009­2010,2,2,8.0,0,58,3,2/24,19.33,7.25,16.0,0,0
CA Soper (PNG),2015­2016,3,3,8.1,0,43,3,3/13,14.33,5.26,16.3,0,0
JH Stander (SCOT),2009­2012,11,7,13.3,0,156,3,2/24,52.00,11.55,27.0,0,0
Tanveer Ahmed (HK),2016­2016,2,2,7.3,0,60,3,2/29,20.00,8.00,15.0,0,0
AC Thomas (SA),2007­2007,1,1,4.0,0,25,3,3/25,8.33,6.25,8.0,0,0
DR Tuffey (NZ),2005­2010,3,3,10.0,0,93,3,2/16,31.00,9.30,20.0,0,0
MB van Schelven (Neth),2015­2015,2,2,7.0,0,30,3,2/22,10.00,4.28,14.0,0,0
RR Watson (SCOT),2007­2010,10,5,10.0,0,92,3,1/4,30.66,9.20,20.0,0,0
RM West (IRE),2009­2009,5,5,19.0,0,142,3,1/23,47.33,7.47,38.0,0,0
BTJ Wheal (SCOT),2016­2016,2,2,5.2,0,33,3,3/20,11.00,6.18,10.6,0,0
KS Williamson (NZ),2011­2016,35,9,12.4,0,123,3,1/6,41.00,9.71,25.3,0,0
MA Wood (ENG),2015­2015,1,1,3.0,0,26,3,3/26,8.66,8.66,6.0,0,0
Younis Khan (PAK),2006­2010,25,1,3.4,0,18,3,3/18,6.00,4.90,7.3,0,0
Zahid Hussain (Can),2012­2012,3,3,9.3,0,47,3,3/16,15.66,4.94,19.0,0,0
Ziaur Rahman (BDESH),2012­2014,14,7,12.3,0,127,3,1/16,42.33,10.16,25.0,0,0
YA Abdulla (SA),2009­2009,2,2,7.0,0,44,2,1/16,22.00,6.28,21.0,0,0
Abul Hasan (BDESH),2012­2012,4,4,11.0,0,108,2,2/33,54.00,9.81,33.0,0,0
Alok Kapali (BDESH),2007­2011,7,2,5.0,0,35,2,2/12,17.50,7.00,15.0,0,0
Anshuman Rath (HK),2015­2016,17,11,30.0,0,245,2,1/22,122.50,8.16,90.0,0,0
LS Baker (WI),2008­2009,3,3,8.0,0,58,2,1/12,29.00,7.25,24.0,0,0
RJ Campbell (HK),2016­2016,3,3,10.0,0,68,2,2/28,34.00,6.80,30.0,0,0
KM Dabengwa (ZIM),2006­2010,8,7,11.0,0,106,2,1/1,53.00,9.63,33.0,0,0
JWM Dalrymple (ENG),2006­2007,3,3,5.0,0,39,2,1/10,19.50,7.80,15.0,0,0
Dawlat Ahmadzai (AFG),2010­2010,2,2,4.0,0,46,2,1/21,23.00,11.50,12.0,0,0
AS Dean (Can),2008­2013,2,2,4.0,0,32,2,2/18,16.00,8.00,12.0,0,0
CD de Lange (SCOT),2015­2016,4,3,11.0,0,72,2,1/19,36.00,6.54,33.0,0,0
AP Devcich (NZ),2013­2014,4,4,12.0,0,80,2,2/16,40.00,6.66,36.0,0,0
LHD Dilhara (SL),2008­2008,2,2,5.0,0,30,2,2/6,15.00,6.00,15.0,0,0
AM Ellis (NZ),2012­2013,5,4,10.0,0,105,2,2/40,52.50,10.50,30.0,0,0
