Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
D Ganga (WI),2006­2006,1,­,­,­,­,­,­,­,­,­,­,­
HH Gibbs (SA),2005­2010,23,­,­,­,­,­,­,­,­,­,­,­
AC Gilchrist (AUS),2005­2008,13,­,­,­,­,­,­,­,­,­,­,­
DM Gondaria (Kenya),2013­2013,2,­,­,­,­,­,­,­,­,­,­,­
TG Gordon (Can),2012­2012,3,­,­,­,­,­,­,­,­,­,­,­
R Gunasekera (Can),2012­2013,8,­,­,­,­,­,­,­,­,­,­,­
BJ Haddin (AUS),2006­2014,34,­,­,­,­,­,­,­,­,­,­,­
AD Hales (ENG),2011­2016,45,­,­,­,­,­,­,­,­,­,­,­
GM Hamilton (SCOT),2007­2010,12,­,­,­,­,­,­,­,­,­,­,­
Hammad Azam (PAK),2012­2013,5,­,­,­,­,­,­,­,­,­,­,­
Hamza Tariq (Can),2013­2013,3,­,­,­,­,­,­,­,­,­,­,­
Haris Sohail (PAK),2013­2015,4,­,­,­,­,­,­,­,­,­,­,­
Hashmatullah Shahidi (AFG),2013­2013,1,­,­,­,­,­,­,­,­,­,­,­
ML Hayden (AUS),2005­2007,9,­,­,­,­,­,­,­,­,­,­,­
DL Hemp (Ber),2008­2008,2,­,­,­,­,­,­,­,­,­,­,­
RR Hendricks (SA),2014­2015,5,­,­,­,­,­,­,­,­,­,­,­
WW Hinds (WI),2006­2010,5,­,­,­,­,­,­,­,­,­,­,­
GJ Hopkins (NZ),2007­2010,10,­,­,­,­,­,­,­,­,­,­,­
JM How (NZ),2007­2008,5,­,­,­,­,­,­,­,­,­,­,­
PJ Hughes (AUS),2014­2014,1,­,­,­,­,­,­,­,­,­,­,­
DP Hyatt (WI),2011­2012,5,­,­,­,­,­,­,­,­,­,­,­
Iftikhar Ahmed (PAK),2016­2016,1,­,­,­,­,­,­,­,­,­,­,­
Imran Farhat (PAK),2010­2011,7,­,­,­,­,­,­,­,­,­,­,­
Imran Nazir (PAK),2007­2012,25,­,­,­,­,­,­,­,­,­,­,­
Imrul Kayes (BDESH),2010­2016,8,­,­,­,­,­,­,­,­,­,­,­
CA Ingram (SA),2010­2012,9,­,­,­,­,­,­,­,­,­,­,­
PJ Ingram (NZ),2010­2010,3,­,­,­,­,­,­,­,­,­,­,­
Inzamam­ul­Haq (PAK),2006­2006,1,­,­,­,­,­,­,­,­,­,­,­
KM Jadhav (INDIA),2015­2016,5,­,­,­,­,­,­,­,­,­,­,­
Jahurul Islam (BDESH),2010­2013,3,­,­,­,­,­,­,­,­,­,­,­
Javed Ahmadi (AFG),2012­2012,2,­,­,­,­,­,­,­,­,­,­,­
CU Jayasinghe (SL),2009­2010,5,­,­,­,­,­,­,­,­,­,­,­
JS Jesani (Kenya),2007­2007,1,­,­,­,­,­,­,­,­,­,­,­
K Jethi (Can),2008­2008,5,­,­,­,­,­,­,­,­,­,­,­
GO Jones (ENG),2005­2006,2,­,­,­,­,­,­,­,­,­,­,­
EC Joyce (ENG/IRE),2006­2014,18,­,­,­,­,­,­,­,­,­,­,­
Junaid Siddique (BDESH),2007­2012,7,­,­,­,­,­,­,­,­,­,­,­
S Jyoti (Can),2008­2008,2,­,­,­,­,­,­,­,­,­,­,­
Kamran Akmal (PAK),2006­2014,54,­,­,­,­,­,­,­,­,­,­,­
SHT Kandamby (SL),2008­2011,5,­,­,­,­,­,­,­,­,­,­,­
CK Kapugedera (SL),2006­2016,38,­,­,­,­,­,­,­,­,­,­,­
IA Karim (Kenya),2013­2013,7,­,­,­,­,­,­,­,­,­,­,­
KD Karthik (INDIA),2006­2010,9,­,­,­,­,­,­,­,­,­,­,­
SM Katich (AUS),2005­2006,3,­,­,­,­,­,­,­,­,­,­,­
AN Kervezee (Neth),2009­2012,10,­,­,­,­,­,­,­,­,­,­,­
S Keshvani (Can),2010­2010,2,­,­,­,­,­,­,­,­,­,­,­
RWT Key (ENG),2009­2009,1,­,­,­,­,­,­,­,­,­,­,­
SP Khakurel (Nepal),2014­2015,8,­,­,­,­,­,­,­,­,­,­,­
Khalid Latif (PAK),2008­2016,13,­,­,­,­,­,­,­,­,­,­,­
UT Khawaja (AUS),2016­2016,9,­,­,­,­,­,­,­,­,­,­,­
