Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Imran Farhat (PAK),2010­2011,7,7,0,76,19,10.85,70,108.57,0,0,1,14,0
Irfan Ahmed (HK),2014­2015,8,8,0,76,34,9.50,83,91.56,0,0,2,4,6
NFI McCallum (SCOT),2007­2010,11,7,0,76,38,10.85,85,89.41,0,0,3,7,1
S Matsikenyeri (ZIM),2006­2012,10,10,0,76,32,7.60,82,92.68,0,0,2,6,3
VS Solanki (ENG),2005­2007,3,3,0,76,43,25.33,61,124.59,0,0,0,10,1
Umar Amin (PAK),2013­2014,10,6,0,76,47,12.66,72,105.55,0,0,2,12,0
TG Southee (NZ),2008­2015,38,15,5,75,23,7.50,69,108.69,0,0,2,6,3
NJ Astle (NZ),2005­2006,4,4,1,74,40*,24.66,67,110.44,0,0,0,7,2
KO Otieno (Kenya),2008­2008,4,4,0,74,40,18.50,79,93.67,0,0,0,5,2
Khurram Khan (UAE),2014­2014,3,3,0,73,31,24.33,73,100.00,0,0,0,8,0
AJ Strauss (ENG),2005­2009,4,4,0,73,33,18.25,64,114.06,0,0,1,9,0
DJ Willey (ENG),2015­2016,12,8,3,73,21,14.60,59,123.72,0,0,1,2,5
Farhad Reza (BDESH),2006­2014,13,9,0,72,19,8.00,88,81.81,0,0,1,4,2
SL Malinga (SL),2006­2016,62,18,7,71,27,6.45,87,81.60,0,0,4,3,3
Awais Zia (PAK),2012­2014,5,5,0,70,23,14.00,80,87.50,0,0,0,4,3
SM Katich (AUS),2005­2006,3,2,0,69,39,34.50,47,146.80,0,0,0,8,2
Mehran Khan (Oman),2015­2016,11,8,2,69,28*,11.50,64,107.81,0,0,0,4,3
SR Thompson (IRE),2014­2016,17,11,3,69,26*,8.62,64,107.81,0,0,1,6,2
TM Dowlin (WI),2009­2010,2,2,1,68,37*,68.00,69,98.55,0,0,0,8,0
NT Broom (NZ),2009­2013,10,6,1,67,36,13.40,61,109.83,0,0,0,7,1
Imrul Kayes (BDESH),2010­2016,8,8,0,67,22,8.37,89,75.28,0,0,2,8,2
MK Pandey (INDIA),2015­2016,6,4,0,67,48,16.75,58,115.51,0,0,2,2,4
AG Cremer (ZIM),2008­2016,27,18,6,65,17,5.41,93,69.89,0,0,2,2,0
CA Lynn (AUS),2014­2016,5,4,1,65,33*,21.66,48,135.41,0,0,0,3,4
Shoaib Khan jnr (PAK),2008­2008,4,4,0,65,50,16.25,74,87.83,0,1,1,7,0
RM Haq (SCOT),2007­2013,21,12,7,64,21*,12.80,96,66.66,0,0,1,2,1
DP Hyatt (WI),2011­2012,5,5,1,64,28,16.00,54,118.51,0,0,0,4,4
DJ Reekers (Neth),2008­2009,6,5,0,64,29,12.80,49,130.61,0,0,1,10,2
CD Wallace (SCOT),2012­2015,8,5,3,63,26*,31.50,49,128.57,0,0,0,7,0
AR Patel (INDIA),2015­2016,7,5,2,62,20*,20.66,50,124.00,0,0,0,2,3
AN Cook (ENG),2007­2009,4,4,0,61,26,15.25,54,112.96,0,0,0,10,0
PD McGlashan (NZ),2006­2010,11,9,1,61,26,7.62,64,95.31,0,0,0,6,2
PM Seelaar (Neth),2008­2016,36,15,4,61,9*,5.54,71,85.91,0,0,1,3,1
JWM Dalrymple (ENG),2006­2007,3,3,0,60,32,20.00,57,105.26,0,0,0,6,0
LM Jongwe (ZIM),2015­2016,8,7,0,60,34,8.57,65,92.30,0,0,2,4,1
N Madziva (ZIM),2015­2016,9,7,4,60,28*,20.00,50,120.00,0,0,1,4,3
Mominul Haque (BDESH),2012­2014,6,4,1,60,26*,20.00,50,120.00,0,0,0,5,2
P Mustard (ENG),2008­2008,2,2,0,60,40,30.00,37,162.16,0,0,0,5,4
Zeeshan Siddiqui (Oman),2015­2015,5,5,1,60,33*,15.00,63,95.23,0,0,0,7,0
PS Airee (Nepal),2015­2015,7,7,0,59,29,8.42,53,111.32,0,0,3,8,0
Dawlat Zadran (AFG),2012­2016,29,15,7,59,13,7.37,37,159.45,0,0,3,4,5
DR Flynn (NZ),2008­2012,5,5,0,59,23,11.80,51,115.68,0,0,0,1,4
CJO Smith (SCOT),2007­2009,8,6,1,58,46*,11.60,54,107.40,0,0,3,6,0
Alok Kapali (BDESH),2007­2011,7,7,2,57,19,11.40,85,67.05,0,0,2,3,1
Sohag Gazi (BDESH),2012­2015,10,7,3,57,24,14.25,59,96.61,0,0,0,3,1
JM How (NZ),2007­2008,5,5,0,56,31,11.20,67,83.58,0,0,0,5,1
SMSM Senanayake (SL),2012­2016,24,12,6,56,17,9.33,66,84.84,0,0,2,3,1
N Deonarine (WI),2010­2013,8,7,2,55,36*,11.00,53,103.77,0,0,3,5,0
GB Hogg (AUS),2006­2014,15,4,0,55,41,13.75,39,141.02,0,0,0,3,3
SO Ngoche (Kenya),2010­2013,19,12,4,55,38,6.87,70,78.57,0,0,2,2,2
