Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
HDRL Thirimanne (SL),2012­2016,26,20,2,291,44,16.16,267,108.98,0,0,1,27,5
AN Kervezee (Neth),2009­2012,10,10,1,289,58*,32.11,262,110.30,0,2,0,19,6
A Bagai (Can),2008­2013,9,9,2,284,67*,40.57,249,114.05,0,2,0,27,0
AC Gilchrist (AUS),2005­2008,13,13,1,272,48,22.66,192,141.66,0,0,0,27,13
Zeeshan Maqsood (Oman),2015­2016,12,11,0,269,52,24.45,208,129.32,0,1,2,36,7
MV Boucher (SA),2005­2010,25,21,6,268,36*,17.86,275,97.45,0,0,0,22,2
T Taibu (ZIM),2007­2012,17,15,6,259,45*,28.77,257,100.77,0,0,2,19,2
Adnan Ilyas (Oman),2015­2016,12,11,0,258,54,23.45,218,118.34,0,1,0,16,8
SE Marsh (AUS),2008­2016,15,15,1,255,47*,18.21,248,102.82,0,0,2,15,10
Mohammad Shahzad (UAE),2015­2016,15,15,2,252,52,19.38,213,118.30,0,1,2,21,10
DT Johnston (IRE),2008­2013,30,19,7,249,62,20.75,184,135.32,0,1,1,13,11
RV Uthappa (INDIA),2007­2015,13,12,2,249,50,24.90,211,118.00,0,1,1,26,6
Muhammad Usman (UAE),2016­2016,11,11,2,248,49*,27.55,226,109.73,0,0,0,27,8
UT Khawaja (AUS),2016­2016,9,9,0,241,58,26.77,182,132.41,0,1,0,31,5
Anshuman Rath (HK),2015­2016,17,16,2,240,41,17.14,285,84.21,0,0,1,23,1
Rohan Mustafa (UAE),2014­2016,16,15,1,240,77,17.14,221,108.59,0,1,1,23,9
MS Wade (AUS),2011­2016,26,17,5,239,72,19.91,218,109.63,0,1,0,11,9
J Mubarak (SL),2007­2009,16,15,4,238,46*,21.63,188,126.59,0,0,2,21,8
Rizwan Cheema (Can),2008­2013,16,16,1,238,68,15.86,219,108.67,0,1,3,23,15
Khalid Latif (PAK),2008­2016,13,13,2,237,59*,21.54,229,103.49,0,1,1,25,6
P Khadka (Nepal),2014­2015,11,11,1,236,54,23.60,231,102.16,0,1,1,19,1
RE Levi (SA),2012­2012,13,13,2,236,117*,21.45,167,141.31,1,1,3,20,15
YK Pathan (INDIA),2007­2012,22,18,5,236,37*,18.15,161,146.58,0,0,3,11,17
DM Bravo (WI),2010­2014,12,11,0,235,42,21.36,210,111.90,0,0,2,20,9
ES Szwarczynski (Neth),2008­2013,14,12,1,233,45,21.18,243,95.88,0,0,0,22,2
F Behardien (SA),2012­2016,25,17,7,232,36,23.20,203,114.28,0,0,1,18,5
JF Mooney (IRE),2009­2015,27,23,9,231,31*,16.50,214,107.94,0,0,0,25,1
AR Cusack (IRE),2008­2015,37,21,6,229,65,15.26,177,129.37,0,1,1,17,6
CR Ervine (ZIM),2010­2015,16,15,0,229,42,15.26,287,79.79,0,0,1,21,2
Aftab Ahmed (BDESH),2006­2010,11,11,1,228,62*,22.80,178,128.08,0,1,0,26,6
T Mishra (Kenya),2007­2013,15,15,0,227,38,15.13,263,86.31,0,0,2,15,4
TAM Siriwardana (SL),2015­2016,17,15,3,225,42,18.75,168,133.92,0,0,2,14,10
MN van Wyk (SA),2007­2015,8,7,1,225,114*,37.50,157,143.31,1,1,0,19,14
Sohaib Maqsood (PAK),2013­2016,20,18,2,221,37,13.81,201,109.95,0,0,2,15,8
H Patel (Can),2010­2013,11,11,1,220,88*,22.00,218,100.91,0,1,2,19,2
AD Poynter (IRE),2012­2016,19,14,3,219,57,19.90,184,119.02,0,1,1,21,8
Tanwir Afzal (HK),2014­2016,21,18,2,219,56,13.68,173,126.58,0,1,4,9,15
TT Bresnan (ENG),2006­2014,34,22,9,216,47*,16.61,170,127.05,0,0,3,16,6
DO Obuya (Kenya),2007­2012,10,10,2,216,65*,27.00,228,94.73,0,2,1,22,4
Usman Ghani (AFG),2015­2016,9,9,0,216,69,24.00,199,108.54,0,2,0,26,5
RN ten Doeschate (Neth),2008­2010,9,9,4,214,56,42.80,166,128.91,0,1,0,11,7
RG Aga (Kenya),2008­2013,20,18,2,213,52*,13.31,196,108.67,0,1,0,15,5
Amjad Javed (UAE),2014­2016,15,15,2,211,76,16.23,183,115.30,0,1,1,15,10
CA Ingram (SA),2010­2012,9,9,1,210,78,26.25,162,129.62,0,1,1,23,7
DL Vettori (NZ),2007­2014,34,22,6,205,38,12.81,190,107.89,0,0,3,14,2
JM Kemp (SA),2005­2007,8,7,3,203,89*,50.75,160,126.87,0,1,0,17,10
DS Smith (WI),2007­2009,6,6,0,203,61,33.83,161,126.08,0,2,0,22,5
JJ Atkinson (HK),2014­2016,13,12,0,202,53,16.83,187,108.02,0,1,3,22,6
R Gunasekera (Can),2012­2013,8,8,0,202,65,25.25,188,107.44,0,1,0,23,4
J Botha (SA),2006­2012,40,20,9,201,34,18.27,165,121.81,0,0,1,15,9
