Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
JEC Franklin (NZ),2006­2013,38,31,8,463,60,20.13,391,118.41,0,2,2,28,23
JD Ryder (NZ),2008­2014,22,21,1,457,62,22.85,358,127.65,0,3,2,47,18
Nawroz Mangal (AFG),2010­2015,30,30,3,454,65*,16.81,415,109.39,0,2,4,35,18
Mohammad Ashraful (BDESH),2007­2013,23,23,0,450,65,19.56,356,126.40,0,2,2,48,11
Younis Khan (PAK),2006­2010,25,23,3,442,51,22.10,364,121.42,0,2,2,31,12
SPD Smith (AUS),2010­2016,30,25,5,431,90,21.55,352,122.44,0,2,1,34,11
D Ramdin (WI),2006­2016,58,38,12,421,55*,16.19,364,115.65,0,1,2,39,8
PL Mommsen (SCOT),2012­2016,24,19,7,419,68*,34.91,329,127.35,0,2,1,32,11
S Dhawan (INDIA),2011­2016,22,22,2,416,60,20.80,367,113.35,0,2,1,49,12
MW Machan (SCOT),2013­2016,13,13,3,407,67*,40.70,318,127.98,0,3,0,37,7
EC Joyce (ENG/IRE),2006­2014,18,15,3,405,78*,33.75,431,93.96,0,1,0,30,5
TLW Cooper (Neth),2012­2016,18,17,3,404,72*,28.85,306,132.02,0,2,2,38,16
BJ Haddin (AUS),2006­2014,34,29,6,402,47,17.47,351,114.52,0,0,2,30,13
RT Ponting (AUS),2005­2009,17,16,2,401,98*,28.64,302,132.78,0,2,2,41,11
HH Gibbs (SA),2005­2010,23,23,1,400,90*,18.18,318,125.78,0,3,4,45,12
Gulbadin Naib (AFG),2012­2016,29,26,7,397,56*,20.89,320,124.06,0,1,2,28,18
V Sehwag (INDIA),2006­2012,19,18,0,394,68,21.88,271,145.38,0,2,1,43,16
Abdul Razzaq (PAK),2006­2013,32,29,10,393,46*,20.68,337,116.61,0,0,2,21,21
MS Chapman (HK),2014­2016,19,18,1,392,63*,23.05,347,112.96,0,1,0,34,9
Shaiman Anwar (UAE),2014­2016,18,18,1,383,54,22.52,343,111.66,0,1,1,29,15
AM Rahane (INDIA),2011­2016,20,20,2,375,61,20.83,331,113.29,0,1,2,32,6
CS MacLeod (SCOT),2009­2016,24,23,2,372,57,17.71,363,102.47,0,3,3,29,9
Nasir Hossain (BDESH),2011­2016,31,24,4,370,50*,18.50,326,113.49,0,2,2,30,7
Mashrafe Mortaza (BDESH),2006­2016,49,35,10,366,36,14.64,266,137.59,0,0,5,27,23
BN Cooper (Neth),2013­2016,23,20,5,365,66,24.33,314,116.24,0,2,2,31,13
Nasir Jamshed (PAK),2012­2013,18,18,1,363,56,21.35,320,113.43,0,2,1,34,12
Shafiqullah (AFG),2010­2016,30,27,8,360,51*,18.94,253,142.29,0,1,2,26,21
Sharjeel Khan (PAK),2013­2016,15,15,0,360,59,24.00,262,137.40,0,2,0,48,13
L Ronchi (AUS/NZ),2008­2016,29,23,6,359,51*,21.11,252,142.46,0,1,2,30,14
Anamul Haque (BDESH),2012­2015,13,13,2,355,58,32.27,301,117.94,0,1,1,38,12
OA Shah (ENG),2007­2009,17,15,1,347,55*,24.78,284,122.18,0,1,0,26,13
RR Patel (Kenya),2008­2013,22,19,2,345,52,20.29,298,115.77,0,1,1,16,20
AD Russell (WI),2011­2016,43,35,11,345,43*,14.37,267,129.21,0,0,6,25,18
SO Tikolo (Kenya),2007­2013,15,15,3,345,56*,28.75,281,122.77,0,2,3,46,6
S Chanderpaul (WI),2006­2010,22,22,5,343,41,20.17,347,98.84,0,0,0,34,5
Sikandar Raza (ZIM),2013­2016,26,25,0,341,59,13.64,329,103.64,0,1,0,28,6
Sarfraz Ahmed (PAK),2010­2016,25,16,6,337,76*,33.70,274,122.99,0,2,0,35,4
A Symonds (AUS),2005­2009,14,11,4,337,85*,48.14,199,169.34,0,2,2,33,10
RJ Nicol (NZ),2010­2013,21,19,0,327,58,17.21,296,110.47,0,2,2,33,11
RR Rossouw (SA),2014­2016,15,14,3,327,78,29.72,237,137.97,0,2,2,29,12
AA Obanda (Kenya),2007­2013,24,22,2,325,79,16.25,299,108.69,0,1,3,43,6
LE Bosman (SA),2006­2010,14,14,1,323,94,24.84,219,147.48,0,3,2,27,20
CJ Anderson (NZ),2012­2016,25,18,2,315,82*,19.68,246,128.04,0,1,3,22,14
ML Hayden (AUS),2005­2007,9,9,3,308,73*,51.33,214,143.92,0,4,0,37,13
JJ Roy (ENG),2014­2016,16,16,0,308,78,19.25,239,128.87,0,1,3,30,13
MH Cross (SCOT),2013­2016,19,15,1,306,60,21.85,219,139.72,0,1,1,36,11
NL McCullum (NZ),2007­2016,63,41,15,299,36*,11.50,297,100.67,0,0,4,19,8
Soumya Sarkar (BDESH),2015­2016,19,19,0,299,48,15.73,267,111.98,0,0,3,35,9
RR Sarwan (WI),2007­2010,18,16,3,298,59,22.92,286,104.19,0,2,1,19,6
Nizakat Khan (HK),2014­2016,20,18,0,295,62,16.38,257,114.78,0,1,3,18,12
