Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
B Regmi (Nepal),2014­2015,11,9,3,22,11,3.66,52,42.30,0,0,1,2,0
FL Reifer (WI),2009­2009,1,1,0,22,22,22.00,20,110.00,0,0,0,2,1
L Siaka (PNG),2015­2016,6,6,0,22,8,3.66,36,61.11,0,0,1,1,1
Umair Ali (UAE),2015­2015,3,3,2,22,13,22.00,18,122.22,0,0,0,2,1
Anas Khan (HK),2014­2014,1,1,1,21,21*,­,28,75.00,0,0,0,2,0
SE Bond (NZ),2005­2010,20,8,3,21,8*,4.20,21,100.00,0,0,2,2,0
MR Gillespie (NZ),2006­2008,11,6,4,21,7,10.50,29,72.41,0,0,0,0,0
Kamran Shazad (UAE),2014­2014,3,2,0,21,21,10.50,17,123.52,0,0,1,1,2
AF Milne (NZ),2010­2016,18,7,7,21,10*,­,23,91.30,0,0,0,1,0
Mohammad Sami (PAK),2010­2016,13,4,3,21,8,21.00,30,70.00,0,0,0,2,0
Rony Talukdar (BDESH),2015­2015,1,1,0,21,21,21.00,22,95.45,0,0,0,0,1
Shoaib Akhtar (PAK),2006­2010,15,6,3,21,8*,7.00,16,131.25,0,0,1,2,1
SJS Smith (SCOT),2010­2012,5,4,1,21,9,7.00,40,52.50,0,0,1,1,0
RL Bhudia (Kenya),2007­2007,3,3,1,20,11*,10.00,20,100.00,0,0,1,0,2
JL Denly (ENG),2009­2010,5,5,0,20,14,4.00,29,68.96,0,0,2,2,0
DL Hemp (Ber),2008­2008,2,2,0,20,20,10.00,32,62.50,0,0,1,2,1
MJ North (AUS),2009­2009,1,1,0,20,20,20.00,21,95.23,0,0,0,1,0
S Sreesanth (INDIA),2006­2008,10,3,2,20,19*,20.00,14,142.85,0,0,1,4,0
Fahad Tariq (UAE),2016­2016,6,5,1,19,16,4.75,24,79.16,0,0,2,1,1
HGJM Kulatunga (SL),2008­2008,2,2,0,19,11,9.50,38,50.00,0,0,0,0,0
CJ McKay (AUS),2010­2013,6,4,2,19,7,9.50,22,86.36,0,0,1,1,1
Muktar Ali (BDESH),2016­2016,1,1,1,19,19*,­,15,126.66,0,0,0,1,1
RLB Rambukwella (SL),2013­2016,2,1,0,19,19,19.00,16,118.75,0,0,0,1,1
SV Samson (INDIA),2015­2015,1,1,0,19,19,19.00,24,79.16,0,0,0,1,0
RW Chakabva (ZIM),2008­2015,5,5,0,18,13,3.60,40,45.00,0,0,2,1,0
DT Christian (AUS),2010­2014,15,6,3,18,6*,6.00,15,120.00,0,0,1,2,0
LHD Dilhara (SL),2008­2008,2,1,1,18,18*,­,9,200.00,0,0,0,0,1
XJ Doherty (AUS),2012­2013,11,4,3,18,9*,18.00,17,105.88,0,0,0,1,0
Khurram Chohan (Can),2010­2010,4,4,2,18,8,9.00,14,128.57,0,0,0,1,1
SW Masakadza (ZIM),2010­2013,7,5,1,18,9,4.50,24,75.00,0,0,1,1,0
CT Mutombodzi (ZIM),2013­2016,5,5,1,18,12*,4.50,24,75.00,0,0,1,1,0
Nauman Anwar (PAK),2015­2015,1,1,0,18,18,18.00,10,180.00,0,0,0,2,1
Naved­ul­Hasan (PAK),2006­2010,4,2,1,18,17*,18.00,16,112.50,0,0,0,0,2
Raza Hasan (PAK),2012­2014,10,4,4,18,13*,­,25,72.00,0,0,0,2,0
Shafiul Islam (BDESH),2010­2013,11,4,1,18,16,6.00,24,75.00,0,0,1,1,1
S Thuraisingam (Can),2008­2008,3,2,1,18,15,18.00,24,75.00,0,0,0,1,0
JW Wilson (NZ),2005­2005,1,1,0,18,18,18.00,14,128.57,0,0,0,2,0
TL Best (WI),2013­2014,6,1,1,17,17*,­,9,188.88,0,0,0,0,2
TS Chisoro (ZIM),2015­2016,7,2,1,17,10,17.00,17,100.00,0,0,0,1,0
Imran Tahir (SA),2013­2016,27,2,2,17,9*,­,11,154.54,0,0,0,1,1
LN Onyango (Kenya),2007­2010,5,4,2,17,5,8.50,21,80.95,0,0,0,0,0
Taskin Ahmed (BDESH),2014­2016,13,3,2,17,15*,17.00,18,94.44,0,0,0,1,1
PVD Chameera (SL),2015­2016,13,7,6,16,9*,16.00,20,80.00,0,0,1,1,0
CJ Ferguson (AUS),2009­2009,3,3,0,16,8,5.33,19,84.21,0,0,1,1,0
Mehrab Hossain jnr (BDESH),2008­2009,2,2,1,16,10,16.00,25,64.00,0,0,0,1,0
M Morkel (SA),2007­2015,39,5,3,16,8*,8.00,13,123.07,0,0,0,2,1
BJ Rohrer (AUS),2013­2013,1,1,0,16,16,16.00,14,114.28,0,0,0,0,1
EHSN Silva (UAE),2014­2014,2,2,1,16,13*,16.00,22,72.72,0,0,0,1,0
AB Agarkar (INDIA),2006­2007,4,2,0,15,14,7.50,11,136.36,0,0,0,2,0
NW Bracken (AUS),2006­2009,19,6,3,15,4*,5.00,22,68.18,0,0,1,1,0
