Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Ehsan Khan (HK),2016­2016,1,1,1,29,29*,­,22,131.81,0,0,0,2,1
WB Rankin (ENG/IRE),2009­2016,22,5,4,29,16*,29.00,28,103.57,0,0,0,2,1
Abdul Shakoor (UAE),2015­2015,4,3,1,28,20*,14.00,34,82.35,0,0,0,2,0
S Badree (WI),2012­2016,32,8,5,28,14*,9.33,43,65.11,0,0,0,1,0
TE Kane (IRE),2015­2015,5,2,1,28,26*,28.00,20,140.00,0,0,0,3,0
A Nehra (INDIA),2009­2016,23,5,0,28,22,5.60,39,71.79,0,0,3,1,2
PJ Ongondo (Kenya),2007­2008,8,6,0,28,16,4.66,23,121.73,0,0,2,1,2
AU Rashid (ENG),2009­2016,20,8,5,28,9*,9.33,37,75.67,0,0,0,1,0
NE Bonner (WI),2011­2012,2,2,0,27,24,13.50,38,71.05,0,0,0,2,0
Mohammad Iqbal (Can),2008­2008,3,3,0,27,22,9.00,39,69.23,0,0,0,1,0
Nadeem Ahmed (HK),2014­2016,21,8,4,27,10,6.75,39,69.23,0,0,1,2,0
Nadif Chowdhury (BDESH),2006­2007,3,3,0,27,12,9.00,23,117.39,0,0,0,2,0
MP Vaughan (ENG),2005­2007,2,2,0,27,27,13.50,22,122.72,0,0,1,4,0
Zulfiqar Babar (PAK),2013­2014,7,3,3,27,13*,­,27,100.00,0,0,0,2,1
D Ganga (WI),2006­2006,1,1,0,26,26,26.00,31,83.87,0,0,0,3,1
Hamza Tariq (Can),2013­2013,3,2,0,26,22,13.00,23,113.04,0,0,0,0,2
TJ Murtagh (IRE),2012­2016,14,5,3,26,12*,13.00,25,104.00,0,0,0,0,1
Shapoor Zadran (AFG),2010­2016,27,12,5,26,13,3.71,63,41.26,0,0,3,0,3
RA Bhatti (Can),2012­2012,4,4,1,25,11*,8.33,37,67.56,0,0,1,1,0
PJ Cummins (AUS),2011­2015,15,8,2,25,13,4.16,31,80.64,0,0,2,1,1
AM Ellis (NZ),2012­2013,5,5,2,25,16,8.33,21,119.04,0,0,0,1,1
CRD Fernando (SL),2006­2016,18,7,2,25,21,5.00,27,92.59,0,0,2,4,0
G Goudie (SCOT),2010­2013,9,6,2,25,9*,6.25,20,125.00,0,0,0,2,1
RK Kleinveldt (SA),2008­2013,6,3,2,25,22,25.00,10,250.00,0,0,0,1,3
PM Nevill (AUS),2016­2016,9,5,4,25,10*,25.00,11,227.27,0,0,0,1,2
N Pooran (WI),2016­2016,3,3,0,25,16,8.33,22,113.63,0,0,0,2,1
Raza­ur­Rehman (Can),2012­2013,5,4,0,25,10,6.25,29,86.20,0,0,0,3,0
Shahriar Nafees (BDESH),2006­2006,1,1,0,25,25,25.00,17,147.05,0,0,0,3,1
Waqas Khan (HK),2014­2016,5,4,2,25,19,12.50,42,59.52,0,0,1,1,0
MRJ Watt (SCOT),2015­2016,14,5,3,25,11*,12.50,17,147.05,0,0,1,2,1
Amjad Gul (UAE),2015­2015,1,1,0,24,24,24.00,21,114.28,0,0,0,3,1
JW Dernbach (ENG),2011­2014,34,7,2,24,12,4.80,21,114.28,0,0,1,3,0
JN Gillespie (AUS),2005­2005,1,1,0,24,24,24.00,18,133.33,0,0,0,4,0
Rameez Raja (2) (PAK),2011­2011,2,2,0,24,23,12.00,29,82.75,0,0,0,2,0
CP Schofield (ENG),2007­2007,4,4,3,24,9*,24.00,20,120.00,0,0,0,2,0
C Zhuwao (ZIM),2008­2011,5,5,0,24,12,4.80,39,61.53,0,0,3,4,0
KJ Abbott (SA),2013­2016,21,6,4,23,9*,11.50,20,115.00,0,0,0,2,0
AB Barath (WI),2010­2011,2,2,0,23,15,11.50,39,58.97,0,0,0,3,0
Bilawal Bhatti (PAK),2013­2015,9,4,2,23,13*,11.50,14,164.28,0,0,1,2,1
T Panyangara (ZIM),2013­2016,14,5,4,23,17*,23.00,17,135.29,0,0,0,1,2
JNT Vare (PNG),2015­2016,5,4,0,23,13,5.75,23,100.00,0,0,0,2,0
Zulqarnain Haider (PAK),2007­2010,3,3,0,23,17,7.66,30,76.66,0,0,0,1,0
Abdur Rehman (PAK),2007­2013,8,5,3,22,7*,11.00,29,75.86,0,0,0,0,0
Ahmed Raza (UAE),2014­2016,13,5,2,22,9*,7.33,41,53.65,0,0,1,0,1
AB Dinda (INDIA),2009­2012,9,2,1,22,19,22.00,24,91.66,0,0,0,1,0
PJ Ingram (NZ),2010­2010,3,3,1,22,20*,11.00,35,62.85,0,0,1,3,0
WP Masakadza (ZIM),2015­2016,7,5,3,22,6*,11.00,27,81.48,0,0,0,2,0
DP Nannes (AUS/Neth),2009­2010,17,5,3,22,12*,11.00,18,122.22,0,0,0,1,1
E Otieno (Kenya),2012­2013,10,5,1,22,8,5.50,43,51.16,0,0,0,0,1
TD Paine (AUS),2009­2011,5,3,0,22,21,7.33,18,122.22,0,0,1,2,1
