Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
AC Botha (IRE),2008­2010,14,11,1,130,38,13.00,141,92.19,0,0,2,12,1
Naeem Islam (BDESH),2008­2013,10,10,1,130,28,14.44,114,114.03,0,0,0,8,7
CJ Jordan (ENG),2014­2016,19,12,4,128,27*,16.00,110,116.36,0,0,0,11,5
Mirwais Ashraf (AFG),2010­2016,25,19,8,128,28*,11.63,115,111.30,0,0,2,5,8
CK Coventry (ZIM),2010­2015,13,12,2,127,30,12.70,90,141.11,0,0,2,14,6
PG Fulton (NZ),2006­2012,12,12,1,127,25,11.54,140,90.71,0,0,2,7,6
MA Ouma (Kenya),2007­2013,22,19,1,127,19,7.05,160,79.37,0,0,3,15,1
MJ Prior (ENG),2007­2010,10,8,2,127,32,21.16,100,127.00,0,0,1,11,5
SP Narine (WI),2012­2016,39,16,8,126,30,15.75,92,136.95,0,0,2,11,5
AJ Redmond (NZ),2009­2010,7,6,0,126,63,21.00,84,150.00,0,1,0,19,2
RE van der Merwe (Neth/SA),2009­2016,21,12,5,125,48,17.85,102,122.54,0,0,1,5,7
TWM Latham (NZ),2012­2015,12,9,0,124,26,13.77,121,102.47,0,0,0,9,1
RJ Peterson (SA),2006­2014,21,12,4,124,34,15.50,113,109.73,0,0,1,13,2
AD Mascarenhas (ENG),2007­2009,14,13,5,123,31,15.37,100,123.00,0,0,3,8,5
RR Hendricks (SA),2014­2015,5,5,0,121,49,24.20,117,103.41,0,0,1,13,1
DR Martyn (AUS),2005­2006,4,4,0,120,96,30.00,74,162.16,0,1,0,11,5
PJ Moor (ZIM),2016­2016,8,7,2,120,35,24.00,108,111.11,0,0,0,4,8
DM de Silva (SL),2015­2016,4,4,0,119,62,29.75,105,113.33,0,1,0,8,0
SCJ Broad (ENG),2006­2014,56,26,10,118,18*,7.37,118,100.00,0,0,2,7,3
Ziaur Rahman (BDESH),2012­2014,14,12,3,117,40*,13.00,91,128.57,0,0,3,3,10
Babar Azam (PAK),2016­2016,4,4,3,116,55*,116.00,90,128.88,0,1,0,11,2
Shahzaib Hasan (PAK),2009­2010,10,10,0,116,35,11.60,130,89.23,0,0,3,13,3
A Vala (PNG),2015­2016,6,6,1,116,34*,23.20,130,89.23,0,0,0,10,3
DL Maddy (ENG),2007­2007,4,4,0,113,50,28.25,80,141.25,0,1,0,12,3
R Ashwin (INDIA),2010­2016,45,10,6,112,31*,28.00,108,103.70,0,0,0,13,1
SP Khakurel (Nepal),2014­2015,8,8,0,112,56,14.00,139,80.57,0,1,0,10,1
MD Shanaka (SL),2015­2016,11,11,1,112,27,11.20,113,99.11,0,0,1,5,8
AP Devcich (NZ),2013­2014,4,4,0,111,59,27.75,79,140.50,0,1,0,17,2
E Lewis (WI),2016­2016,5,5,0,111,100,22.20,71,156.33,1,0,1,6,9
SP Fleming (NZ),2005­2006,5,5,0,110,38,22.00,85,129.41,0,0,0,20,0
Anwar Ali (PAK),2008­2016,16,11,4,109,46,15.57,77,141.55,0,0,0,6,6
MG Johnson (AUS),2007­2013,30,17,7,109,28*,10.90,95,114.73,0,0,2,8,3
Harbhajan Singh (INDIA),2006­2016,28,13,5,108,21,13.50,87,124.13,0,0,1,11,4
B Zuiderent (Neth),2009­2010,6,6,1,108,43*,21.60,124,87.09,0,0,0,8,1
Mohammad Rizwan (PAK),2015­2016,10,7,1,106,33*,17.66,109,97.24,0,0,0,9,1
JR Hopes (AUS),2005­2010,12,7,2,105,30,21.00,98,107.14,0,0,0,7,1
WD Parnell (SA),2009­2015,35,9,6,104,29*,34.66,85,122.35,0,0,0,9,3
GP Swann (ENG),2008­2012,39,16,11,104,34,20.80,89,116.85,0,0,2,9,1
RA Jadeja (INDIA),2009­2016,39,17,5,103,25,8.58,116,88.79,0,0,2,6,1
SM Davies (ENG),2009­2011,5,5,0,102,33,20.40,82,124.39,0,0,0,12,0
MA Leask (SCOT),2013­2016,13,9,0,102,58,11.33,96,106.25,0,1,1,7,5
JDS Neesham (NZ),2012­2015,13,10,3,102,28,14.57,76,134.21,0,0,1,12,3
B Lee (AUS),2005­2012,25,12,6,101,43*,16.83,71,142.25,0,0,2,9,4
Wahab Riaz (PAK),2008­2016,23,12,4,101,30*,12.62,95,106.31,0,0,2,8,3
S Dhaniram (Can),2008­2010,11,9,0,100,26,11.11,123,81.30,0,0,0,6,2
KD Karthik (INDIA),2006­2010,9,8,2,100,31*,16.66,88,113.63,0,0,1,14,1
SW Billings (ENG),2015­2016,7,6,0,99,53,16.50,66,150.00,0,1,0,9,4
CR Brathwaite (WI),2011­2016,13,9,2,99,34*,14.14,60,165.00,0,0,1,5,9
Amir Ali (Oman),2015­2016,10,8,3,97,32*,19.40,65,149.23,0,0,0,11,2
NR Kumar (Can),2012­2013,6,6,0,97,38,16.16,95,102.10,0,0,0,10,1
