Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
HS Baidwan (Can),2008­2013,17,11,2,54,21,6.00,52,103.84,0,0,4,4,1
GD Drummond (SCOT),2008­2013,17,7,0,54,35,7.71,65,83.07,0,0,2,3,0
Nurul Hasan (BDESH),2016­2016,6,5,2,54,30*,18.00,43,125.58,0,0,1,7,0
Usman Limbada (Can),2010­2013,7,3,2,53,21*,53.00,41,129.26,0,0,0,6,0
RP Magar (Nepal),2014­2015,6,6,0,52,25,8.66,89,58.42,0,0,1,0,3
S Prasanna (SL),2013­2016,8,8,2,52,21,8.66,46,113.04,0,0,0,4,2
IS Billcliff (Can),2010­2010,2,2,0,51,37,25.50,39,130.76,0,0,0,3,2
NM Coulter­Nile (AUS),2013­2016,17,7,2,51,16*,10.20,43,118.60,0,0,2,1,5
TGJ Gruijters (Neth),2012­2013,8,5,3,51,21*,25.50,47,108.51,0,0,0,3,1
Raqibul Hasan (BDESH),2008­2010,5,5,0,51,18,10.20,62,82.25,0,0,0,3,1
HA Varaiya (Kenya),2007­2013,25,12,11,51,18*,51.00,81,62.96,0,0,0,1,0
Hamid Hassan (AFG),2010­2016,22,9,6,50,22,16.66,46,108.69,0,0,0,3,2
Mohammad Yousuf (PAK),2006­2010,3,3,0,50,26,16.66,43,116.27,0,0,0,5,1
U Bhatti (Can),2008­2010,7,7,3,49,12,12.25,48,102.08,0,0,0,3,1
CU Jayasinghe (SL),2009­2010,5,3,2,49,38,49.00,49,100.00,0,0,0,3,1
Liton Das (BDESH),2015­2015,3,3,0,49,22,16.33,45,108.88,0,0,0,3,1
SD Outerbridge (Ber),2008­2008,3,3,1,49,37*,24.50,51,96.07,0,0,0,2,1
DA Rankin (IRE),2015­2016,2,2,0,49,34,24.50,54,90.74,0,0,0,3,2
Rashid Khan (AFG),2015­2016,14,5,3,49,15,24.50,36,136.11,0,0,0,4,3
K Weeraratne (SL),2008­2009,5,5,2,49,20*,16.33,45,108.88,0,0,0,4,1
BKG Mendis (SL),2016­2016,3,3,0,48,22,16.00,36,133.33,0,0,0,3,3
S Bau (PNG),2016­2016,3,3,0,47,25,15.66,46,102.17,0,0,1,0,3
Junaid Siddiqui (Can),2012­2013,8,6,2,47,21,11.75,39,120.51,0,0,1,2,2
IA Karim (Kenya),2013­2013,7,7,0,47,15,6.71,82,57.31,0,0,2,2,1
KM Dabengwa (ZIM),2006­2010,8,7,3,46,16*,11.50,40,115.00,0,0,0,4,2
JW Hastings (AUS),2010­2016,9,6,2,46,15,11.50,37,124.32,0,0,0,3,1
MM Iqbal (SCOT),2012­2013,6,3,0,46,31,15.33,45,102.22,0,0,0,4,1
NM Odhiambo (Kenya),2010­2013,8,5,2,46,26,15.33,72,63.88,0,0,1,4,1
JJ van der Wath (SA),2006­2007,8,4,1,46,21,15.33,39,117.94,0,0,0,3,1
MD Dai (PNG),2015­2016,6,5,0,45,19,9.00,70,64.28,0,0,0,1,0
JH Davey (SCOT),2012­2016,11,5,1,45,24,11.25,34,132.35,0,0,0,2,2
Haris Sohail (PAK),2013­2015,4,4,1,45,30*,15.00,49,91.83,0,0,0,1,1
Haseeb Amjad (HK),2014­2016,18,10,6,45,12*,11.25,45,100.00,0,0,0,3,1
JM Davison (Can),2008­2010,5,5,0,44,19,8.80,40,110.00,0,0,2,2,3
CH Morris (SA),2012­2016,11,5,2,44,17*,14.66,39,112.82,0,0,1,4,1
Saad Nasim (PAK),2014­2014,3,2,0,44,25,22.00,53,83.01,0,0,0,0,1
GJ Thompson (IRE),2016­2016,1,1,0,44,44,44.00,32,137.50,0,0,0,7,0
S Badrinath (INDIA),2011­2011,1,1,0,43,43,43.00,37,116.21,0,0,0,5,0
NO Miller (WI),2009­2014,9,5,4,43,15*,43.00,47,91.48,0,0,0,2,0
SM Sharif (SCOT),2012­2016,20,8,3,43,26,8.60,38,113.15,0,0,2,4,0
TP Ura (PNG),2015­2015,3,3,0,43,32,14.33,38,113.15,0,0,0,5,1
Amjad Ali (UAE),2014­2015,5,5,1,42,20,10.50,52,80.76,0,0,0,6,0
NG Jones (IRE),2010­2012,5,4,2,42,14*,21.00,38,110.52,0,0,1,1,2
AT Rayudu (INDIA),2014­2016,6,5,1,42,20,10.50,50,84.00,0,0,2,5,0
Abdur Razzak (BDESH),2006­2014,34,20,10,41,9,4.10,74,55.40,0,0,5,1,0
K Jethi (Can),2008­2008,5,5,1,41,24,10.25,59,69.49,0,0,1,0,2
Mohammad Amir (PAK),2009­2016,31,8,3,41,21*,8.20,51,80.39,0,0,1,1,2
K Pala (PNG),2015­2015,2,2,1,41,22*,41.00,30,136.66,0,0,0,4,2
GH Dockrell (IRE),2010­2016,39,10,3,40,10*,5.71,41,97.56,0,0,3,2,1
MJ Santner (NZ),2015­2016,10,7,1,40,18,6.66,47,85.10,0,0,1,3,0
