Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Q de Kock (SA),2012­2016,29,29,4,742,52,29.68,578,128.37,0,1,2,88,23
KA Pollard (WI),2008­2016,50,44,10,742,63*,21.82,537,138.17,0,2,1,53,39
J Charles (WI),2011­2016,34,33,0,724,84,21.93,595,121.68,0,4,4,84,26
MEK Hussey (AUS),2005­2012,38,30,11,721,60*,37.94,529,136.29,0,4,1,58,25
RS Bopara (ENG),2008­2014,38,35,10,711,65*,28.44,599,118.69,0,3,0,54,17
Mushfiqur Rahim (BDESH),2006­2016,57,49,9,703,50,17.57,627,112.12,0,1,3,58,17
Asghar Stanikzai (AFG),2010­2016,36,32,2,693,62,23.10,664,104.36,0,3,2,41,33
LD Chandimal (SL),2010­2016,45,39,1,687,58,18.07,659,104.24,0,4,0,64,15
Mahmudullah (BDESH),2007­2016,53,46,10,686,64*,19.05,593,115.68,0,2,2,50,25
GC Wilson (IRE),2008­2016,46,39,4,673,45,19.22,718,93.73,0,0,4,63,5
JH Kallis (SA),2005­2012,25,23,4,666,73,35.05,558,119.35,0,5,0,56,20
Samiullah Shenwari (AFG),2010­2016,43,38,8,643,61,21.43,538,119.51,0,1,0,48,20
SJ Myburgh (Neth),2012­2016,27,26,2,636,71*,26.50,516,123.25,0,5,5,72,21
MDKJ Perera (SL),2013­2016,25,25,0,635,84,25.40,487,130.39,0,5,0,66,23
ST Jayasuriya (SL),2006­2011,31,30,3,629,88,23.29,487,129.15,0,4,4,76,23
NLTC Perera (SL),2010­2016,54,45,17,623,49,22.25,432,144.21,0,0,5,50,29
Mohammad Nabi (AFG),2010­2016,45,42,4,621,52,16.34,473,131.28,0,1,3,39,30
MR Swart (Neth),2012­2016,26,25,2,621,89,27.00,537,115.64,0,4,1,53,16
PW Borren (Neth),2008­2016,40,35,5,618,57,20.60,505,122.37,0,1,1,58,18
CK Kapugedera (SL),2006­2016,38,34,6,604,48*,21.57,511,118.19,0,0,0,47,24
Sabbir Rahman (BDESH),2014­2016,26,25,5,604,80,30.20,502,120.31,0,3,0,60,15
CJ Chibhabha (ZIM),2006­2016,30,29,0,600,67,20.68,552,108.69,0,5,2,71,11
JE Root (ENG),2012­2016,21,19,3,600,90*,37.50,437,137.29,0,4,0,64,14
W Barresi (Neth),2012­2016,32,31,4,596,75*,22.07,491,121.38,0,3,3,50,19
KJ O'Brien (IRE),2008­2016,52,45,9,596,42*,16.55,503,118.48,0,0,8,44,23
Salman Butt (PAK),2007­2010,24,23,2,595,74,28.33,551,107.98,0,3,1,66,10
BRM Taylor (ZIM),2006­2014,26,26,5,594,75*,28.28,480,123.75,0,5,4,52,17
RD Berrington (SCOT),2008­2016,36,30,3,590,100,21.85,503,117.29,1,0,5,60,12
PD Collingwood (ENG),2005­2011,35,33,2,583,79,18.80,459,127.01,0,3,3,37,24
DR Smith (WI),2006­2015,33,32,0,582,72,18.18,474,122.78,0,3,1,62,31
SB Styris (NZ),2005­2010,31,29,2,578,66,21.40,483,119.66,0,1,0,40,25
ADS Fletcher (WI),2008­2016,32,31,4,576,84*,21.33,540,106.66,0,5,5,39,27
JA Morkel (SA),2005­2015,50,38,11,572,43,21.18,402,142.28,0,0,1,29,39
MN Waller (ZIM),2011­2016,28,27,5,567,68,25.77,414,136.95,0,1,2,38,26
MJ Lumb (ENG),2010­2014,27,27,1,552,63,21.23,413,133.65,0,3,1,64,21
DJG Sammy (WI),2007­2016,66,50,16,534,42*,15.70,359,148.74,0,0,3,42,27
C Kieswetter (ENG),2010­2012,25,25,1,526,63,21.91,470,111.91,0,3,2,47,23
Babar Hayat (HK),2014­2016,21,21,4,515,122,30.29,392,131.37,1,2,2,42,20
V Sibanda (ZIM),2007­2016,26,26,1,511,59,20.44,503,101.59,0,1,3,52,11
CO Obuya (Kenya),2007­2013,26,24,6,507,75*,28.16,463,109.50,0,3,3,37,10
Karim Sadiq (AFG),2010­2016,34,34,0,505,72,14.85,456,110.74,0,1,4,58,9
SC Williams (ZIM),2006­2016,24,24,2,501,58*,22.77,409,122.49,0,3,2,48,8
Imran Nazir (PAK),2007­2012,25,24,1,500,72,21.73,370,135.13,0,3,2,59,22
C Munro (NZ),2012­2016,28,25,5,500,73*,25.00,343,145.77,0,3,1,34,31
MJ Clarke (AUS),2005­2010,34,28,5,488,67,21.21,473,103.17,0,1,2,29,10
Najibullah Zadran (AFG),2012­2016,27,22,6,484,60*,30.25,343,141.10,0,1,0,28,25
JDP Oram (NZ),2005­2012,36,30,7,474,66*,20.60,339,139.82,0,2,3,38,22
GJ Bailey (AUS),2012­2016,29,25,7,470,63,26.11,334,140.71,0,2,1,37,20
NJ O'Brien (IRE),2008­2016,30,28,2,466,50,17.92,475,98.10,0,1,0,40,7
Noor Ali Zadran (AFG),2010­2016,18,18,1,465,63,27.35,472,98.51,0,3,1,39,4
