Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Muhammad Kaleem (UAE),2016­2016,9,9,0,97,50,10.77,116,83.62,0,1,1,9,3
AM Samad (Can),2008­2010,7,6,0,97,29,16.16,88,110.22,0,0,1,8,4
XM Marshall (WI),2008­2009,6,6,0,96,36,16.00,77,124.67,0,0,1,8,4
RS Morton (WI),2006­2010,7,7,1,96,40,16.00,103,93.20,0,0,1,8,2
MJG Rippon (Neth),2013­2016,14,7,3,96,25*,24.00,91,105.49,0,0,1,4,1
MH Yardy (ENG),2006­2011,14,8,5,96,35*,32.00,72,133.33,0,0,3,9,1
TM Odoyo (Kenya),2007­2013,11,10,0,95,22,9.50,119,79.83,0,0,1,6,2
NS Poonia (SCOT),2007­2010,8,7,2,95,38*,19.00,108,87.96,0,0,2,3,1
JH Stander (SCOT),2009­2012,11,11,2,94,45,10.44,90,104.44,0,0,3,6,4
P Utseya (ZIM),2006­2015,35,21,9,94,13*,7.83,115,81.73,0,0,3,6,1
Mohammad Naveed (UAE),2015­2016,14,12,5,92,19*,13.14,88,104.54,0,0,1,8,4
MC Sorensen (IRE),2012­2016,26,11,6,92,26,18.40,79,116.45,0,0,1,4,3
D Wiese (SA),2013­2016,20,11,4,92,28,13.14,75,122.66,0,0,1,4,3
Yasir Arafat (PAK),2007­2012,13,11,4,92,17,13.14,79,116.45,0,0,0,8,2
MD Gunathilaka (SL),2016­2016,5,5,0,91,46,18.20,76,119.73,0,0,0,8,3
KM Jadhav (INDIA),2015­2016,5,4,0,91,58,22.75,68,133.82,0,1,0,9,2
Raees Ahmadzai (AFG),2010­2010,8,6,3,91,33*,30.33,84,108.33,0,0,0,5,1
Saeed Ajmal (PAK),2009­2015,64,23,12,91,21*,8.27,86,105.81,0,0,3,7,2
CR Woakes (ENG),2011­2015,8,7,4,91,37,30.33,63,144.44,0,0,1,4,5
CJA Amini (PNG),2015­2016,6,5,1,90,37*,22.50,97,92.78,0,0,0,4,1
GM Hamilton (SCOT),2007­2010,12,8,0,90,32,11.25,110,81.81,0,0,0,6,1
Sagar Pun (Nepal),2014­2015,9,9,0,90,20,10.00,100,90.00,0,0,0,13,0
DLS van Bunge (Neth),2008­2013,14,12,4,90,24,11.25,104,86.53,0,0,2,2,3
GH Worker (NZ),2015­2015,2,2,0,90,62,45.00,64,140.62,0,1,0,6,5
Mandeep Singh (INDIA),2016­2016,3,3,1,87,52*,43.50,73,119.17,0,1,0,11,1
DI Allan (Kenya),2012­2013,10,10,0,86,18,8.60,135,63.70,0,0,0,7,0
GJ Hopkins (NZ),2007­2010,10,8,0,86,36,10.75,71,121.12,0,0,0,5,5
Imad Wasim (PAK),2015­2016,15,9,4,86,24*,17.20,55,156.36,0,0,2,6,4
T Maruma (ZIM),2008­2016,10,10,4,86,23*,14.33,83,103.61,0,0,1,6,3
SM Pollock (SA),2005­2008,12,9,2,86,36*,12.28,70,122.85,0,0,3,4,4
Shamsur Rahman (BDESH),2013­2014,9,8,0,86,53,10.75,85,101.17,0,1,2,12,1
Sultan Ahmed (Oman),2015­2016,13,9,2,86,37*,12.28,68,126.47,0,0,3,12,0
Mohammad Mithun (BDESH),2014­2016,12,8,0,85,47,10.62,93,91.39,0,0,2,6,3
Sompal Kami (Nepal),2014­2015,11,7,2,85,40,17.00,78,108.97,0,0,0,9,3
RML Taylor (SCOT),2013­2016,9,6,3,85,41*,28.33,58,146.55,0,0,0,6,4
A Balbirnie (IRE),2015­2016,10,7,0,84,31,12.00,94,89.36,0,0,1,9,0
JE Taylor (WI),2006­2016,23,12,6,84,21,14.00,75,112.00,0,0,1,7,3
JK Kamande (Kenya),2007­2010,12,9,0,83,42,9.22,92,90.21,0,0,2,5,3
N Vanua (PNG),2015­2016,6,5,3,83,28*,41.50,48,172.91,0,0,0,3,7
AS Hansra (Can),2012­2013,8,8,2,82,30,13.66,85,96.47,0,0,0,4,3
TM Head (AUS),2016­2016,4,4,1,82,45,27.33,52,157.69,0,0,0,5,5
SW Poynter (IRE),2015­2016,10,8,0,82,35,10.25,87,94.25,0,0,0,5,2
Faizan Asif (UAE),2014­2015,6,6,0,80,28,13.33,64,125.00,0,0,0,9,3
Waqas Barkat (HK),2014­2016,10,8,1,80,32,11.42,92,86.95,0,0,1,10,0
CD Barnwell (WI),2011­2013,6,6,2,78,34*,19.50,62,125.80,0,0,1,4,4
HH Pandya (INDIA),2016­2016,16,7,0,78,31,11.14,56,139.28,0,0,1,7,4
DAJ Bracewell (NZ),2011­2015,14,8,5,77,21*,25.66,56,137.50,0,0,1,5,4
KD Shah (HK),2014­2016,15,11,2,77,29,8.55,98,78.57,0,0,3,7,1
ML Udawatte (SL),2008­2009,5,5,0,77,25,15.40,64,120.31,0,0,1,8,2
A Flintoff (ENG),2005­2007,7,7,1,76,31,12.66,60,126.66,0,0,1,7,2
