Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Jatinder Singh (Oman),2015­2016,11,11,0,200,42,18.18,221,90.49,0,0,0,16,1
MM Ali (ENG),2014­2016,19,17,4,199,72*,15.30,174,114.36,0,1,6,19,6
S Vesawkar (Nepal),2014­2015,10,10,0,199,40,19.90,209,95.21,0,0,0,16,3
BMAJ Mendis (SL),2011­2013,16,12,3,197,43*,21.88,158,124.68,0,0,1,18,5
JM Bairstow (ENG),2011­2016,20,15,4,195,60*,17.72,181,107.73,0,1,0,16,5
Fawad Alam (PAK),2007­2010,24,17,6,194,28,17.63,169,114.79,0,0,1,7,7
KMDN Kulasekara (SL),2008­2016,50,26,6,193,31,9.65,163,118.40,0,0,4,11,7
Asad Shafiq (PAK),2010­2012,10,10,0,192,38,19.20,185,103.78,0,0,0,19,2
Mukhtar Ahmed (PAK),2015­2015,6,6,0,192,83,32.00,134,143.28,0,2,0,23,5
HG Munsey (SCOT),2015­2016,13,11,2,190,62*,21.11,135,140.74,0,1,3,35,2
Sohail Tanvir (PAK),2007­2016,54,23,7,190,41,11.87,158,120.25,0,0,2,15,9
SR Patel (ENG),2011­2013,18,14,2,189,67,15.75,173,109.24,0,1,2,17,5
IR Bell (ENG),2006­2014,8,8,1,188,60*,26.85,163,115.33,0,1,0,23,2
CD McMillan (NZ),2005­2007,8,7,1,187,57,31.16,117,159.82,0,1,0,8,14
SP Patil (UAE),2014­2016,18,13,0,187,37,14.38,218,85.77,0,0,3,16,4
BJ Hodge (AUS),2007­2014,15,11,4,183,36,26.14,144,127.08,0,0,0,9,7
KL Rahul (INDIA),2016­2016,5,4,2,179,110*,89.50,112,159.82,1,0,1,17,8
Nazimuddin (BDESH),2007­2008,7,7,0,178,81,25.42,158,112.65,0,1,2,13,10
LPC Silva (SL),2006­2011,16,15,2,175,38,13.46,177,98.87,0,0,0,19,3
NN Odhiambo (Kenya),2007­2013,24,20,2,174,41,9.66,177,98.30,0,0,3,17,4
L Vincent (NZ),2006­2007,9,9,0,174,42,19.33,174,100.00,0,0,1,17,3
R Mutumbami (ZIM),2015­2016,14,14,3,173,43,15.72,168,102.97,0,0,1,11,8
IK Pathan (INDIA),2006­2012,24,14,7,172,33*,24.57,144,119.44,0,0,0,9,7
M Vijay (INDIA),2010­2015,9,9,0,169,48,18.77,154,109.74,0,0,1,13,8
Khawar Ali (Oman),2015­2016,10,9,0,166,38,18.44,181,91.71,0,0,0,18,5
ME Trescothick (ENG),2005­2006,3,3,0,166,72,55.33,131,126.71,0,2,0,23,1
Umar Gul (PAK),2007­2016,60,27,9,165,32,9.16,156,105.76,0,0,6,11,10
TN de Grooth (Neth),2008­2013,15,13,5,163,49,20.37,155,105.16,0,0,0,16,1
G Malla (Nepal),2014­2015,11,11,0,163,48,14.81,160,101.87,0,0,1,22,2
JM Vince (ENG),2015­2016,5,5,0,163,46,32.60,137,118.97,0,0,0,18,4
Aamir Kaleem (Oman),2015­2016,11,10,2,161,46*,20.12,143,112.58,0,0,2,15,3
H Davids (SA),2012­2013,9,9,0,161,68,17.88,134,120.14,0,2,2,18,4
Junaid Siddique (BDESH),2007­2012,7,7,0,159,71,22.71,108,147.22,0,1,1,16,7
RR Watson (SCOT),2007­2010,10,9,0,159,54,17.66,141,112.76,0,1,1,22,1
JL Ontong (SA),2008­2015,14,10,0,158,48,15.80,109,144.95,0,0,1,6,11
Mudassar Bukhari (Neth),2008­2016,38,26,8,157,28*,8.72,152,103.28,0,0,1,10,4
GD Elliott (NZ),2009­2016,16,14,4,157,27,15.70,149,105.36,0,0,0,10,2
DSNFG Jayasuriya (SL),2015­2016,11,10,0,157,40,15.70,141,111.34,0,0,0,11,7
Aizaz Khan (HK),2014­2016,20,17,7,153,31,15.30,152,100.65,0,0,1,11,4
HD Rutherford (NZ),2013­2013,7,6,0,151,62,25.16,104,145.19,0,1,0,12,9
BA Stokes (ENG),2011­2016,18,15,4,146,31,13.27,102,143.13,0,0,1,14,6
JP Faulkner (AUS),2012­2016,21,15,6,142,41*,15.77,127,111.81,0,0,0,5,5
AC Voges (AUS),2007­2013,7,5,2,139,51,46.33,114,121.92,0,1,0,8,2
IJL Trott (ENG),2007­2010,7,7,1,138,51,23.00,144,95.83,0,1,0,9,3
KD Mills (NZ),2005­2014,42,19,7,137,33*,11.41,123,111.38,0,0,4,11,5
DF Watts (SCOT),2007­2012,11,9,0,137,46,15.22,127,107.87,0,0,2,13,3
AR White (IRE),2008­2012,18,12,6,137,29,22.83,128,107.03,0,0,0,12,2
MR Marsh (AUS),2011­2016,9,9,3,133,36,22.16,104,127.88,0,0,0,6,8
GEF Barnett (Can),2008­2010,5,5,1,131,36,32.75,136,96.32,0,0,0,16,0
WU Tharanga (SL),2006­2012,10,10,0,131,37,13.10,115,113.91,0,0,2,12,3
