Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
KDK Vithanage (SL),2014­2016,3,3,0,40,38,13.33,34,117.64,0,0,0,7,0
RR David (Can),2008­2008,4,4,0,39,17,9.75,65,60.00,0,0,0,2,1
BR Dunk (AUS),2014­2014,3,3,0,39,23,13.00,34,114.70,0,0,0,3,1
EMDY Munaweera (SL),2012­2013,4,4,1,39,17,13.00,42,92.85,0,0,0,5,0
Munir Dar (HK),2014­2014,2,2,0,39,36,19.50,33,118.18,0,0,0,3,1
Rafatullah Mohmand (PAK),2015­2015,3,3,0,39,23,13.00,45,86.66,0,0,1,4,0
RI Ahmed (Neth),2015­2015,2,2,0,38,25,19.00,50,76.00,0,0,0,2,0
C Carter (HK),2015­2016,8,4,1,38,15,12.66,42,90.47,0,0,0,3,0
R Flannigan (SCOT),2012­2012,4,4,1,38,18,12.66,33,115.15,0,0,1,4,0
AV Lalcheta (Oman),2015­2016,11,5,2,38,16,12.66,29,131.03,0,0,0,6,0
NJ Maddinson (AUS),2013­2014,2,2,0,38,34,19.00,22,172.72,0,0,0,6,1
D Mongia (INDIA),2006­2006,1,1,0,38,38,38.00,45,84.44,0,0,0,4,1
F Mutizwa (ZIM),2011­2012,3,3,0,38,22,12.66,36,105.55,0,0,1,3,0
BJ Watling (NZ),2009­2014,5,4,0,38,22,9.50,58,65.51,0,0,0,3,0
SJ Benn (WI),2008­2016,24,7,4,37,13*,12.33,42,88.09,0,0,1,5,1
JS Foster (ENG),2009­2009,5,5,2,37,14*,12.33,32,115.62,0,0,0,0,1
RM Hira (NZ),2012­2013,15,3,1,37,20*,18.50,33,112.12,0,0,0,4,1
RJ Campbell (HK),2016­2016,3,3,0,36,27,12.00,47,76.59,0,0,1,6,0
PA Patel (INDIA),2011­2011,2,2,0,36,26,18.00,32,112.50,0,0,0,4,1
Aaqib Sulehri (Oman),2015­2016,5,5,1,35,16,8.75,41,85.36,0,0,0,5,0
STR Binny (INDIA),2015­2016,3,2,0,35,24,17.50,29,120.68,0,0,0,2,1
BCJ Cutting (AUS),2013­2014,4,3,0,35,29,11.66,23,152.17,0,0,1,1,3
VV Morea (PNG),2015­2016,4,4,0,35,19,8.75,41,85.36,0,0,0,4,0
D Murphy (SCOT),2013­2013,4,4,3,35,20,35.00,35,100.00,0,0,0,1,0
MP O'Dowd (Neth),2015­2016,5,4,1,35,17,11.66,39,89.74,0,0,0,1,1
Shuvagata Hom (BDESH),2016­2016,5,4,2,35,16*,17.50,35,100.00,0,0,0,3,1
Arafat Sunny (BDESH),2014­2016,10,6,3,34,10,11.33,30,113.33,0,0,0,3,1
Hammad Azam (PAK),2012­2013,5,4,1,34,21,11.33,34,100.00,0,0,0,3,1
JD Nel (SCOT),2007­2010,10,5,2,34,13*,11.33,25,136.00,0,0,1,3,1
OL Pitcher (Ber),2008­2008,3,3,0,34,15,11.33,53,64.15,0,0,0,1,0
T van der Gugten (Neth),2012­2016,22,5,2,34,12*,11.33,29,117.24,0,0,0,1,2
GO Jones (ENG),2005­2006,2,2,1,33,19,33.00,25,132.00,0,0,0,5,0
MF Maharoof (SL),2006­2016,8,5,1,33,13*,8.25,43,76.74,0,0,1,0,1
RJMGM Rupasinghe (SL),2009­2009,2,2,0,33,18,16.50,39,84.61,0,0,0,2,0
WPUJC Vaas (SL),2006­2007,6,2,1,33,21,33.00,41,80.48,0,0,0,1,0
WD Balaji Rao (Can),2008­2008,4,4,1,32,22*,10.66,30,106.66,0,0,1,1,2
SE Findlay (WI),2008­2008,2,2,0,32,19,16.00,31,103.22,0,0,0,4,0
TG Gordon (Can),2012­2012,3,3,0,32,23,10.66,37,86.48,0,0,0,3,0
GA Lamb (ZIM),2010­2010,5,4,2,32,14*,16.00,54,59.25,0,0,1,1,0
AR McBrine (IRE),2014­2016,12,5,3,32,10*,16.00,26,123.07,0,0,0,3,0
SNJ O'Keefe (AUS),2010­2011,7,5,0,32,22,6.40,26,123.07,0,0,0,4,1
J Theron (SA),2010­2012,9,3,3,32,31*,­,21,152.38,0,0,0,3,1
JC Tredwell (ENG),2012­2014,17,6,3,32,22,10.66,20,160.00,0,0,1,4,1
B Bhandari (Nepal),2014­2015,10,10,2,31,13,3.87,51,60.78,0,0,1,3,0
TR Birt (AUS),2010­2012,4,3,0,31,17,10.33,33,93.93,0,0,0,3,1
R Dravid (INDIA),2011­2011,1,1,0,31,31,31.00,21,147.61,0,0,0,0,3
Jahurul Islam (BDESH),2010­2013,3,3,0,31,18,10.33,23,134.78,0,0,0,3,1
PA Nixon (ENG),2007­2007,1,1,1,31,31*,­,22,140.90,0,0,0,2,1
H Osinde (Can),2008­2013,11,6,2,31,17,7.75,34,91.17,0,0,0,1,2
WW Hinds (WI),2006­2010,5,5,1,30,14,7.50,41,73.17,0,0,1,3,0
