Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
BE Hendricks (SA),2014­2014,5,2,1,15,12*,15.00,15,100.00,0,0,0,0,1
E Katchay (Can),2008­2008,4,3,2,15,8*,15.00,25,60.00,0,0,1,0,0
B Kumar (INDIA),2012­2016,16,4,2,15,9,7.50,15,100.00,0,0,1,0,0
Mosaddek Hossain (BDESH),2016­2016,1,1,0,15,15,15.00,19,78.94,0,0,0,1,0
LA Pomersbach (AUS),2007­2007,1,1,0,15,15,15.00,7,214.28,0,0,0,1,1
RW Price (ZIM),2008­2012,16,9,4,15,7*,3.00,28,53.57,0,0,1,1,0
Shabir Noori (AFG),2012­2012,1,1,0,15,15,15.00,18,83.33,0,0,0,1,0
J Smits (Neth),2008­2009,6,2,1,15,11*,15.00,27,55.55,0,0,0,0,0
DW Steyn (SA),2007­2016,42,9,4,15,5,3.00,20,75.00,0,0,1,1,0
AO Suji (Kenya),2007­2010,8,5,2,15,7,5.00,29,51.72,0,0,0,0,0
DT Tiripano (ZIM),2016­2016,8,4,2,15,11*,7.50,22,68.18,0,0,1,0,1
MK Tiwary (INDIA),2011­2012,3,1,0,15,15,15.00,17,88.23,0,0,0,0,0
JDF Vandersay (SL),2015­2016,7,5,4,15,8*,15.00,17,88.23,0,0,0,2,0
VB van Jaarsveld (SA),2009­2009,3,3,0,15,12,5.00,23,65.21,0,0,1,0,0
Abu Hider (BDESH),2016­2016,5,1,0,14,14,14.00,10,140.00,0,0,0,1,1
Ahsan Malik (Neth),2012­2016,28,6,4,14,4*,7.00,18,77.77,0,0,1,1,0
SG Borthwick (ENG),2011­2011,1,1,0,14,14,14.00,16,87.50,0,0,0,2,0
ST Finn (ENG),2011­2015,21,3,3,14,8*,­,19,73.68,0,0,0,1,0
MC Henriques (AUS),2009­2016,6,3,0,14,12,4.66,17,82.35,0,0,0,1,0
MJ McClenaghan (NZ),2012­2016,28,7,4,14,6*,4.66,15,93.33,0,0,2,1,1
JAH Marshall (NZ),2005­2008,3,2,0,14,13,7.00,15,93.33,0,0,0,2,0
Najeeb Tarakai (AFG),2014­2014,2,2,0,14,7,7.00,17,82.35,0,0,0,2,0
GH O'Brien (Ber),2008­2008,3,3,1,14,7*,7.00,16,87.50,0,0,1,0,1
AN Petersen (SA),2010­2010,2,2,0,14,8,7.00,19,73.68,0,0,0,1,0
VD Philander (SA),2007­2007,7,4,0,14,6,3.50,28,50.00,0,0,0,0,0
Saqlain Haider (UAE),2016­2016,6,5,1,14,7,3.50,35,40.00,0,0,0,0,0
VS Wategaonkar (Oman),2016­2016,2,1,0,14,14,14.00,14,100.00,0,0,0,1,0
CM Wright (SCOT),2007­2009,3,1,0,14,14,14.00,18,77.77,0,0,0,0,0
AR Adams (NZ),2005­2006,4,2,1,13,7,13.00,12,108.33,0,0,0,1,0
Amir Hamza (AFG),2013­2016,19,6,3,13,4,4.33,17,76.47,0,0,1,1,0
C de Grandhomme (NZ),2012­2012,4,4,2,13,8,6.50,17,76.47,0,0,0,1,0
J Edness (Ber),2008­2008,3,3,0,13,9,4.33,28,46.42,0,0,1,0,0
CR Foggo (Ber),2008­2008,3,3,0,13,7,4.33,17,76.47,0,0,1,2,0
SP Gauchan (Nepal),2014­2015,9,5,2,13,6*,4.33,43,30.23,0,0,2,0,0
PA Hitchcock (NZ),2008­2008,1,1,0,13,13,13.00,11,118.18,0,0,0,1,1
SHT Kandamby (SL),2008­2011,5,4,0,13,10,3.25,21,61.90,0,0,1,0,0
SKW Kelly (Ber),2008­2008,3,2,2,13,11*,­,24,54.16,0,0,0,0,0
Z Khan (INDIA),2006­2012,17,4,2,13,9,6.50,10,130.00,0,0,0,0,1
Mohammad Nadeem (Oman),2015­2015,2,2,0,13,7,6.50,12,108.33,0,0,0,1,0
Mohammad Rafique (BDESH),2006­2006,1,1,0,13,13,13.00,5,260.00,0,0,0,3,0
CB Mpofu (ZIM),2008­2015,20,5,3,13,6*,6.50,12,108.33,0,0,2,0,1
CMW Read (ENG),2006­2006,1,1,0,13,13,13.00,11,118.18,0,0,0,2,0
Sufyan Mehmood (Oman),2015­2016,2,1,1,13,13*,­,32,40.62,0,0,0,2,0
Usman Mushtaq (UAE),2016­2016,3,2,1,13,9,13.00,24,54.16,0,0,0,1,0
J Anderson (IRE),2015­2015,4,2,0,12,9,6.00,18,66.66,0,0,0,1,0
HMCM Bandara (SL),2006­2009,4,3,1,12,7,6.00,15,80.00,0,0,0,0,0
TA Boult (NZ),2013­2016,11,4,0,12,5,3.00,22,54.54,0,0,1,0,0
HJH Marshall (NZ),2005­2006,3,3,0,12,8,4.00,14,85.71,0,0,0,0,0
NV Ojha (INDIA),2010­2010,2,2,0,12,10,6.00,27,44.44,0,0,0,2,0
KOA Powell (WI),2014­2014,1,1,0,12,12,12.00,14,85.71,0,0,0,1,0
