H Davids,2012-2013,9,2,2,0,13,1,01-Jun,13,6.5,12,0,0,0
JL Denly,2009-2010,5,1,1,0,9,1,01-Sep,9,9,6,0,0,0
PA Desai,2012-2012,1,1,3,0,30,1,Jan-30,30,10,18,0,0,0
R Dhawan,2016-2016,1,1,4,0,42,1,Jan-42,42,10.5,24,0,0,0
Ehsan Khan,2016-2016,1,1,4,0,26,1,Jan-26,26,6.5,24,0,0,0
Fayyaz Ahmed,2015-2015,1,1,3,0,29,1,Jan-29,29,9.66,18,0,0,0
JN Gillespie,2005-2005,1,1,4,0,49,1,Jan-49,49,12.25,24,0,0,0
SJ Harmison,2005-2006,2,2,6.3,0,42,1,Jan-13,42,6.46,39,0,0,0
BJ Hodge,2007-2014,15,3,5,0,43,1,Jan-13,43,8.6,30,0,0,0
Iftikhar Anjum,2007-2009,2,2,8,0,67,1,Jan-34,67,8.37,48,0,0,0
AJ Ireland,2006-2006,1,1,3,0,33,1,Jan-33,33,11,18,0,0,0
A Karn,2015-2015,2,2,8,0,49,1,Jan-31,49,6.12,48,0,0,0
Khurram Chohan,2010-2010,4,4,12.1,0,106,1,Jan-24,106,8.71,73,0,0,0
Khurram Khan,2014-2014,3,1,1,0,8,1,01-Aug,8,8,6,0,0,0
VJ Kingma,2016-2016,1,1,4,0,32,1,Jan-32,32,8,24,0,0,0
RT Lyons,2010-2010,2,2,6,0,40,1,Jan-26,40,6.66,36,0,0,0
A Martin,2011-2011,1,1,3,0,20,1,Jan-20,20,6.66,18,0,0,0
T Maruma,2008-2016,10,2,3,0,20,1,01-Aug,20,6.66,18,0,0,0
Mohammad Nadeem,2015-2015,2,2,7,0,53,1,Jan-20,53,7.57,42,0,0,0
Mohammad Rafique,2006-2006,1,1,4,0,22,1,Jan-22,22,5.5,24,0,0,0
Mohammad Shahid,2016-2016,1,1,3,0,32,1,Jan-32,32,10.66,18,0,0,0
J Mubarak,2007-2009,16,2,1.2,0,17,1,01-Sep,17,12.75,8,0,0,0
J Mulder,2016-2016,1,1,4,0,25,1,Jan-25,25,6.25,24,0,0,0
T Mupariwa,2007-2008,4,4,13,0,94,1,Jan-22,94,7.23,78,0,0,0
Najeeb Amar,2014-2014,1,1,3,0,29,1,Jan-29,29,9.66,18,0,0,0
Nazmul Hossain,2009-2012,4,4,7,0,67,1,Jan-15,67,9.57,42,0,0,0
P Negi,2016-2016,1,1,3,0,16,1,Jan-16,16,5.33,18,0,0,0
L Nou,2015-2015,3,3,10,0,65,1,Jan-24,65,6.5,60,0,0,0
MP O'Dowd,2015-2016,5,2,2.4,0,14,1,01-Jul,14,5.25,16,0,0,0
JL Ontong,2008-2015,14,4,6,0,83,1,Jan-25,83,13.83,36,0,0,0
MA Parker,2012-2012,2,2,6,0,61,1,Jan-36,61,10.16,36,0,0,0
RR Patel,2008-2013,22,3,3,0,26,1,Jan-13,26,8.66,18,0,0,0
KP Pietersen,2005-2013,37,3,5,0,53,1,Jan-27,53,10.6,30,0,0,0
M Pushpakumara,2009-2009,1,1,3,0,27,1,Jan-27,27,9,18,0,0,0
RLB Rambukwella,2013-2016,2,2,6.3,0,46,1,Jan-19,46,7.07,39,0,0,0
KW Richardson,2014-2016,3,3,10,0,82,1,Jan-13,82,8.2,60,0,0,0
AM Samad,2008-2010,7,1,2,0,36,1,Jan-36,36,18,12,0,0,0
Sandeep Sharma,2015-2015,2,2,7,0,73,1,Jan-39,73,10.42,42,0,0,0
KV Sharma,2014-2014,1,1,4,0,28,1,Jan-28,28,7,24,0,0,0
RG Sharma,2007-2016,62,9,11.2,0,113,1,Jan-22,113,9.97,68,0,0,0
LPC Silva,2006-2011,16,2,3,0,15,1,01-Apr,15,5,18,0,0,0
Sufyan Mehmood,2015-2016,2,2,4.3,0,30,1,Jan-22,30,6.66,27,0,0,0
Tanvir Ahmed,2010-2010,1,1,3,0,13,1,Jan-13,13,4.33,18,0,0,0
BRM Taylor,2006-2014,26,2,5,0,17,1,Jan-16,17,3.4,30,0,0,0
SR Tendulkar,2006-2006,1,1,2.3,0,12,1,01-Dec,12,4.8,15,0,0,0
EP Thompson,2008-2008,1,1,3,1,18,1,Jan-18,18,6,18,0,0,0
GC Tonge,2009-2009,1,1,4,0,25,1,Jan-25,25,6.25,24,0,0,0
Umair Ali,2015-2015,3,2,4,0,28,1,Jan-13,28,7,24,0,0,0
DLS van Bunge,2008-2013,14,2,2.2,0,15,1,Jan-14,15,6.42,14,0,0,0
UWMBCA Welegedara,2010-2010,2,2,6,0,61,1,Jan-21,61,10.16,36,0,0,0
CL White,2007-2014,47,5,7,0,51,1,01-Nov,51,7.28,42,0,0,0
LJ Woodcock,2010-2011,3,3,10,0,70,1,Jan-30,70,7,60,0,0,0
GH Worker,2015-2015,2,1,2,0,19,1,Jan-19,19,9.5,12,0,0,0
UT Yadav,2012-2012,1,1,3,0,24,1,Jan-24,24,8,18,0,0,0
Zaheer Maqsood,2015-2016,3,3,9,0,80,1,Jan-29,80,8.88,54,0,0,0
Zamir Khan,2012-2012,1,1,4,0,26,1,Jan-26,26,6.5,24,0,0,0
C Zhuwao,2008-2011,5,1,0.2,0,1,1,01-Jan,1,3,2,0,0,0
M Zondeki,2006-2006,1,1,3,0,41,1,Jan-41,41,13.66,18,0,0,0
Abdur Rauf,2008-2008,1,1,3,0,21,0,0,0,7,0,0,0,0
Aftab Ahmed,2006-2010,11,1,0.2,0,8,0,0,0,24,0,0,0,0
Ahmed Shehzad,2009-2016,44,1,1,0,10,0,0,0,10,0,0,0,0
J Anderson,2015-2015,4,1,1,0,13,0,0,0,13,0,0,0,0
Arsalan Qadir,2010-2010,1,1,1,0,12,0,0,0,12,0,0,0,0
Asad Ali,2013-2013,2,2,4,0,33,0,0,0,8.25,0,0,0,0
TD Astle,2016-2016,2,2,4,0,41,0,0,0,10.25,0,0,0,0
P Awana,2012-2012,2,2,6,0,71,0,0,0,11.83,0,0,0,0
KMC Bandara,2016-2016,1,1,1,0,11,0,0,0,11,0,0,0,0
GEF Barnett,2008-2010,5,1,1,0,11,0,0,0,11,0,0,0,0
GJ Batty,2009-2009,1,1,3,0,17,0,0,0,5.66,0,0,0,0
S Bau,2016-2016,3,1,1,0,11,0,0,0,11,0,0,0,0
DE Bernard,2009-2009,1,1,4,0,17,0,0,0,4.25,0,0,0,0
RL Bhudia,2007-2007,3,3,7.2,0,78,0,0,0,10.63,0,0,0,0
NE Bonner,2011-2012,2,1,2,0,18,0,0,0,9,0,0,0,0
IDR Bradshaw,2006-2006,1,1,4,0,22,0,0,0,5.5,0,0,0,0
DR Brown,2007-2007,2,1,4,0,44,0,0,0,11,0,0,0,0
DK Butler,2006-2006,1,1,3,0,22,0,0,0,7.33,0,0,0,0
N Deonarine,2010-2013,8,4,9,0,87,0,0,0,9.66,0,0,0,0
DM de Silva,2015-2016,4,2,3,0,20,0,0,0,6.66,0,0,0,0
BJ Diamanti,2009-2009,1,1,2,0,19,0,0,0,9.5,0,0,0,0
F du Plessis,2012-2016,35,2,1.2,0,3,0,0,0,2.25,0,0,0,0
PS Eaglestone,2010-2010,1,1,2,0,16,0,0,0,8,0,0,0,0
Ehsan Nawaz,2014-2016,2,2,2,0,23,0,0,0,11.5,0,0,0,0
Fahad Tariq,2016-2016,6,2,3,0,26,0,0,0,8.66,0,0,0,0
N Pradeep,2016-2016,1,1,2,0,12,0,0,0,6,0,0,0,0
AJ Finch,2011-2016,28,2,2,0,27,0,0,0,13.5,0,0,0,0
DR Flynn,2008-2012,5,1,1,0,7,0,0,0,7,0,0,0,0
DAS Gunaratne,2016-2016,1,1,2.5,0,22,0,0,0,7.76,0,0,0,0
MD Gunathilaka,2016-2016,5,1,1,0,9,0,0,0,9,0,0,0,0
MJ Guptill,2009-2016,61,1,1,0,11,0,0,0,11,0,0,0,0
TM Head,2016-2016,4,1,1,0,9,0,0,0,9,0,0,0,0
T Henderson,2006-2006,1,1,4,0,31,0,0,0,7.75,0,0,0,0
H Hiri,2016-2016,2,1,1,0,5,0,0,0,5,0,0,0,0
KC Hodsoll,2008-2008,1,1,1,0,8,0,0,0,8,0,0,0,0
MEK Hussey,2005-2012,38,1,1,0,5,0,0,0,5,0,0,0,0
Jatinder Singh,2015-2016,11,1,2,0,17,0,0,0,8.5,0,0,0,0
DPMD Jayawardene,2006-2014,55,1,1,0,8,0,0,0,8,0,0,0,0
NG Jones,2010-2012,5,2,2,0,14,0,0,0,7,0,0,0,0
TP Kamungozi,2014-2014,1,1,2,0,17,0,0,0,8.5,0,0,0,0
M Kartik,2007-2007,1,1,4,0,27,0,0,0,6.75,0,0,0,0
JM Kemp,2005-2007,8,1,1,0,5,0,0,0,5,0,0,0,0
GE Kidd,2010-2010,1,1,3,0,32,0,0,0,10.66,0,0,0,0
RJ Kirtley,2007-2007,1,1,1,0,17,0,0,0,17,0,0,0,0
GJP Kruger,2006-2006,1,1,4,0,29,0,0,0,7.25,0,0,0,0
RDM Leverock,2008-2008,2,2,5,0,27,0,0,0,5.4,0,0,0,0
RN Lewis,2008-2008,1,1,1,0,9,0,0,0,9,0,0,0,0
J Little,2016-2016,1,1,4,0,25,0,0,0,6.25,0,0,0,0
NM Lyon,2016-2016,1,1,1,0,15,0,0,0,15,0,0,0,0
S Matsikenyeri,2006-2012,10,3,2.4,0,23,0,0,0,8.62,0,0,0,0
GJ McCarter,2015-2015,3,2,5,0,50,0,0,0,10,0,0,0,0
A Mehmood,2016-2016,2,1,1,0,12,0,0,0,12,0,0,0,0
Mehrab Hossain jnr,2008-2009,2,1,2.5,0,20,0,0,0,7.05,0,0,0,0
KO Meth,2012-2012,2,2,7,0,64,0,0,0,9.14,0,0,0,0
TS Mills,2016-2016,1,1,4,0,22,0,0,0,5.5,0,0,0,0
Mohammad Tauqir,2015-2015,3,3,7,1,55,0,0,0,7.85,0,0,0,0
HJC Mol,2008-2008,4,1,1.3,0,12,0,0,0,8,0,0,0,0
Mominul Haque,2012-2014,6,2,3,0,32,0,0,0,10.66,0,0,0,0
Mosaddek Hossain,2016-2016,1,1,2,0,10,0,0,0,5,0,0,0,0
Muktar Ali,2016-2016,1,1,2,0,17,0,0,0,8.5,0,0,0,0
C Munro,2012-2016,28,2,3,0,30,0,0,0,10,0,0,0,0
Nasir Aziz,2015-2015,1,1,4,0,21,0,0,0,5.25,0,0,0,0
AR Nurse,2011-2015,4,4,13,0,102,0,0,0,7.84,0,0,0,0
LN Oluoch,2013-2013,1,1,2,0,30,0,0,0,15,0,0,0,0
AK Perera,2013-2014,2,1,1,0,17,0,0,0,17,0,0,0,0
PDRL Perera,2006-2006,2,2,7,0,77,0,0,0,11,0,0,0,0
OL Pitcher,2008-2008,3,1,1,0,7,0,0,0,7,0,0,0,0
KTGD Prasad,2011-2011,1,1,3,0,37,0,0,0,12.33,0,0,0,0
EC Rainsford,2010-2010,2,2,6,0,67,0,0,0,11.16,0,0,0,0
Robiul Islam,2013-2013,1,1,1,0,13,0,0,0,13,0,0,0,0
Rumman Raees,2016-2016,1,1,3,0,10,0,0,0,3.33,0,0,0,0
Saad Nasim,2014-2014,3,1,1,0,12,0,0,0,12,0,0,0,0
Sajedul Islam,2013-2013,1,1,1,0,15,0,0,0,15,0,0,0,0
Saqlain Sajib,2016-2016,1,1,3.3,0,40,0,0,0,11.42,0,0,0,0
V Sehwag,2006-2012,19,1,1,0,20,0,0,0,20,0,0,0,0
Shabbir Ahmed,2007-2007,1,1,2,0,19,0,0,0,9.5,0,0,0,0
GC Smith,2005-2011,33,3,4,0,57,0,0,0,14.25,0,0,0,0
JN Snape,2007-2007,1,1,1,0,12,0,0,0,12,0,0,0,0
Sohaib Maqsood,2013-2016,20,1,1,0,12,0,0,0,12,0,0,0,0
Soumya Sarkar,2015-2016,19,1,1,0,11,0,0,0,11,0,0,0,0
MP Stoinis,2015-2015,1,1,1,0,13,0,0,0,13,0,0,0,0
Suhrawadi Shuvo,2010-2010,1,1,1,0,12,0,0,0,12,0,0,0,0
T Taibu,2007-2012,17,2,4,0,41,0,0,0,10.25,0,0,0,0
RJ Trott,2008-2008,3,2,6.3,0,42,0,0,0,6.46,0,0,0,0
TE Tucker,2008-2008,1,1,2,0,5,0,0,0,2.5,0,0,0,0
S Tyagi,2009-2009,1,1,2,0,21,0,0,0,10.5,0,0,0,0
JD Unadkat,2016-2016,1,1,4,0,43,0,0,0,10.75,0,0,0,0
Usman Khan,2013-2013,2,2,5,0,61,0,0,0,12.2,0,0,0,0
M Vijay,2010-2015,9,1,2,0,9,0,0,0,4.5,0,0,0,0
MN Waller,2011-2016,28,1,1,0,4,0,0,0,4,0,0,0,0
Waqas Khan,2014-2016,5,1,1,0,12,0,0,0,12,0,0,0,0
JW Wilson,2005-2005,1,1,4,0,43,0,0,0,10.75,0,0,0,0
Yasir Shah,2011-2011,2,2,4,0,39,0,0,0,9.75,0,0,0,0
Aaqib Sulehri,2015-2016,5,0,0,0,0,0,0,0,0,0,0,0,0
