Batsman,Bowler,Zeroes,Ones,Twos,Threes,Fours,Fives,Sixes,Sevens,Dismissed,Runs,Balls,SR
V Kohli,TA Boult,9,1,0,0,1,0,1,0,0,11,12,91.66
V Kohli,B Kumar,2,2,0,0,1,0,0,0,0,6,5,120
V Kohli,P Kumar,5,2,0,0,1,0,1,0,0,12,9,133.33
V Kohli,RS Bopara,2,3,0,0,0,0,0,0,1,3,5,60
V Kohli,KV Sharma,1,3,1,0,1,0,0,0,0,9,6,150
KD Karthik,P Kumar,3,2,0,0,1,0,0,0,0,6,6,100
KD Karthik,RS Bopara,1,1,0,0,0,0,0,0,0,1,2,50
KD Karthik,KV Sharma,1,2,0,0,0,0,0,0,1,2,3,66.66
AB de Villiers,TA Boult,1,0,0,0,1,0,0,0,1,4,2,200
AB de Villiers,B Kumar,0,2,0,0,1,0,0,0,0,6,3,200
AB de Villiers,P Kumar,1,0,0,0,0,0,0,0,0,0,1,0
AB de Villiers,RS Bopara,2,2,0,0,3,0,1,0,0,20,8,250
AB de Villiers,KV Sharma,4,5,0,0,0,0,0,0,0,5,9,55.55
AB de Villiers,A Ashish Reddy,1,1,2,0,0,0,1,0,0,11,5,220
Mandeep Singh,RS Bopara,1,0,0,0,0,0,0,0,1,0,1,0
DJG Sammy,RS Bopara,0,2,0,0,0,0,0,0,0,2,2,100
DJG Sammy,KV Sharma,2,4,0,0,0,0,0,0,0,4,6,66.66
DJG Sammy,A Ashish Reddy,1,0,0,0,0,0,0,0,1,0,1,0
SA Abbott,TA Boult,1,0,0,0,0,0,0,0,1,0,1,0
SA Abbott,B Kumar,1,2,0,0,0,0,0,0,0,2,3,66.66
SA Abbott,P Kumar,2,0,1,0,1,0,1,0,0,12,5,240
HV Patel,TA Boult,1,0,1,0,0,0,0,0,1,2,2,100
AN Ahmed,TA Boult,0,0,0,0,1,0,0,0,0,4,1,400
AN Ahmed,B Kumar,1,0,0,0,0,0,0,0,1,0,1,0
VR Aaron,B Kumar,2,0,0,0,0,0,1,0,1,6,3,200
YS Chahal,B Kumar,0,1,0,0,0,0,0,0,0,1,1,100
DA Warner,SA Abbott,0,1,1,0,1,0,0,0,0,7,3,233.33
DA Warner,HV Patel,1,0,0,0,3,0,1,0,0,18,5,360
DA Warner,VR Aaron,3,1,0,0,2,0,1,0,0,15,7,214.28
DA Warner,AN Ahmed,4,2,0,0,0,0,1,0,0,8,7,114.28
DA Warner,DJG Sammy,0,2,0,0,0,0,0,0,0,2,2,100
DA Warner,YS Chahal,1,1,0,0,0,0,1,0,1,7,3,233.33
S Dhawan,SA Abbott,2,2,0,0,2,0,0,0,0,10,6,166.66
S Dhawan,HV Patel,0,2,0,0,0,0,0,0,0,2,2,100
S Dhawan,VR Aaron,4,3,0,0,1,0,0,0,0,7,8,87.5
S Dhawan,AN Ahmed,7,3,0,0,0,0,2,0,0,15,12,125
S Dhawan,DJG Sammy,1,4,0,0,1,0,0,0,0,8,6,133.33
S Dhawan,YS Chahal,0,8,0,0,0,0,0,0,0,8,8,100
KS Williamson,HV Patel,3,2,0,0,0,0,0,0,0,2,5,40
KS Williamson,YS Chahal,1,3,0,0,0,0,0,0,1,3,4,75
KL Rahul,SA Abbott,1,2,0,0,0,0,0,0,0,2,3,66.66
KL Rahul,VR Aaron,0,3,0,0,1,0,1,0,0,13,5,260
KL Rahul,AN Ahmed,1,3,2,0,1,0,0,0,0,11,7,157.14
KL Rahul,DJG Sammy,0,2,1,0,1,0,0,0,0,8,4,200
KL Rahul,YS Chahal,2,6,0,0,1,0,0,0,0,10,9,111.11
AJ Finch,TG Southee,3,1,0,0,1,0,0,0,0,5,5,100
AJ Finch,CH Morris,2,0,0,0,1,0,0,0,0,4,3,133.33
AJ Finch,DS Kulkarni,4,0,0,0,0,0,0,0,0,0,4,0
AJ Finch,STR Binny,1,1,0,0,0,0,0,0,0,1,2,50
PA Patel,TG Southee,0,1,0,0,0,0,0,0,0,1,1,100
PA Patel,CH Morris,1,0,0,1,1,0,0,0,0,7,3,233.33
PA Patel,DS Kulkarni,1,1,0,0,1,0,0,0,1,5,3,166.66
PA Patel,STR Binny,2,1,1,0,0,0,0,0,0,3,4,75
UBT Chand,TG Southee,5,0,0,0,1,0,0,0,0,4,6,66.66
UBT Chand,DS Kulkarni,2,1,0,0,0,0,0,0,0,1,3,33.33
UBT Chand,DJ Hooda,1,2,0,0,0,0,0,0,0,2,3,66.66
UBT Chand,JP Faulkner,1,0,0,0,0,0,0,0,0,0,1,0
UBT Chand,PV Tambe,1,1,2,0,0,0,0,0,1,5,4,125
RG Sharma,DS Kulkarni,2,0,0,0,0,0,0,0,0,0,2,0
RG Sharma,STR Binny,3,0,0,0,0,0,0,0,1,0,3,0
CJ Anderson,TG Southee,1,1,0,0,1,0,1,0,0,11,4,275
CJ Anderson,CH Morris,7,1,1,0,2,0,1,0,1,17,12,141.66
CJ Anderson,DS Kulkarni,1,2,0,0,0,0,0,0,0,2,3,66.66
CJ Anderson,STR Binny,2,0,0,0,1,0,0,0,0,4,3,133.33
CJ Anderson,DJ Hooda,2,1,0,0,0,0,0,0,0,1,3,33.33
CJ Anderson,JP Faulkner,6,0,1,0,0,0,1,0,0,8,8,100
CJ Anderson,PV Tambe,1,3,0,0,1,0,0,0,0,7,5,140
KA Pollard,TG Southee,2,1,0,0,3,0,2,0,1,25,8,312.5
KA Pollard,CH Morris,2,1,0,0,1,0,0,0,0,5,4,125
KA Pollard,DS Kulkarni,1,2,0,0,1,0,0,0,0,6,4,150
KA Pollard,JP Faulkner,4,1,0,0,2,0,2,0,0,21,9,233.33
KA Pollard,PV Tambe,3,3,2,0,0,0,1,0,0,13,9,144.44
J Suchith,CH Morris,1,0,0,0,0,0,0,0,0,0,1,0
S Gopal,CH Morris,0,1,0,0,0,0,0,0,0,1,1,100
AM Rahane,R Vinay Kumar,5,2,0,0,1,0,0,0,0,6,8,75
AM Rahane,P Suyal,2,2,1,0,1,0,0,0,0,8,6,133.33
AM Rahane,SL Malinga,0,1,1,0,0,0,0,0,0,3,2,150
AM Rahane,J Suchith,3,7,3,0,1,0,0,0,0,17,14,121.42
AM Rahane,CJ Anderson,0,2,0,0,1,0,0,0,0,6,3,200
AM Rahane,S Gopal,2,2,2,0,0,0,0,0,1,6,6,100
SV Samson,R Vinay Kumar,6,2,0,0,1,0,0,0,1,6,9,66.66
SV Samson,P Suyal,2,3,0,0,2,0,0,0,0,11,7,157.14
SPD Smith,R Vinay Kumar,0,1,0,0,0,0,0,0,0,1,1,100
SPD Smith,P Suyal,4,2,2,1,1,0,1,0,0,19,11,172.72
SPD Smith,SL Malinga,5,4,4,0,6,0,0,0,0,36,19,189.47
SPD Smith,J Suchith,1,6,2,0,1,0,0,0,0,14,10,140
SPD Smith,CJ Anderson,5,2,2,0,0,0,0,0,0,6,9,66.66
SPD Smith,S Gopal,0,3,0,0,0,0,0,0,0,3,3,100
DJ Hooda,SL Malinga,1,0,0,0,0,0,0,0,1,0,1,0
DJ Hooda,S Gopal,0,1,0,0,0,0,2,0,0,13,3,433.33
JP Faulkner,P Suyal,0,2,1,0,0,0,0,0,0,4,3,133.33
JP Faulkner,SL Malinga,1,1,0,0,0,0,0,0,0,1,2,50
JP Faulkner,S Gopal,0,1,0,0,0,0,0,0,0,1,1,100
M Vijay,NM Coulter-Nile,4,1,0,0,0,0,0,0,0,1,5,20
M Vijay,DJ Muthuswami,5,2,1,0,1,0,1,0,0,14,10,140
M Vijay,AD Mathews,2,0,0,0,1,0,0,0,1,4,3,133.33
V Sehwag,NM Coulter-Nile,9,1,0,0,1,0,0,0,0,5,11,45.45
V Sehwag,DJ Muthuswami,0,3,0,0,0,0,0,0,0,3,3,100
V Sehwag,AD Mathews,3,5,0,0,1,0,0,0,0,9,9,100
V Sehwag,A Mishra,2,6,0,0,0,0,0,0,0,6,8,75
V Sehwag,Imran Tahir,0,1,0,0,2,0,1,0,0,15,4,375
V Sehwag,Yuvraj Singh,0,2,0,0,0,0,0,0,0,2,2,100
V Sehwag,JP Duminy,2,1,0,0,0,0,1,0,1,7,4,175
WP Saha,NM Coulter-Nile,0,1,0,0,0,0,1,0,0,7,2,350
WP Saha,DJ Muthuswami,3,1,0,0,0,0,1,0,0,7,5,140
WP Saha,AD Mathews,2,3,0,0,0,0,1,0,0,9,6,150
WP Saha,A Mishra,3,5,1,0,0,0,0,0,1,7,9,77.77
WP Saha,Imran Tahir,0,1,1,0,0,0,0,0,0,3,2,150
WP Saha,Yuvraj Singh,0,2,2,0,0,0,0,0,0,6,4,150
DA Miller,A Mishra,0,1,0,0,0,0,0,0,0,1,1,100
DA Miller,Imran Tahir,0,1,0,0,0,0,0,0,0,1,1,100
DA Miller,JP Duminy,2,3,0,0,0,0,0,0,1,3,5,60
GJ Maxwell,Imran Tahir,1,1,1,0,0,0,2,0,1,15,5,300
GJ Bailey,A Mishra,0,1,0,0,1,0,1,0,0,11,3,366.66
GJ Bailey,Imran Tahir,2,2,1,0,0,0,0,0,1,4,5,80
GJ Bailey,JP Duminy,0,2,1,0,0,0,0,0,0,4,3,133.33
AR Patel,A Mishra,0,2,0,0,0,0,1,0,0,8,3,266.66
AR Patel,Imran Tahir,3,3,1,0,0,0,0,0,1,5,7,71.42
MA Agarwal,Sandeep Sharma,4,2,1,0,1,0,0,0,0,8,8,100
MA Agarwal,Anureet Singh,6,2,1,0,3,0,0,0,1,16,12,133.33
MA Agarwal,MG Johnson,1,6,0,0,2,0,1,0,0,20,10,200
MA Agarwal,R Dhawan,0,4,1,0,1,0,0,0,0,10,6,166.66
MA Agarwal,AR Patel,2,6,0,0,0,0,0,0,0,6,8,75
MA Agarwal,GJ Maxwell,1,2,0,0,0,0,1,0,0,8,4,200
SS Iyer,Sandeep Sharma,3,0,1,0,1,0,0,0,1,6,5,120
JP Duminy,Sandeep Sharma,1,2,1,0,1,0,0,0,0,8,5,160
JP Duminy,Anureet Singh,3,1,0,0,1,0,0,0,0,5,5,100
JP Duminy,MG Johnson,1,2,0,0,1,0,0,0,0,6,4,150
JP Duminy,R Dhawan,2,2,0,0,0,0,0,0,0,2,4,50
JP Duminy,AR Patel,1,0,0,0,0,0,0,0,0,0,1,0
Yuvraj Singh,Sandeep Sharma,4,1,0,0,1,0,0,0,0,5,6,83.33
Yuvraj Singh,Anureet Singh,2,1,0,0,0,0,1,0,1,7,4,175
Yuvraj Singh,MG Johnson,4,3,0,0,3,0,0,0,0,15,10,150
Yuvraj Singh,R Dhawan,3,3,1,0,1,0,0,0,0,9,8,112.5
Yuvraj Singh,AR Patel,4,2,1,0,0,0,2,0,0,16,9,177.77
Yuvraj Singh,GJ Maxwell,0,2,0,0,0,0,0,0,0,2,2,100
AD Mathews,Anureet Singh,0,1,0,0,0,0,0,0,0,1,1,100
AD Mathews,AR Patel,1,1,0,0,1,0,0,0,0,5,3,166.66
KM Jadhav,Anureet Singh,1,2,0,0,0,0,0,0,0,2,3,66.66
KM Jadhav,AR Patel,1,1,0,0,0,0,0,0,1,1,2,50
DA Warner,TG Southee,1,2,0,0,0,0,1,0,0,8,4,200
DA Warner,CH Morris,3,0,0,0,3,0,0,0,0,12,6,200
DA Warner,DJ Hooda,1,0,0,0,0,0,0,0,0,0,1,0
DA Warner,DS Kulkarni,2,1,0,0,0,0,0,0,0,1,3,33.33
S Dhawan,TG Southee,4,0,0,0,0,0,0,0,0,0,4,0
S Dhawan,DJ Hooda,3,1,0,0,1,0,0,0,0,5,5,100
S Dhawan,DS Kulkarni,1,1,0,0,1,0,0,0,1,5,3,166.66
KL Rahul,TG Southee,3,0,1,0,0,0,0,0,0,2,4,50
KL Rahul,DS Kulkarni,1,0,0,0,0,0,0,0,1,0,1,0
NV Ojha,TG Southee,2,1,1,0,0,0,0,0,0,3,4,75
NV Ojha,CH Morris,4,1,0,0,1,0,0,0,0,5,6,83.33
NV Ojha,DS Kulkarni,4,1,0,0,0,0,0,0,0,1,5,20
NV Ojha,JP Faulkner,3,1,0,0,2,0,0,0,0,9,6,150
NV Ojha,STR Binny,1,3,0,0,0,0,0,0,0,3,4,75
NV Ojha,PV Tambe,5,0,2,0,0,0,0,0,1,4,7,57.14
EJG Morgan,TG Southee,0,1,0,0,1,0,0,0,0,5,2,250
EJG Morgan,DJ Hooda,2,1,0,0,0,0,0,0,0,1,3,33.33
EJG Morgan,DS Kulkarni,5,1,0,0,0,0,0,0,0,1,6,16.66
EJG Morgan,JP Faulkner,3,3,0,0,0,0,1,0,0,9,7,128.57
EJG Morgan,STR Binny,3,3,1,0,1,0,0,0,0,9,8,112.5
EJG Morgan,PV Tambe,3,0,1,0,0,0,0,0,1,2,4,50
RS Bopara,TG Southee,0,2,0,0,0,0,0,0,0,2,2,100
RS Bopara,CH Morris,3,1,0,0,1,0,0,0,0,5,5,100
RS Bopara,DJ Hooda,0,2,1,0,0,0,0,0,0,4,3,133.33
RS Bopara,PV Tambe,3,4,1,0,0,0,1,0,0,12,9,133.33
A Ashish Reddy,TG Southee,1,1,1,0,0,0,1,0,0,9,4,225
A Ashish Reddy,CH Morris,0,1,0,0,0,0,0,0,0,1,1,100
A Ashish Reddy,PV Tambe,1,3,0,0,0,0,0,0,0,3,4,75
AM Rahane,B Kumar,5,4,1,0,3,0,0,0,0,18,13,138.46
AM Rahane,TA Boult,7,2,1,0,3,0,0,0,1,16,13,123.07
AM Rahane,P Kumar,1,3,0,0,0,0,0,0,0,3,4,75
AM Rahane,KV Sharma,4,4,2,0,1,0,0,0,0,12,11,109.09
AM Rahane,RS Bopara,7,4,0,0,2,0,0,0,0,12,13,92.3
AM Rahane,A Ashish Reddy,1,1,0,0,0,0,0,0,0,1,2,50
SV Samson,B Kumar,5,3,1,0,0,0,0,0,0,5,9,55.55
SV Samson,TA Boult,2,1,0,0,0,0,0,0,0,1,3,33.33
SV Samson,P Kumar,6,2,4,0,2,0,0,0,0,18,14,128.57
SV Samson,KV Sharma,1,2,0,0,0,0,0,0,0,2,3,66.66
SV Samson,RS Bopara,1,0,0,0,0,0,0,0,1,0,1,0
SPD Smith,TA Boult,1,2,0,0,1,0,0,0,0,6,4,150
SPD Smith,KV Sharma,1,0,0,0,1,0,0,0,1,4,2,200
SPD Smith,RS Bopara,1,3,0,0,0,0,0,0,0,3,4,75
KK Nair,KV Sharma,1,1,0,0,0,0,0,0,0,1,2,50
KK Nair,RS Bopara,3,0,0,0,0,0,0,0,1,0,3,0
STR Binny,B Kumar,0,2,0,0,0,0,0,0,0,2,2,100
STR Binny,TA Boult,1,1,0,0,1,0,0,0,0,5,3,166.66
STR Binny,P Kumar,0,2,0,0,0,0,0,0,0,2,2,100
STR Binny,RS Bopara,0,3,0,0,0,0,0,0,0,3,3,100
STR Binny,A Ashish Reddy,1,2,1,0,0,0,0,0,0,4,4,100
JP Faulkner,TA Boult,0,1,0,0,0,0,0,0,0,1,1,100
JP Faulkner,P Kumar,2,1,0,0,1,0,0,0,0,5,4,125
LMP Simmons,A Nehra,2,1,0,0,0,0,0,0,0,1,3,33.33
LMP Simmons,IC Pandey,9,0,0,0,1,0,0,0,1,4,10,40
PA Patel,A Nehra,1,0,0,0,0,0,0,0,1,0,1,0
CJ Anderson,A Nehra,6,0,0,0,1,0,0,0,1,4,7,57.14
RG Sharma,A Nehra,4,2,4,0,1,0,0,0,1,14,11,127.27
RG Sharma,MM Sharma,1,4,0,0,3,0,0,0,0,16,8,200
RG Sharma,RA Jadeja,1,5,0,0,0,0,0,0,0,5,6,83.33
RG Sharma,R Ashwin,0,1,1,0,0,0,1,0,0,9,3,300
RG Sharma,DJ Bravo,0,2,0,0,1,0,0,0,0,6,3,200
Harbhajan Singh,IC Pandey,2,0,0,0,0,0,0,0,0,0,2,0
Harbhajan Singh,MM Sharma,4,2,3,0,1,0,0,0,1,12,10,120
Harbhajan Singh,RA Jadeja,5,2,0,0,1,0,1,0,0,12,9,133.33
KA Pollard,A Nehra,0,1,1,0,0,0,0,0,0,3,2,150
KA Pollard,IC Pandey,0,0,1,0,1,0,0,0,0,6,2,300
KA Pollard,MM Sharma,0,1,0,0,0,0,0,0,0,1,1,100
KA Pollard,RA Jadeja,2,2,0,0,1,0,4,0,0,30,9,333.33
KA Pollard,R Ashwin,2,0,0,0,1,0,0,0,0,4,3,133.33
KA Pollard,DJ Bravo,3,6,2,0,1,0,1,0,1,20,13,153.84
AT Rayudu,IC Pandey,1,1,0,0,1,0,1,0,0,11,4,275
AT Rayudu,MM Sharma,1,2,0,0,0,0,2,0,0,14,5,280
AT Rayudu,DJ Bravo,3,4,0,0,0,0,0,0,1,4,7,57.14
R Vinay Kumar,DJ Bravo,1,0,0,0,0,0,0,0,0,0,1,0
DR Smith,P Suyal,4,3,0,0,2,0,0,0,0,11,9,122.22
DR Smith,SL Malinga,2,0,1,0,2,0,0,0,0,10,5,200
DR Smith,J Suchith,4,0,0,0,3,0,3,0,0,30,10,300
DR Smith,Harbhajan Singh,3,1,0,0,1,0,1,0,1,11,6,183.33
BB McCullum,P Suyal,0,3,0,0,0,0,1,0,0,9,4,225
BB McCullum,SL Malinga,2,2,0,0,3,0,1,0,0,20,8,250
BB McCullum,J Suchith,0,2,0,0,0,0,0,0,0,2,2,100
BB McCullum,Harbhajan Singh,1,1,1,0,3,0,0,0,1,15,6,250
SK Raina,P Suyal,1,2,1,0,0,0,0,0,0,4,4,100
SK Raina,SL Malinga,0,4,0,0,0,0,0,0,0,4,4,100
SK Raina,Harbhajan Singh,4,3,0,0,1,0,1,0,0,13,9,144.44
SK Raina,R Vinay Kumar,2,2,0,0,1,0,1,0,0,12,6,200
SK Raina,KA Pollard,2,2,0,0,2,0,0,0,0,10,6,166.66
F du Plessis,SL Malinga,4,1,0,0,0,0,0,0,1,1,5,20
F du Plessis,Harbhajan Singh,1,1,0,0,1,0,0,0,0,5,3,166.66
F du Plessis,R Vinay Kumar,3,1,0,0,1,0,0,0,0,5,5,100
MS Dhoni,SL Malinga,2,1,0,0,0,0,0,0,0,1,3,33.33
MS Dhoni,R Vinay Kumar,0,1,0,0,0,0,0,0,0,1,1,100
MS Dhoni,KA Pollard,1,1,0,0,0,0,0,0,1,1,2,50
DJ Bravo,P Suyal,1,1,0,0,0,0,0,0,0,1,2,50
DJ Bravo,KA Pollard,0,0,1,0,1,0,1,0,0,12,3,400
MA Agarwal,P Kumar,1,1,0,0,0,0,0,0,0,1,2,50
MA Agarwal,B Kumar,1,0,0,0,0,0,0,0,1,0,1,0
SS Iyer,P Kumar,7,2,0,0,2,0,1,0,1,16,12,133.33
SS Iyer,DW Steyn,4,1,2,0,1,0,0,0,0,9,8,112.5
SS Iyer,B Kumar,1,1,0,0,0,0,0,0,0,1,2,50
SS Iyer,RS Bopara,2,4,0,0,0,0,0,0,0,4,6,66.66
SS Iyer,KV Sharma,2,3,0,0,0,0,3,0,0,21,8,262.5
SS Iyer,A Ashish Reddy,1,1,1,0,0,0,1,0,0,9,4,225
JP Duminy,P Kumar,1,2,0,0,0,0,0,0,0,2,3,66.66
JP Duminy,DW Steyn,4,3,0,0,1,0,1,0,1,13,9,144.44
JP Duminy,B Kumar,7,0,2,0,0,0,0,0,0,4,9,44.44
JP Duminy,RS Bopara,3,5,1,0,4,0,1,0,0,29,14,207.14
JP Duminy,KV Sharma,0,4,0,0,0,0,0,0,0,4,4,100
JP Duminy,A Ashish Reddy,0,2,0,0,0,0,0,0,0,2,2,100
Yuvraj Singh,P Kumar,0,1,0,0,0,0,0,0,0,1,1,100
Yuvraj Singh,DW Steyn,3,3,1,0,0,0,0,0,0,5,7,71.42
Yuvraj Singh,RS Bopara,1,3,0,0,0,0,0,0,0,3,4,75
Yuvraj Singh,A Ashish Reddy,1,0,0,0,0,0,0,0,1,0,1,0
AD Mathews,P Kumar,0,2,0,0,0,0,1,0,0,8,3,266.66
AD Mathews,B Kumar,1,5,0,0,0,0,0,0,0,5,6,83.33
AD Mathews,A Ashish Reddy,0,2,0,0,0,0,0,0,0,2,2,100
KM Jadhav,P Kumar,0,2,0,0,0,0,1,0,0,8,3,266.66
KM Jadhav,B Kumar,0,4,1,0,1,0,0,0,0,10,6,166.66
KM Jadhav,A Ashish Reddy,2,1,0,0,0,0,0,0,0,1,3,33.33
DA Warner,NM Coulter-Nile,3,2,2,0,0,0,0,0,0,6,7,85.71
DA Warner,JP Duminy,3,2,0,0,0,0,0,0,1,2,5,40
DA Warner,DJ Muthuswami,2,0,2,0,4,0,0,0,0,20,8,250
S Dhawan,NM Coulter-Nile,2,2,1,0,0,0,0,0,0,4,5,80
S Dhawan,JP Duminy,1,2,0,0,0,0,0,0,1,2,3,66.66
S Dhawan,DJ Muthuswami,4,0,0,0,0,0,0,0,0,0,4,0
S Dhawan,AD Mathews,3,0,0,0,3,0,0,0,0,12,6,200
RS Bopara,NM Coulter-Nile,3,0,0,0,1,0,1,0,0,10,5,200
RS Bopara,JP Duminy,1,3,0,0,0,0,1,0,1,9,5,180
RS Bopara,AD Mathews,1,2,0,0,0,0,0,0,0,2,3,66.66
RS Bopara,Imran Tahir,2,5,0,1,0,0,1,0,0,14,9,155.55
RS Bopara,A Mishra,2,4,0,0,0,0,0,0,0,4,6,66.66
RS Bopara,Yuvraj Singh,0,2,0,0,0,0,0,0,0,2,2,100
KL Rahul,JP Duminy,1,1,0,0,0,0,0,0,0,1,2,50
KL Rahul,AD Mathews,2,0,1,0,0,0,0,0,1,2,3,66.66
KL Rahul,Imran Tahir,3,3,0,0,0,0,0,0,0,3,6,50
KL Rahul,A Mishra,1,4,0,0,0,0,1,0,0,10,6,166.66
KL Rahul,Yuvraj Singh,1,2,0,0,0,0,1,0,0,8,4,200
NV Ojha,NM Coulter-Nile,0,1,0,0,0,0,0,0,0,1,1,100
NV Ojha,AD Mathews,1,3,1,0,1,0,0,0,0,9,6,150
NV Ojha,Imran Tahir,1,2,0,0,0,0,0,0,1,2,3,66.66
EJG Morgan,JP Duminy,1,1,0,0,0,0,0,0,1,1,2,50
A Ashish Reddy,NM Coulter-Nile,1,0,0,0,0,0,0,0,0,0,1,0
A Ashish Reddy,JP Duminy,0,1,0,0,0,0,0,0,0,1,1,100
A Ashish Reddy,AD Mathews,1,0,1,0,1,0,1,0,0,12,4,300
A Ashish Reddy,Imran Tahir,0,2,0,0,0,0,0,0,0,2,2,100
KV Sharma,NM Coulter-Nile,1,2,1,0,0,0,0,0,1,4,4,100
KV Sharma,AD Mathews,1,1,0,0,0,0,0,0,0,1,2,50
KV Sharma,Imran Tahir,0,2,0,0,0,0,2,0,0,14,4,350
P Kumar,NM Coulter-Nile,0,1,0,0,0,0,0,0,0,1,1,100
M Vijay,UT Yadav,4,0,0,0,0,0,0,0,1,0,4,0
V Sehwag,M Morkel,4,3,0,0,1,0,0,0,0,7,8,87.5
V Sehwag,AD Russell,1,0,0,0,1,0,0,0,1,4,2,200
WP Saha,UT Yadav,4,0,2,0,1,0,1,0,0,14,8,175
WP Saha,M Morkel,2,1,0,0,0,0,0,0,1,1,3,33.33
GJ Maxwell,UT Yadav,1,1,0,0,0,0,0,0,1,1,2,50
GJ Maxwell,M Morkel,1,1,0,0,1,0,1,0,0,11,4,275
GJ Maxwell,AD Russell,2,3,1,0,0,0,1,0,0,11,7,157.14
GJ Maxwell,SP Narine,7,2,0,0,1,0,0,0,0,6,10,60
GJ Maxwell,PP Chawla,0,2,1,0,0,0,0,0,0,4,3,133.33
GJ Bailey,UT Yadav,0,3,0,0,3,0,0,0,0,15,6,250
GJ Bailey,M Morkel,4,1,0,0,0,0,1,0,0,7,6,116.66
GJ Bailey,AD Russell,2,5,1,0,2,0,0,0,0,15,10,150
GJ Bailey,SP Narine,2,5,2,0,0,0,0,0,0,9,9,100
GJ Bailey,PP Chawla,5,8,0,0,0,0,1,0,0,14,14,100
NLTC Perera,UT Yadav,1,0,0,0,0,0,0,0,0,0,1,0
NLTC Perera,AD Russell,3,1,0,0,0,0,1,0,1,7,5,140
NLTC Perera,PP Chawla,0,2,0,0,0,0,0,0,0,2,2,100
Gurkeerat Singh,UT Yadav,1,1,0,0,0,0,0,0,1,1,2,50
Gurkeerat Singh,SP Narine,2,1,0,0,0,0,0,0,0,1,3,33.33
Gurkeerat Singh,PP Chawla,1,3,0,0,0,0,1,0,0,9,5,180
AR Patel,UT Yadav,0,1,0,0,0,0,0,0,0,1,1,100
AR Patel,SP Narine,1,1,0,0,0,0,0,0,1,1,2,50
MG Johnson,M Morkel,1,1,0,0,0,0,0,0,1,1,2,50
Anureet Singh,M Morkel,1,0,0,0,0,0,0,0,0,0,1,0
RV Uthappa,Sandeep Sharma,4,1,1,0,1,0,0,0,1,7,7,100
RV Uthappa,Anureet Singh,0,2,0,0,1,0,0,0,0,6,3,200
G Gambhir,Sandeep Sharma,6,1,1,0,0,0,0,0,1,3,8,37.5
G Gambhir,Anureet Singh,5,1,0,0,1,0,0,0,0,5,7,71.42
G Gambhir,MG Johnson,1,1,0,0,0,0,0,0,0,1,2,50
G Gambhir,NLTC Perera,0,2,0,0,0,0,0,0,0,2,2,100
MK Pandey,Sandeep Sharma,1,0,0,1,2,0,0,0,1,11,4,275
MK Pandey,Anureet Singh,1,1,0,0,0,0,0,0,0,1,2,50
SA Yadav,Sandeep Sharma,2,0,0,0,1,0,0,0,0,4,3,133.33
SA Yadav,MG Johnson,1,0,1,0,0,0,2,0,0,14,4,350
SA Yadav,NLTC Perera,1,1,0,0,1,0,0,0,1,5,3,166.66
YK Pathan,Anureet Singh,1,3,0,0,3,0,0,0,0,15,7,214.28
YK Pathan,MG Johnson,2,4,0,0,1,0,0,0,0,8,7,114.28
YK Pathan,NLTC Perera,2,4,0,0,0,0,0,0,0,4,6,66.66
YK Pathan,AR Patel,3,1,0,0,0,0,0,0,0,1,4,25
RN ten Doeschate,Sandeep Sharma,1,0,0,0,0,0,0,0,1,0,1,0
AD Russell,Sandeep Sharma,1,0,0,0,0,0,0,0,0,0,1,0
AD Russell,Anureet Singh,0,2,2,0,1,0,0,0,0,10,5,200
AD Russell,MG Johnson,4,2,0,0,3,0,0,0,1,14,9,155.55
AD Russell,NLTC Perera,6,3,0,0,3,0,1,0,0,21,13,161.53
AD Russell,AR Patel,1,1,3,0,2,0,1,0,0,21,8,262.5
PP Chawla,MG Johnson,0,0,0,0,1,0,0,0,0,4,1,400
DR Smith,Ankit Sharma,1,2,2,0,1,0,1,0,0,16,7,228.57
DR Smith,CH Morris,7,0,1,0,0,0,0,0,0,2,8,25
DR Smith,PV Tambe,0,2,1,0,0,0,0,0,0,4,3,133.33
DR Smith,DJ Hooda,0,2,0,0,2,0,0,0,0,10,4,250
DR Smith,JP Faulkner,5,0,1,0,0,0,1,0,1,8,7,114.28
BB McCullum,Ankit Sharma,3,0,0,0,2,0,0,0,0,8,5,160
BB McCullum,PV Tambe,1,0,0,0,1,0,0,0,1,4,2,200
SK Raina,CH Morris,2,0,1,0,0,0,0,0,1,2,3,66.66
SK Raina,PV Tambe,2,1,0,0,0,0,0,0,0,1,3,33.33
SK Raina,DJ Hooda,1,1,0,0,0,0,0,0,0,1,2,50
F du Plessis,Ankit Sharma,2,0,0,0,0,0,0,0,1,0,2,0
F du Plessis,CH Morris,0,1,0,0,0,0,0,0,0,1,1,100
DJ Bravo,Ankit Sharma,2,2,0,0,0,0,0,0,0,2,4,50
DJ Bravo,CH Morris,1,3,0,0,1,0,0,0,0,7,5,140
DJ Bravo,PV Tambe,1,6,0,0,3,0,1,0,0,24,11,218.18
DJ Bravo,DJ Hooda,0,1,1,0,1,0,0,0,0,7,3,233.33
DJ Bravo,JP Faulkner,3,2,2,1,0,0,0,0,0,9,8,112.5
DJ Bravo,SR Watson,1,1,0,0,3,0,0,0,0,13,5,260
MS Dhoni,CH Morris,4,1,1,0,1,0,0,0,0,7,7,100
