Batsman,Bowler,Zeroes,Ones,Twos,Threes,Fours,Fives,Sixes,Sevens,Dismissed,Runs,Balls,SR
KM Jadhav,MM Sharma,4,0,0,0,0,0,0,0,1,0,4,0
KM Jadhav,IC Pandey,2,3,0,0,1,0,0,0,0,7,6,116.66
KM Jadhav,R Ashwin,1,5,1,0,1,0,0,0,0,11,8,137.5
KM Jadhav,DJ Bravo,0,2,0,0,0,0,0,0,0,2,2,100
Yuvraj Singh,MM Sharma,0,1,2,0,1,0,0,0,0,9,4,225
Yuvraj Singh,DJ Bravo,2,0,0,0,0,0,0,0,1,0,2,0
JP Duminy,IC Pandey,1,1,1,0,0,0,0,0,1,3,3,100
JP Duminy,DJ Bravo,0,2,0,0,0,0,0,0,0,2,2,100
NM Coulter-Nile,IC Pandey,1,0,0,0,1,0,0,0,0,4,2,200
NM Coulter-Nile,R Ashwin,1,0,0,0,0,0,0,0,1,0,1,0
NM Coulter-Nile,DJ Bravo,0,1,0,0,0,0,0,0,0,1,1,100
A Mishra,A Nehra,0,1,1,0,0,0,0,0,0,3,2,150
A Mishra,R Ashwin,1,1,0,0,0,0,0,0,0,1,2,50
Imran Tahir,A Nehra,0,0,1,0,0,0,0,0,0,2,1,200
Imran Tahir,DJ Bravo,1,0,0,0,0,0,0,0,1,0,1,0
AM Rahane,Sandeep Sharma,6,0,0,0,0,0,0,0,0,0,6,0
AM Rahane,Anureet Singh,2,0,0,0,0,0,0,0,1,0,2,0
SV Samson,Sandeep Sharma,2,1,0,0,0,0,0,0,1,1,3,33.33
SV Samson,Anureet Singh,1,1,0,1,0,0,0,0,0,4,3,133.33
SPD Smith,Sandeep Sharma,1,5,1,0,1,0,0,0,0,11,8,137.5
SPD Smith,Anureet Singh,1,1,0,0,0,0,0,0,0,1,2,50
SPD Smith,AR Patel,1,1,0,0,2,0,0,0,0,9,4,225
SPD Smith,Karanveer Singh,1,4,0,0,2,0,0,0,0,12,7,171.42
SPD Smith,MG Johnson,2,0,0,0,0,0,0,0,1,0,2,0
KK Nair,Sandeep Sharma,3,1,0,0,0,0,0,0,0,1,4,25
KK Nair,Anureet Singh,4,1,0,0,0,0,0,0,0,1,5,20
KK Nair,AR Patel,1,0,0,0,0,0,1,0,1,6,2,300
STR Binny,Sandeep Sharma,1,1,0,0,1,0,0,0,0,5,3,166.66
STR Binny,Karanveer Singh,0,4,0,0,1,0,0,0,0,8,5,160
STR Binny,MG Johnson,8,0,0,0,0,0,0,0,1,0,8,0
DJ Hooda,Anureet Singh,1,0,0,0,1,0,1,0,1,10,3,333.33
DJ Hooda,AR Patel,1,3,0,0,0,0,0,0,0,3,4,75
DJ Hooda,Karanveer Singh,3,1,2,0,0,0,2,0,0,17,8,212.5
JP Faulkner,Anureet Singh,1,3,0,0,0,0,0,0,1,3,4,75
JP Faulkner,AR Patel,5,5,1,0,0,0,1,0,0,13,12,108.33
JP Faulkner,Karanveer Singh,0,2,2,0,0,0,0,0,0,6,4,150
JP Faulkner,MG Johnson,6,2,1,0,2,0,2,0,0,24,13,184.61
CH Morris,Anureet Singh,2,2,1,0,0,0,0,0,0,4,5,80
CH Morris,AR Patel,1,1,0,0,0,0,0,0,0,1,2,50
CH Morris,MG Johnson,0,1,0,0,0,0,0,0,0,1,1,100
V Sehwag,TG Southee,1,0,0,0,0,0,0,0,1,0,1,0
M Vijay,TG Southee,2,1,1,1,2,0,0,0,0,14,7,200
M Vijay,CH Morris,3,1,1,0,0,0,1,0,0,9,6,150
M Vijay,DS Kulkarni,7,2,0,0,1,0,0,0,0,6,10,60
M Vijay,JP Faulkner,2,2,0,0,1,0,0,0,0,6,5,120
M Vijay,PV Tambe,2,1,0,0,0,0,0,0,0,1,3,33.33
M Vijay,STR Binny,0,1,0,0,0,0,0,0,0,1,1,100
WP Saha,TG Southee,2,0,0,1,1,0,0,0,0,7,4,175
